number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
22,0.38681666254997255,2025-08-24 15:19:06.728370,2025-08-24 15:40:26.630241,0 days 00:21:19.901871,20,1.2324695195957456e-05,normal,5,nz,2.3575301032062464e-05,0.11465432321934435,7902,336,,colnorm,Glorot,,tanh,7.853507995605468e-05,COMPLETE,7.853507995605468e-05
23,0.34219999313354493,2025-08-24 15:40:26.630645,2025-08-24 16:02:15.732714,0 days 00:21:49.102069,20,3.441354790440193e-05,normal,5,nz,1.6927881839547838e-05,0.0006954572943168059,7444,256,,colnorm,old,0.20181278864033558,logistic,0.012919092178344726,COMPLETE,0.012919092178344726
24,0.3750166654586792,2025-08-24 16:02:15.733194,2025-08-24 16:23:38.631340,0 days 00:21:22.898146,20,,uniform,6,nz,1.0206574370481918e-08,0.012453955390191203,476,368,,raw,old,1.684710504944702,tanh,0.011835694313049316,COMPLETE,0.011835694313049316
25,0.398283326625824,2025-08-24 16:23:38.633765,2025-08-24 16:27:42.883199,0 days 00:04:04.249434,100,,uniform,6,zero,,0.0016982249024099724,2081,640,,raw,Glorot,,logistic,0.012589597702026367,COMPLETE,0.012589597702026367
26,0.3161166548728943,2025-08-24 16:27:42.883557,2025-08-24 16:49:35.391620,0 days 00:21:52.508063,20,3.073853194481646e-08,normal,5,nz,8.38567156375167e-06,9.177629635990807e-05,4213,416,,colnorm,Glorot,,tanh,0.013050508499145509,COMPLETE,0.013050508499145509
27,0.444733327627182,2025-08-24 16:49:35.393613,2025-08-24 17:10:46.114511,0 days 00:21:10.720898,20,0.0009844628961629476,uniform,8,nz,3.421422588729936e-07,0.11406844675670222,177,608,,colnorm,old,0.5048876012640595,logistic,0.011791539192199708,COMPLETE,0.011791539192199708
28,0.36249999403953553,2025-08-24 17:10:46.115546,2025-08-24 17:14:58.631149,0 days 00:04:12.515603,100,3.3605824651296023e-06,normal,6,zero,,0.000683184100539881,7651,560,,colnorm,Glorot,,logistic,0.012949252128601074,COMPLETE,0.012949252128601074
29,0.4697833240032196,2025-08-24 17:14:58.631567,2025-08-24 17:37:12.300097,0 days 00:22:13.668530,20,7.66990223115473e-05,normal,6,nz,7.91118387933558e-05,0.0670844500973403,390,512,,colnorm,old,0.9744774863317317,logistic,0.009593534469604491,COMPLETE,0.009593534469604491
30,0.4689833283424377,2025-08-24 17:37:12.300575,2025-08-24 17:58:32.128674,0 days 00:21:19.828099,20,7.359426969649719e-05,normal,7,nz,9.62899713322508e-05,0.0716283418805843,373,544,,colnorm,old,0.9783059185734024,logistic,0.009801244735717774,COMPLETE,0.009801244735717774
31,0.46589999198913573,2025-08-24 17:58:32.129143,2025-08-24 18:02:50.633977,0 days 00:04:18.504834,100,8.64143279243224e-05,normal,6,nz,0.00012102729018380276,0.10327454794330942,350,848,,colnorm,old,0.5360075687912248,logistic,0.01100761890411377,COMPLETE,0.01100761890411377
32,0.4686333239078522,2025-08-24 18:02:50.634372,2025-08-24 18:24:00.536710,0 days 00:21:09.902338,20,0.0008892341389527364,normal,6,zero,,0.1891838339987902,548,560,,colnorm,old,1.025679717689854,logistic,0.0013361454010009765,COMPLETE,0.0013361454010009765
33,0.3940333306789398,2025-08-24 18:24:00.537711,2025-08-24 18:45:13.870904,0 days 00:21:13.333193,20,,normal,6,nz,1.0681235707222493e-05,0.06414255029552848,108,336,,raw,old,0.554927235523211,logistic,0.011426711082458496,COMPLETE,0.011426711082458496
34,0.4585333287715912,2025-08-24 18:45:13.871354,2025-08-24 19:06:50.039422,0 days 00:21:36.168068,20,4.082354639191023e-05,normal,6,nz,7.581035137973102e-05,0.13139538883441965,148,544,,colnorm,old,1.5142866643177106,tanh,0.0075592041015625,COMPLETE,0.0075592041015625
35,0.29788332581520083,2025-08-24 19:06:50.041739,2025-08-24 19:27:51.584395,0 days 00:21:01.542656,20,,uniform,6,nz,5.5327397821748675e-06,0.105227053165318,559,448,0.5139020588763892,pca,old,1.042947214502382,logistic,0.010066914558410644,COMPLETE,0.010066914558410644
36,0.4610666573047638,2025-08-24 19:27:51.585461,2025-08-24 19:32:12.598849,0 days 00:04:21.013388,100,1.7624021487699627e-06,uniform,7,nz,1.3366768926745921e-08,0.060046256442332545,8393,704,,colnorm,Glorot,,logistic,9.331703186035156e-05,COMPLETE,9.331703186035156e-05
37,0.4610666513442993,2025-08-24 19:32:12.600277,2025-08-24 19:52:45.818395,0 days 00:20:33.218118,20,0.00010563746401908212,uniform,6,zero,,0.024836456184841513,7143,592,,colnorm,old,0.46311599083537214,logistic,0.0004701852798461914,COMPLETE,0.0004701852798461914
38,0.46234999895095824,2025-08-24 19:52:45.820282,2025-08-24 19:57:23.007967,0 days 00:04:37.187685,100,0.00013644898880069324,normal,6,nz,0.0004189770856885702,0.003595237054311967,7336,128,,colnorm,Glorot,,tanh,0.007600927352905273,COMPLETE,0.007600927352905273
39,0.31088332533836366,2025-08-24 19:57:23.010146,2025-08-24 20:18:45.260378,0 days 00:21:22.250232,20,0.0009284350289816,normal,6,nz,4.163798344948642e-07,0.004002033847564118,179,768,,colnorm,Glorot,,logistic,0.013047242164611816,COMPLETE,0.013047242164611816
40,0.4848166584968567,2025-08-24 20:18:45.260878,2025-08-24 20:40:38.450715,0 days 00:21:53.189837,20,9.58563190423807e-08,normal,6,nz,3.987772906218213e-05,0.03436785351157581,1307,368,,colnorm,Glorot,,logistic,0.004928016662597656,COMPLETE,0.004928016662597656
