number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
24,0.11379032582044601,2025-09-02 17:40:28.160280,2025-09-02 17:47:24.249883,0 days 00:06:56.089603,100,uniform,7,zero,,1.9973397341322524e-05,1337,448,Glorot,,logistic,0.013173937797546387,COMPLETE,0.013173937797546387
25,0.375774210691452,2025-09-02 17:47:24.250785,2025-09-02 17:54:20.440805,0 days 00:06:56.190020,100,normal,8,zero,,0.001313336169200039,1126,480,old,1.4607765707779474,logistic,0.012929916381835938,COMPLETE,0.012929916381835938
26,0.32487097978591917,2025-09-02 17:54:20.441457,2025-09-02 18:01:44.558551,0 days 00:07:24.117094,100,normal,5,nz,0.002310508554631245,2.993279432713497e-06,212,208,Glorot,,tanh,0.012949466705322266,COMPLETE,0.012949466705322266
27,0.33761290907859803,2025-09-02 18:01:44.559476,2025-09-02 18:38:23.440492,0 days 00:36:38.881016,20,normal,7,nz,1.059684351920824e-06,4.77818774805122e-06,1609,464,Glorot,,tanh,0.013211488723754883,COMPLETE,0.013211488723754883
28,0.4300322771072388,2025-09-02 18:38:23.440943,2025-09-02 19:12:50.166239,0 days 00:34:26.725296,20,normal,5,zero,,0.00013828279283371964,8171,128,old,0.770792829309715,tanh,0.012433815002441406,COMPLETE,0.012433815002441406
29,0.36572582125663755,2025-09-02 19:12:50.166674,2025-09-02 19:19:47.195845,0 days 00:06:57.029171,100,normal,7,zero,,0.0006383400130841039,1462,128,Glorot,,tanh,0.012629199028015136,COMPLETE,0.012629199028015136
30,0.8869032740592957,2025-09-02 19:19:47.200635,2025-09-02 19:54:26.375781,0 days 00:34:39.175146,20,uniform,7,zero,,0.27683708072824537,143,912,Glorot,,tanh,0.005581545829772949,COMPLETE,0.005581545829772949
31,0.31470969319343567,2025-09-02 19:54:26.376552,2025-09-02 20:29:08.880805,0 days 00:34:42.504253,20,normal,7,zero,,4.170746904604951e-06,2075,240,old,0.8838063500464266,tanh,0.013046574592590333,COMPLETE,0.013046574592590333
32,0.8650000095367432,2025-09-02 20:29:08.881255,2025-09-02 20:36:27.733990,0 days 00:07:18.852735,100,normal,7,nz,0.00015673483443304014,0.14406368678586515,405,992,old,1.6217947263397825,tanh,0.005174469947814941,COMPLETE,0.005174469947814941
33,0.5582741975784302,2025-09-02 20:36:27.734710,2025-09-02 20:43:20.682868,0 days 00:06:52.948158,100,uniform,5,zero,,0.057020059203906834,281,400,Glorot,,logistic,0.010098028182983398,COMPLETE,0.010098028182983398
34,0.3548548579216003,2025-09-02 20:43:20.683299,2025-09-02 20:50:20.219123,0 days 00:06:59.535824,100,normal,6,zero,,1.8175550179742918e-06,2310,832,old,1.6535901776344464,tanh,0.013073039054870606,COMPLETE,0.013073039054870606
35,0.3354677498340607,2025-09-02 20:50:20.219837,2025-09-02 20:57:42.721169,0 days 00:07:22.501332,100,normal,7,nz,2.3881625663818028e-08,0.00030129831042670976,192,416,Glorot,,tanh,0.013170528411865234,COMPLETE,0.013170528411865234
36,0.43219356536865233,2025-09-02 20:57:42.722119,2025-09-02 21:34:10.574274,0 days 00:36:27.852155,20,normal,6,nz,3.042048190917116e-07,0.0024865729443567025,230,432,old,1.9863089596180703,tanh,0.012912845611572266,COMPLETE,0.012912845611572266
37,0.30537097454071044,2025-09-02 21:34:10.575122,2025-09-02 21:40:59.862990,0 days 00:06:49.287868,100,normal,5,zero,,0.00031934072317515473,583,176,old,0.7980273673000766,tanh,0.013337087631225587,COMPLETE,0.013337087631225587
38,0.709000027179718,2025-09-02 21:40:59.863943,2025-09-02 22:15:21.164226,0 days 00:34:21.300283,20,normal,8,zero,,0.006015868242524775,614,480,old,0.21837927025566456,tanh,0.012403535842895507,COMPLETE,0.012403535842895507
39,0.11366129368543625,2025-09-02 22:15:21.164689,2025-09-02 22:49:55.323797,0 days 00:34:34.159108,20,normal,5,zero,,1.9422269127825716e-06,399,912,old,0.8895458827965552,logistic,0.013115286827087402,COMPLETE,0.013115286827087402
