number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
15,0.112693552672863,2025-08-24 14:25:47.264680,2025-08-24 14:54:33.090130,0 days 00:28:45.825450,20,,uniform,6,nz,4.5217557451024084e-07,0.00024928315599298995,515,512,176,752,,raw,old,1.1709311779111824,tanh,0.013175479571024577,0.013152050971984863,0.013227105140686035,0.013147282600402831,COMPLETE,0.013175479571024577,0.013152050971984863,0.013227105140686035,0.013147282600402831
16,0.112693552672863,2025-08-24 14:54:33.091655,2025-08-24 14:59:57.808800,0 days 00:05:24.717145,100,,uniform,6,zero,,0.00034912391835984966,2655,1008,352,736,,raw,Glorot,,tanh,0.013091031710306802,0.013102149963378907,0.013074493408203125,0.013096451759338379,COMPLETE,0.013091031710306802,0.013102149963378907,0.013074493408203125,0.013096451759338379
17,0.112693552672863,2025-08-24 14:59:57.809585,2025-08-24 15:28:24.327795,0 days 00:28:26.518210,20,,normal,6,nz,0.003098891758417325,0.0008440164593981861,1301,912,880,240,0.5561063925658498,pca,old,0.5462544338135313,logistic,0.013244191805521647,0.013272404670715332,0.013249421119689941,0.013210749626159668,COMPLETE,0.013244191805521647,0.013272404670715332,0.013249421119689941,0.013210749626159668
18,0.112693552672863,2025-08-24 15:28:24.328170,2025-08-24 15:56:42.908262,0 days 00:28:18.580092,20,,uniform,7,nz,0.0012361063948476514,0.00017047912451343645,270,480,992,624,,raw,Glorot,,logistic,0.013161547978719075,0.013174629211425782,0.013205313682556152,0.013104701042175293,COMPLETE,0.013161547978719075,0.013174629211425782,0.013205313682556152,0.013104701042175293
19,0.112693552672863,2025-08-24 15:56:42.908628,2025-08-24 16:23:44.343826,0 days 00:27:01.435198,20,,normal,8,zero,,0.8186484618563397,3702,224,896,720,,raw,Glorot,,logistic,0.002368402481079102,0.006586194038391113,0.00019884109497070312,0.0003201723098754883,COMPLETE,0.002368402481079102,0.006586194038391113,0.00019884109497070312,0.0003201723098754883
20,0.112693552672863,2025-08-24 16:23:44.345882,2025-08-24 16:29:23.578788,0 days 00:05:39.232906,100,,uniform,6,nz,0.0002247144159652352,0.5824613263289332,1377,96,176,32,,raw,Glorot,,logistic,0.012506000200907391,0.012782931327819824,0.013266825675964355,0.011468243598937989,COMPLETE,0.012506000200907391,0.012782931327819824,0.013266825675964355,0.011468243598937989
21,0.112693552672863,2025-08-24 16:29:23.579081,2025-08-24 16:35:07.438597,0 days 00:05:43.859516,100,,uniform,6,nz,0.0031762322412963125,0.0008525836944886396,895,656,352,992,,raw,old,0.8825031528075136,tanh,0.013158822059631347,0.012974739074707031,0.013286304473876954,0.013215422630310059,COMPLETE,0.013158822059631347,0.012974739074707031,0.013286304473876954,0.013215422630310059
22,0.112693552672863,2025-08-24 16:35:07.439906,2025-08-24 16:40:36.834352,0 days 00:05:29.394446,100,1.1440763747069189e-09,uniform,6,zero,,0.0013572916218580562,286,1008,1008,560,,colnorm,old,0.6363168365090601,logistic,0.013091731071472166,0.013129544258117676,0.01306452751159668,0.013081121444702148,COMPLETE,0.013091731071472166,0.013129544258117676,0.01306452751159668,0.013081121444702148
23,0.112693552672863,2025-08-24 16:40:36.834683,2025-08-24 16:46:03.668363,0 days 00:05:26.833680,100,,normal,8,zero,,4.3061830079117834e-05,102,96,800,16,0.9535186884098954,pca,old,0.4229283393084612,tanh,0.010092457135518393,0.012653684616088868,0.012959694862365723,0.004663991928100586,COMPLETE,0.010092457135518393,0.012653684616088868,0.012959694862365723,0.004663991928100586
24,0.11866129338741302,2025-08-24 16:46:03.668659,2025-08-24 17:14:27.867008,0 days 00:28:24.198349,20,5.659468770678343e-08,normal,7,nz,2.972205680742184e-07,6.15282914558757e-06,3796,128,800,288,,colnorm,Glorot,,tanh,0.013184873263041179,0.012923121452331543,0.013512492179870605,0.013119006156921386,COMPLETE,0.013184873263041179,0.012923121452331543,0.013512492179870605,0.013119006156921386
25,0.112693552672863,2025-08-24 17:14:27.867402,2025-08-24 17:41:27.972105,0 days 00:27:00.104703,20,,normal,5,zero,,0.001237123628998651,4732,752,992,160,,raw,Glorot,,logistic,0.013114126523335776,0.013221359252929688,0.013163518905639649,0.012957501411437988,COMPLETE,0.013114126523335776,0.013221359252929688,0.013163518905639649,0.012957501411437988
26,0.112693552672863,2025-08-24 17:41:27.972487,2025-08-24 18:09:53.707925,0 days 00:28:25.735438,20,,uniform,6,nz,0.00025273534942158024,1.5444453286934103e-06,443,832,48,704,0.5000924595149698,pca,old,1.6974991883625365,logistic,0.012948211034138998,0.012744426727294922,0.013187432289123535,0.012912774085998535,COMPLETE,0.012948211034138998,0.012744426727294922,0.013187432289123535,0.012912774085998535
27,0.112693552672863,2025-08-24 18:09:53.709093,2025-08-24 18:38:22.512125,0 days 00:28:28.803032,20,,uniform,5,nz,2.8653067848446513e-08,0.13594321102820803,100,64,960,832,0.5315053238870611,pca,Glorot,,logistic,0.012898755073547362,0.012771534919738769,0.013156819343566894,0.012767910957336426,COMPLETE,0.012898755073547362,0.012771534919738769,0.013156819343566894,0.012767910957336426
28,0.112693552672863,2025-08-24 18:38:22.512511,2025-08-24 18:44:04.806701,0 days 00:05:42.294190,100,,uniform,8,nz,2.195171270562009e-06,0.00019975831193664464,686,64,592,192,,raw,Glorot,,logistic,0.013001012802124024,0.012754201889038086,0.01313035488128662,0.013118481636047364,COMPLETE,0.013001012802124024,0.012754201889038086,0.01313035488128662,0.013118481636047364
