number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
16,0.6190968751907349,2025-09-03 04:48:57.200710,2025-09-03 05:16:34.176750,0 days 00:27:36.976040,20,uniform,5,zero,,4.481465560938961e-06,450,928,160,832,old,1.9993692687863487,tanh,0.01309461063808865,0.013103723526000977,0.013031999270121256,0.013148109118143717,COMPLETE,0.01309461063808865,0.013103723526000977,0.013031999270121256,0.013148109118143717
17,0.6238870223363241,2025-09-03 05:16:34.177122,2025-09-03 05:22:05.609857,0 days 00:05:31.432735,100,normal,5,zero,,1.357272557085702e-06,1626,992,592,304,old,1.000636396400883,tanh,0.013089246220058866,0.013098835945129395,0.013136744499206543,0.013032158215840658,COMPLETE,0.013089246220058866,0.013098835945129395,0.013136744499206543,0.013032158215840658
18,0.6752898891766866,2025-09-03 05:22:05.610241,2025-09-03 05:49:37.066699,0 days 00:27:31.456458,20,normal,5,zero,,0.00047629753700197336,299,912,736,192,old,0.9803391648118072,tanh,0.013133804003397623,0.013063470522562662,0.013113458951314291,0.013224482536315918,COMPLETE,0.013133804003397623,0.013063470522562662,0.013113458951314291,0.013224482536315918
19,0.9734838604927063,2025-09-03 05:49:37.067388,2025-09-03 06:18:50.268592,0 days 00:29:13.201204,20,uniform,8,nz,1.3911845869625818e-08,0.005226421886733568,6103,896,976,560,old,0.21738266587211047,logistic,0.011869112650553385,0.012739141782124838,0.01259148120880127,0.010276714960734049,COMPLETE,0.011869112650553385,0.012739141782124838,0.01259148120880127,0.010276714960734049
20,0.9779677192370096,2025-09-03 06:18:50.269469,2025-09-03 06:47:49.243197,0 days 00:28:58.973728,20,uniform,8,nz,1.2199588059394355e-08,0.0769650793161218,4928,1024,736,688,old,0.24741824076349528,tanh,0.008823129865858289,0.008345325787862143,0.0092392365137736,0.008884827295939127,COMPLETE,0.008823129865858289,0.008345325787862143,0.0092392365137736,0.008884827295939127
21,0.9785161217053732,2025-09-03 06:47:49.243576,2025-09-03 07:17:11.893584,0 days 00:29:22.650008,20,uniform,8,nz,1.1050555782101909e-08,0.0732601658766065,3972,1024,816,416,old,0.21092727299959588,tanh,0.009215606583489314,0.009209950764973959,0.009888052940368652,0.008548816045125326,COMPLETE,0.009215606583489314,0.009209950764973959,0.009888052940368652,0.008548816045125326
22,0.0983548363049825,2025-09-03 07:17:11.894318,2025-09-03 07:46:09.940175,0 days 00:28:58.045857,20,uniform,8,nz,1.0008105235130407e-08,0.3561370975222723,6039,912,608,528,old,0.22437211919835556,tanh,,,,,COMPLETE,,,,
23,0.8806451161702474,2025-09-03 07:46:09.941095,2025-09-03 08:15:14.734863,0 days 00:29:04.793768,20,normal,8,nz,2.1724727094947852e-07,7.461180237421455e-05,3625,896,816,336,old,0.21604829310903279,tanh,0.013114200698004827,0.013142863909403482,0.013083259264628092,0.01311647891998291,COMPLETE,0.013114200698004827,0.013142863909403482,0.013083259264628092,0.01311647891998291
24,0.9743225574493408,2025-09-03 08:15:14.737199,2025-09-03 08:21:03.241092,0 days 00:05:48.503893,100,uniform,6,nz,1.0717217503998855e-08,0.0896330727305625,1557,928,1008,784,old,0.6893877384582874,tanh,0.012033475769890679,0.011804739634195963,0.01208500067392985,0.012210687001546225,COMPLETE,0.012033475769890679,0.011804739634195963,0.01208500067392985,0.012210687001546225
25,0.600773274898529,2025-09-03 08:21:03.241505,2025-09-03 08:26:53.084374,0 days 00:05:49.842869,100,uniform,6,nz,1.3716432862317632e-07,0.23210393500585524,882,1008,848,912,old,0.6928605699074127,logistic,0.0017036332024468316,0.0033516486485799155,0.0013054211934407551,0.0004538297653198242,COMPLETE,0.0017036332024468316,0.0033516486485799155,0.0013054211934407551,0.0004538297653198242
