number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
22,0.44269357323646547,2025-08-23 06:19:00.049095,2025-08-23 06:23:08.255676,0 days 00:04:08.206581,20,,normal,8,nz,0.00180794048733025,0.021721771897450753,5260,464,0.517117910674237,pca,old,1.36232924348388,tanh,0.001787257194519043,COMPLETE,0.001787257194519043
23,0.7427258133888245,2025-08-23 06:23:08.255955,2025-08-23 06:27:02.721218,0 days 00:03:54.465263,20,2.5121261485131696e-08,uniform,5,zero,,0.2944585225587344,637,224,,colnorm,Glorot,,tanh,0.00013687610626220704,COMPLETE,0.00013687610626220704
24,0.09798387438058853,2025-08-23 06:27:02.721483,2025-08-23 06:31:00.035472,0 days 00:03:57.313989,20,,uniform,8,zero,,0.2914474014398684,9715,432,,raw,old,1.6369911378155324,tanh,,COMPLETE,
25,0.7721774578094482,2025-08-23 06:31:00.035757,2025-08-23 06:34:55.902332,0 days 00:03:55.866575,20,,normal,5,zero,,0.22242176732040927,7420,368,0.7436911781262683,pca,old,1.1722914866764322,logistic,7.991790771484375e-05,COMPLETE,7.991790771484375e-05
26,0.7403064608573914,2025-08-23 06:34:55.902589,2025-08-23 06:38:43.598680,0 days 00:03:47.696091,20,,normal,8,zero,,0.00171624312383316,7735,80,0.9800239731695349,pca,old,1.2048899213319764,tanh,0.007813382148742675,COMPLETE,0.007813382148742675
27,0.8152581095695496,2025-08-23 06:38:43.598908,2025-08-23 06:42:38.932331,0 days 00:03:55.333423,20,,normal,6,zero,,0.16780264708481435,1414,304,0.7846322994562924,pca,Glorot,,logistic,0.00012564659118652344,COMPLETE,0.00012564659118652344
28,0.09798387438058853,2025-08-23 06:42:38.932648,2025-08-23 06:46:37.106715,0 days 00:03:58.174067,20,,normal,8,zero,,0.4556641264256633,1266,336,0.8062761526645443,pca,Glorot,,logistic,,COMPLETE,
29,0.09798387438058853,2025-08-23 06:46:37.106987,2025-08-23 06:50:32.149607,0 days 00:03:55.042620,20,,normal,6,zero,,0.19351684942339686,685,784,0.8427004075494813,pca,Glorot,,logistic,,COMPLETE,
30,0.6708709836006165,2025-08-23 06:50:32.149829,2025-08-23 06:54:32.280346,0 days 00:04:00.130517,20,,normal,6,nz,0.007395778600378908,0.0302403230170818,2880,64,0.6588796042307223,pca,Glorot,,logistic,-7.092952728271484e-05,COMPLETE,-7.092952728271484e-05
31,0.7998709797859191,2025-08-23 06:54:32.280657,2025-08-23 06:58:26.966147,0 days 00:03:54.685490,20,,normal,6,zero,,0.2947123143423652,523,144,0.8183020070638285,pca,Glorot,,logistic,-5.7697296142578125e-05,COMPLETE,-5.7697296142578125e-05
32,0.7270967960357666,2025-08-23 06:58:26.968154,2025-08-23 07:02:15.126306,0 days 00:03:48.158152,20,,normal,6,zero,,0.010792814997058923,616,96,0.8156635948111851,pca,Glorot,,tanh,0.008053421974182129,COMPLETE,0.008053421974182129
33,0.7540000438690185,2025-08-23 07:02:15.126542,2025-08-23 07:06:08.056939,0 days 00:03:52.930397,20,,normal,6,zero,,0.2107601207216795,262,208,0.8547807105656137,pca,old,1.675774579195929,logistic,0.002231597900390625,COMPLETE,0.002231597900390625
34,0.6202580690383911,2025-08-23 07:06:08.057224,2025-08-23 07:06:56.747940,0 days 00:00:48.690716,100,,normal,6,zero,,0.002023959953176117,1577,304,0.7618783161169348,pca,Glorot,,logistic,0.011637306213378907,COMPLETE,0.011637306213378907
35,0.09798387438058853,2025-08-23 07:06:56.748234,2025-08-23 07:11:05.728115,0 days 00:04:08.979881,20,,normal,6,nz,4.666314313749841e-05,0.749432590052121,7823,144,,raw,old,1.1306295867510097,tanh,,COMPLETE,
36,0.8004193663597107,2025-08-23 07:11:05.728398,2025-08-23 07:15:01.873671,0 days 00:03:56.145273,20,,normal,6,zero,,0.267266305600044,520,176,0.8663366313817382,pca,Glorot,,logistic,0.0007920980453491211,COMPLETE,0.0007920980453491211
37,0.09798387438058853,2025-08-23 07:15:01.873934,2025-08-23 07:18:58.902604,0 days 00:03:57.028670,20,,normal,8,zero,,0.2345965975600609,1556,400,,raw,Glorot,,tanh,,COMPLETE,
38,0.7890967965126038,2025-08-23 07:18:58.904341,2025-08-23 07:19:50.846529,0 days 00:00:51.942188,100,,normal,6,nz,9.887602202626604e-05,0.2787465063201228,5313,528,0.9964549486023166,pca,old,1.620274601073389,tanh,8.75234603881836e-05,COMPLETE,8.75234603881836e-05
39,0.7979354977607727,2025-08-23 07:19:50.846766,2025-08-23 07:23:49.734799,0 days 00:03:58.888033,20,1.9435337948924992e-08,normal,6,zero,,0.1621081997314598,9930,672,,colnorm,old,1.1192014531246253,tanh,-1.6307830810546876e-05,COMPLETE,-1.6307830810546876e-05
40,0.7827419638633728,2025-08-23 07:23:49.736791,2025-08-23 07:24:36.891743,0 days 00:00:47.154952,100,,normal,7,zero,,0.0271579007665128,5857,416,,raw,old,1.9338806354270637,tanh,0.006026577949523926,COMPLETE,0.006026577949523926
41,0.758274245262146,2025-08-23 07:24:36.891976,2025-08-23 07:28:33.465833,0 days 00:03:56.573857,20,,normal,5,zero,,0.2691804797628595,135,176,0.868874375320114,pca,Glorot,,logistic,0.0037518978118896485,COMPLETE,0.0037518978118896485
42,0.6634838938713074,2025-08-23 07:28:33.466103,2025-08-23 07:29:21.057082,0 days 00:00:47.590979,100,,normal,6,zero,,0.03427760501867541,145,128,0.8602784308606358,pca,Glorot,,logistic,0.007378315925598145,COMPLETE,0.007378315925598145
43,0.7704193949699402,2025-08-23 07:29:21.057313,2025-08-23 07:30:09.442754,0 days 00:00:48.385441,100,,normal,8,zero,,0.16035619886430713,8553,464,0.7399458318144267,pca,Glorot,,tanh,5.729198455810547e-05,COMPLETE,5.729198455810547e-05
44,0.8178387641906738,2025-08-23 07:30:09.443073,2025-08-23 07:34:05.886982,0 days 00:03:56.443909,20,,normal,6,zero,,0.07594966086223608,7300,320,,raw,Glorot,,logistic,0.0006533384323120118,COMPLETE,0.0006533384323120118
45,0.7531290769577026,2025-08-23 07:34:05.887263,2025-08-23 07:37:59.939420,0 days 00:03:54.052157,20,,normal,6,zero,,0.044368765090396126,2927,208,,raw,Glorot,,logistic,0.002203965187072754,COMPLETE,0.002203965187072754
46,0.7867419600486756,2025-08-23 07:37:59.941249,2025-08-23 07:41:54.638122,0 days 00:03:54.696873,20,5.939954692928114e-06,normal,7,zero,,0.078447647128964,9868,208,,colnorm,Glorot,,logistic,8.797645568847656e-06,COMPLETE,8.797645568847656e-06
47,0.8009193658828735,2025-08-23 07:41:54.638424,2025-08-23 07:46:03.096869,0 days 00:04:08.458445,20,,normal,8,nz,0.009386612722547922,0.02848589333283223,9299,336,0.9253515258435352,pca,Glorot,,tanh,0.06815168857574463,COMPLETE,0.06815168857574463
48,0.7972580790519714,2025-08-23 07:46:03.097161,2025-08-23 07:50:15.315743,0 days 00:04:12.218582,20,,normal,8,nz,0.009682662833858052,0.12050989930643388,4583,432,0.9976311109593325,pca,Glorot,,tanh,0.13335926532745362,COMPLETE,0.13335926532745362
49,0.7317258238792419,2025-08-23 07:50:15.316031,2025-08-23 07:54:13.020646,0 days 00:03:57.704615,20,,uniform,6,zero,,0.005175674411284082,7269,656,,raw,Glorot,,logistic,0.007899117469787598,COMPLETE,0.007899117469787598
50,0.7396129131317138,2025-08-23 07:54:13.020944,2025-08-23 07:58:21.543516,0 days 00:04:08.522572,20,,normal,6,nz,0.0006018886177433526,0.004171298343368015,2923,496,,raw,Glorot,,tanh,0.010611200332641601,COMPLETE,0.010611200332641601
51,0.7082419753074646,2025-08-23 07:58:21.543799,2025-08-23 08:02:18.589398,0 days 00:03:57.045599,20,,normal,8,nz,0.009764412610561856,0.0019500999509125992,8186,16,0.9041814009742962,pca,Glorot,,tanh,0.001954817771911621,COMPLETE,0.001954817771911621
