number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
15,0.521014267206192,2025-08-24 14:48:54.140549,2025-08-24 15:20:09.366281,0 days 00:31:15.225732,20,,uniform,6,nz,4.5217557451024084e-07,0.00024928315599298995,515,512,176,752,,raw,old,1.1709311779111824,tanh,0.013173675537109375,0.013153886795043946,0.01321718692779541,0.01314995288848877,COMPLETE,0.013173675537109375,0.013153886795043946,0.01321718692779541,0.01314995288848877
16,0.6069714188575744,2025-08-24 15:20:09.367724,2025-08-24 15:26:05.756138,0 days 00:05:56.388414,100,,uniform,6,zero,,0.00034912391835984966,2655,1008,352,736,,raw,Glorot,,tanh,0.012956372896830241,0.01301429271697998,0.012884378433227539,0.012970447540283203,COMPLETE,0.012956372896830241,0.01301429271697998,0.012884378433227539,0.012970447540283203
17,0.21421428322792052,2025-08-24 15:26:05.756994,2025-08-24 15:57:16.035680,0 days 00:31:10.278686,20,,normal,6,nz,0.003098891758417325,0.0008440164593981861,1301,912,880,240,0.5561063925658498,pca,old,0.5462544338135313,logistic,0.013208611806233722,0.013292145729064942,0.01305091381072998,0.01328277587890625,COMPLETE,0.013208611806233722,0.013292145729064942,0.01305091381072998,0.01328277587890625
18,0.10000000149011612,2025-08-24 15:57:16.036054,2025-08-24 16:28:27.291394,0 days 00:31:11.255340,20,,uniform,7,nz,0.0012361063948476514,0.00017047912451343645,270,480,992,624,,raw,Glorot,,logistic,0.01316184997558594,0.013174653053283691,0.013205313682556152,0.01310558319091797,COMPLETE,0.01316184997558594,0.013174653053283691,0.013205313682556152,0.01310558319091797
19,0.10000000149011612,2025-08-24 16:28:27.293265,2025-08-24 16:57:58.549645,0 days 00:29:31.256380,20,,normal,8,zero,,0.8186484618563397,3702,224,896,720,,raw,Glorot,,logistic,0.004544401168823243,0.00753014087677002,0.0008645534515380859,0.0052385091781616214,COMPLETE,0.004544401168823243,0.00753014087677002,0.0008645534515380859,0.0052385091781616214
20,0.6215571403503418,2025-08-24 16:57:58.551166,2025-08-24 17:04:11.970016,0 days 00:06:13.418850,100,,uniform,6,nz,0.0002247144159652352,0.5824613263289332,1377,96,176,32,,raw,Glorot,,logistic,0.009666490554809571,0.01866590976715088,0.0001325845718383789,0.010200977325439453,COMPLETE,0.009666490554809571,0.01866590976715088,0.0001325845718383789,0.010200977325439453
21,0.6474142670631409,2025-08-24 17:04:11.970272,2025-08-24 17:10:28.305683,0 days 00:06:16.335411,100,,uniform,6,nz,0.0031762322412963125,0.0008525836944886396,895,656,352,992,,raw,old,0.8825031528075136,tanh,0.012999629974365235,0.012868118286132813,0.013101530075073243,0.013029241561889648,COMPLETE,0.012999629974365235,0.012868118286132813,0.013101530075073243,0.013029241561889648
22,0.15214285552501677,2025-08-24 17:10:28.306005,2025-08-24 17:16:31.697299,0 days 00:06:03.391294,100,1.1440763747069189e-09,uniform,6,zero,,0.0013572916218580562,286,1008,1008,560,,colnorm,old,0.6363168365090601,logistic,0.013091715176900227,0.013129520416259765,0.0130645751953125,0.013081049919128418,COMPLETE,0.013091715176900227,0.013129520416259765,0.0130645751953125,0.013081049919128418
23,0.38609999418258667,2025-08-24 17:16:31.697569,2025-08-24 17:22:30.955250,0 days 00:05:59.257681,100,,normal,8,zero,,4.3061830079117834e-05,102,96,800,16,0.9535186884098954,pca,old,0.4229283393084612,tanh,0.012292043368021649,0.012795400619506837,0.012988543510437012,0.011092185974121094,COMPLETE,0.012292043368021649,0.012795400619506837,0.012988543510437012,0.011092185974121094
24,0.5858999967575074,2025-08-24 17:22:30.955583,2025-08-24 17:53:49.782180,0 days 00:31:18.826597,20,5.659468770678343e-08,normal,7,nz,2.972205680742184e-07,6.15282914558757e-06,3796,128,800,288,,colnorm,Glorot,,tanh,0.013184873263041179,0.01292269229888916,0.013512682914733887,0.013119244575500488,COMPLETE,0.013184873263041179,0.01292269229888916,0.013512682914733887,0.013119244575500488
