number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
16,0.4647166629632314,2025-09-02 14:23:46.100303,2025-09-02 14:50:28.081441,0 days 00:26:41.981138,20,uniform,5,zero,,0.057265109303175826,126,832,304,560,old,0.2702596726554056,logistic,0.012363844447665745,0.012845595677693685,0.012316544850667318,0.01192939281463623,COMPLETE,0.012363844447665745,0.012845595677693685,0.012316544850667318,0.01192939281463623
17,0.49718332290649414,2025-09-02 14:50:28.081808,2025-09-02 14:56:09.112050,0 days 00:05:41.030242,100,uniform,6,nz,9.611097681268518e-06,0.05713327666925594,2944,800,224,880,old,1.1225846061944966,tanh,0.006454944610595703,0.00652619202931722,0.004212816556294759,0.00862582524617513,COMPLETE,0.006454944610595703,0.00652619202931722,0.004212816556294759,0.00862582524617513
18,0.24026666581630707,2025-09-02 14:56:09.112434,2025-09-02 15:01:49.067710,0 days 00:05:39.955276,100,uniform,7,nz,7.353420094970839e-05,0.0006768682345316936,355,992,352,336,old,0.20766867979710768,logistic,0.013055470254686145,0.013078570365905762,0.013049006462097168,0.013038833936055502,COMPLETE,0.013055470254686145,0.013078570365905762,0.013049006462097168,0.013038833936055502
19,0.31869998574256897,2025-09-02 15:01:49.068549,2025-09-02 15:30:10.170962,0 days 00:28:21.102413,20,normal,7,nz,0.000695555700756957,4.454657309615775e-05,7150,768,880,448,Glorot,,tanh,0.013123485777113175,0.013138850529988607,0.013098676999409994,0.013132929801940918,COMPLETE,0.013123485777113175,0.013138850529988607,0.013098676999409994,0.013132929801940918
20,0.25368332862854004,2025-09-02 15:30:10.171371,2025-09-02 15:35:34.006689,0 days 00:05:23.835318,100,normal,8,zero,,4.8684447001665524e-05,242,224,928,896,Glorot,,logistic,0.013076530562506782,0.013080954551696777,0.013092358907063803,0.013056278228759766,COMPLETE,0.013076530562506782,0.013080954551696777,0.013092358907063803,0.013056278228759766
21,0.3859499990940094,2025-09-02 15:35:34.007075,2025-09-02 16:03:50.217605,0 days 00:28:16.210530,20,normal,8,nz,1.997339734132248e-07,0.00017577045838828472,6452,960,992,160,old,0.8348477899736664,tanh,0.0130159060160319,0.013094663619995117,0.01310571034749349,0.012847344080607096,COMPLETE,0.0130159060160319,0.013094663619995117,0.01310571034749349,0.012847344080607096
22,0.45383332173029584,2025-09-02 16:03:50.217979,2025-09-02 16:30:27.286144,0 days 00:26:37.068165,20,uniform,8,zero,,0.015258444911270038,662,896,208,304,old,1.7513600951408292,logistic,0.011780050065782336,0.012558897336324057,0.012023289998372396,0.010757962862650553,COMPLETE,0.011780050065782336,0.012558897336324057,0.012023289998372396,0.010757962862650553
23,0.23524999618530273,2025-09-02 16:30:27.287010,2025-09-02 16:36:06.183330,0 days 00:05:38.896320,100,normal,6,nz,0.002310508554631245,2.993279432713497e-06,212,240,576,448,old,1.457383949023868,logistic,0.01304312547047933,0.013050079345703125,0.013031840324401855,0.013047456741333008,COMPLETE,0.01304312547047933,0.013050079345703125,0.013031840324401855,0.013047456741333008
24,0.25501665969689685,2025-09-02 16:36:06.184024,2025-09-02 16:41:42.784593,0 days 00:05:36.600569,100,normal,7,nz,8.174523490234683e-06,0.8661912331013609,198,464,544,368,Glorot,,logistic,0.00710912545522054,0.009087403615315756,0.009178598721822103,0.003061374028523763,COMPLETE,0.00710912545522054,0.009087403615315756,0.009178598721822103,0.003061374028523763
25,0.09999999403953552,2025-09-02 16:41:42.786444,2025-09-02 17:08:21.341229,0 days 00:26:38.554785,20,normal,6,zero,,0.3982962611175414,5335,240,464,560,old,1.2518275415538762,tanh,,,,,COMPLETE,,,,
