number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.07721666544675827,2025-08-24 10:57:00.737148,2025-08-24 11:15:51.532763,0 days 00:18:50.795615,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,0.013045477867126464,COMPLETE,0.013045477867126464
1,0.06748333126306534,2025-08-24 11:15:51.534532,2025-08-24 11:19:53.437348,0 days 00:04:01.902816,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,0.013213086128234863,COMPLETE,0.013213086128234863
2,0.0103666665032506,2025-08-24 11:19:53.437666,2025-08-24 11:23:29.293206,0 days 00:03:35.855540,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,0.008798670768737794,COMPLETE,0.008798670768737794
3,0.07049999982118607,2025-08-24 11:23:29.293537,2025-08-24 11:41:33.270700,0 days 00:18:03.977163,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,0.013218092918395995,COMPLETE,0.013218092918395995
4,0.20343333184719087,2025-08-24 11:41:33.271072,2025-08-24 11:45:16.971342,0 days 00:03:43.700270,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,0.006657266616821289,COMPLETE,0.006657266616821289
5,0.20480000078678132,2025-08-24 11:45:16.971616,2025-08-24 12:04:05.203598,0 days 00:18:48.231982,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,0.0014631271362304688,COMPLETE,0.0014631271362304688
6,0.07698333114385605,2025-08-24 12:04:05.203976,2025-08-24 12:07:53.460827,0 days 00:03:48.256851,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,0.01298837661743164,COMPLETE,0.01298837661743164
7,0.20236666798591613,2025-08-24 12:07:53.462494,2025-08-24 12:11:35.976930,0 days 00:03:42.514436,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,0.001076483726501465,COMPLETE,0.001076483726501465
8,0.21421666145324708,2025-08-24 12:11:35.977196,2025-08-24 12:15:33.174041,0 days 00:03:57.196845,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,0.010146999359130859,COMPLETE,0.010146999359130859
9,0.06655000001192093,2025-08-24 12:15:33.174371,2025-08-24 12:19:20.657922,0 days 00:03:47.483551,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,0.013100814819335938,COMPLETE,0.013100814819335938
10,0.22404999732971193,2025-08-24 12:19:20.658158,2025-08-24 12:38:20.909841,0 days 00:19:00.251683,20,,normal,8,nz,0.002551744641784246,0.03420715013038941,7313,368,0.936638035172104,pca,old,1.3715103262460462,tanh,0.00015268325805664062,COMPLETE,0.00015268325805664062
11,0.0972166657447815,2025-08-24 12:38:20.910214,2025-08-24 12:41:55.253734,0 days 00:03:34.343520,100,,uniform,5,zero,,0.002472295306383974,2075,64,,raw,old,0.2686955279215667,tanh,0.010091280937194825,COMPLETE,0.010091280937194825
12,0.012116666696965695,2025-08-24 12:41:55.254043,2025-08-24 12:59:45.488768,0 days 00:17:50.234725,20,,normal,8,zero,,0.12633115655273697,7996,496,,raw,old,1.2383117176396174,tanh,0.011678481101989746,COMPLETE,0.011678481101989746
13,0.22163332998752594,2025-08-24 12:59:45.489144,2025-08-24 13:03:29.822827,0 days 00:03:44.333683,100,0.00026396605532175534,normal,8,zero,,0.0856956409647669,1799,288,,colnorm,old,1.2920153892124882,logistic,0.0007654190063476563,COMPLETE,0.0007654190063476563
14,0.17981666326522827,2025-08-24 13:03:29.823100,2025-08-24 13:21:19.678240,0 days 00:17:49.855140,20,1.9234441996304963e-05,normal,5,zero,,0.1914526965665586,1879,192,,colnorm,Glorot,,logistic,0.00027062892913818357,COMPLETE,0.00027062892913818357
15,0.20721666812896727,2025-08-24 13:21:19.680922,2025-08-24 13:40:16.239246,0 days 00:18:56.558324,20,1.2471437960535648e-06,normal,5,nz,1.3116339985565845e-05,0.002599150833651273,8061,416,,colnorm,Glorot,,tanh,0.00980672836303711,COMPLETE,0.00980672836303711
16,0.027899999544024466,2025-08-24 13:40:16.239636,2025-08-24 13:43:56.226650,0 days 00:03:39.987014,100,4.664316241584911e-07,uniform,6,zero,,0.00030045263597290177,531,32,,colnorm,Glorot,,logistic,0.01163949966430664,COMPLETE,0.01163949966430664
17,0.15736666619777678,2025-08-24 13:43:56.227465,2025-08-24 13:47:39.704130,0 days 00:03:43.476665,100,,uniform,5,nz,0.0020148539176503438,0.004266449491975976,3210,464,,raw,old,0.6801332526612567,logistic,0.009757137298583985,COMPLETE,0.009757137298583985
18,0.17461666464805603,2025-08-24 13:47:39.704398,2025-08-24 14:06:24.283540,0 days 00:18:44.579142,20,6.917979271942646e-07,normal,6,nz,6.192186988258287e-07,0.0030403110046740844,7268,928,,colnorm,Glorot,,logistic,0.011211562156677245,COMPLETE,0.011211562156677245
19,0.1997999966144562,2025-08-24 14:06:24.283919,2025-08-24 14:25:05.540775,0 days 00:18:41.256856,20,0.0002913468031487346,uniform,6,nz,1.265187772100772e-08,0.10035093057105589,548,256,,colnorm,old,0.2772973808283531,logistic,0.0036380529403686524,COMPLETE,0.0036380529403686524
20,0.1841999977827072,2025-08-24 14:25:05.541156,2025-08-24 14:28:47.016817,0 days 00:03:41.475661,100,1.2900430342543819e-09,normal,8,zero,,0.044334662456748275,1441,112,,colnorm,old,1.49020452407454,logistic,0.002108144760131836,COMPLETE,0.002108144760131836
21,0.2048333317041397,2025-08-24 14:28:47.017166,2025-08-24 14:32:46.133156,0 days 00:03:59.115990,100,,uniform,7,nz,0.0003179747627901083,0.095373289988913,1037,576,0.9906088554764183,pca,old,1.243606096121123,tanh,0.0005053043365478516,COMPLETE,0.0005053043365478516
