number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
26,0.5143064260482788,2025-08-19 17:10:48.656757,2025-08-19 17:14:13.859680,0 days 00:03:25.202923,20,1.7720963472623948e-05,normal,8,nz,0.006995695414287235,0.0004475949382471403,6632,768,,colnorm,Glorot,,logistic,COMPLETE
27,0.7748709519704183,2025-08-19 17:14:13.860130,2025-08-19 17:17:26.422652,0 days 00:03:12.562522,20,1.230619968861929e-06,normal,8,zero,,0.12224399319839001,4921,928,,colnorm,Glorot,,logistic,COMPLETE
28,0.5207741657892863,2025-08-19 17:17:26.423097,2025-08-19 17:20:44.480599,0 days 00:03:18.057502,20,5.935753108526932e-07,normal,8,zero,,0.013365889196547655,1549,912,,colnorm,Glorot,,logistic,COMPLETE
29,0.7733548482259115,2025-08-19 17:20:44.481348,2025-08-19 17:24:08.614240,0 days 00:03:24.132892,20,2.0275642199964826e-09,normal,8,zero,,0.10221789557062144,6507,1008,,colnorm,Glorot,,logistic,COMPLETE
30,0.696016252040863,2025-08-19 17:24:08.614694,2025-08-19 17:27:22.990777,0 days 00:03:14.376083,20,2.3576171263155377e-06,normal,8,zero,,0.8938865443285898,2823,928,,colnorm,Glorot,,logistic,COMPLETE
31,0.7758549054463705,2025-08-19 17:27:22.991644,2025-08-19 17:30:36.325726,0 days 00:03:13.334082,20,1.3359195658024005e-09,normal,8,zero,,0.07277056430174521,6998,1024,,colnorm,Glorot,,logistic,COMPLETE
32,0.768645187218984,2025-08-19 17:30:36.326184,2025-08-19 17:33:54.073386,0 days 00:03:17.747202,20,3.0568012233983716e-08,normal,8,zero,,0.037838262587184264,9762,944,,colnorm,Glorot,,logistic,COMPLETE
33,0.7004356185595194,2025-08-19 17:33:54.073822,2025-08-19 17:37:05.114988,0 days 00:03:11.041166,20,,normal,5,zero,,0.01399494228916756,5634,496,0.8765405508658164,pca,Glorot,,logistic,COMPLETE
34,0.773322582244873,2025-08-19 17:37:05.117823,2025-08-19 17:40:30.835857,0 days 00:03:25.718034,20,9.982312405358809e-05,normal,8,nz,1.8052068153152047e-08,0.11323104922293224,7490,1024,,colnorm,Glorot,,logistic,COMPLETE
35,0.5150967439015707,2025-08-19 17:40:30.836722,2025-08-19 17:43:43.799914,0 days 00:03:12.963192,20,1.2705772995969314e-09,normal,8,zero,,0.004058108784165685,3166,768,,colnorm,Glorot,,logistic,COMPLETE
36,0.7690484126408895,2025-08-19 17:43:43.800366,2025-08-19 17:46:59.651437,0 days 00:03:15.851071,20,5.0856455424564834e-08,normal,8,zero,,0.3078626925586099,4756,400,,colnorm,Glorot,,logistic,COMPLETE
37,0.7708870967229208,2025-08-19 17:46:59.651881,2025-08-19 17:50:21.956471,0 days 00:03:22.304590,20,3.5791222299891276e-06,normal,8,zero,,0.10958624661191228,7707,864,,colnorm,Glorot,,logistic,COMPLETE
38,0.5123225847880045,2025-08-19 17:50:21.956916,2025-08-19 17:53:43.431142,0 days 00:03:21.474226,20,,normal,5,nz,1.1840472892803598e-06,0.00021044242889034246,2009,928,0.7689767473142841,pca,Glorot,,logistic,COMPLETE
39,0.6648873488108317,2025-08-19 17:53:43.431598,2025-08-19 17:56:56.175583,0 days 00:03:12.743985,20,1.878607790580836e-07,normal,8,zero,,0.014203404297277754,5606,560,,colnorm,Glorot,,logistic,COMPLETE
40,0.7710322737693787,2025-08-19 17:56:56.176334,2025-08-19 18:00:21.090794,0 days 00:03:24.914460,20,0.00017002229063959253,normal,8,nz,4.3016850244884286e-06,0.5074043425595473,3667,752,,colnorm,Glorot,,logistic,COMPLETE
41,0.7759032448132833,2025-08-19 18:00:21.095476,2025-08-19 18:03:33.983611,0 days 00:03:12.888135,20,1.3831066536087042e-09,normal,8,zero,,0.11405525653452275,6630,1024,,colnorm,Glorot,,logistic,COMPLETE
42,0.770241936047872,2025-08-19 18:03:33.984058,2025-08-19 18:06:47.461871,0 days 00:03:13.477813,20,7.491406597213685e-09,normal,8,zero,,0.04564303798126101,6377,1024,,colnorm,Glorot,,logistic,COMPLETE
43,0.7741613388061523,2025-08-19 18:06:47.463811,2025-08-19 18:10:00.273368,0 days 00:03:12.809557,20,4.906977402368121e-09,normal,8,zero,,0.08370214580938128,4594,960,,colnorm,Glorot,,logistic,COMPLETE
44,0.7676451802253723,2025-08-19 18:10:00.273818,2025-08-19 18:13:11.465372,0 days 00:03:11.191554,20,5.461394032994937e-09,normal,8,zero,,0.4978649429496071,9572,896,,colnorm,Glorot,,logistic,COMPLETE
45,0.7700806260108948,2025-08-19 18:13:11.465820,2025-08-19 18:16:22.027397,0 days 00:03:10.561577,20,1.6853481483561347e-07,normal,7,zero,,0.15268910411823905,7972,848,,colnorm,Glorot,,logistic,COMPLETE
46,0.5215322971343994,2025-08-19 18:16:22.027846,2025-08-19 18:19:59.230304,0 days 00:03:37.202458,20,,normal,6,zero,,0.004271449668941306,123,960,0.5108215403046106,pca,old,1.9526415524024556,logistic,COMPLETE
47,0.7229516903559366,2025-08-19 18:19:59.232876,2025-08-19 18:23:40.694185,0 days 00:03:41.461309,20,4.403531560336907e-05,normal,8,zero,,0.025759465831185418,2976,672,,colnorm,Glorot,,logistic,COMPLETE
48,0.5111452341079712,2025-08-19 18:23:40.694650,2025-08-19 18:26:54.364749,0 days 00:03:13.670099,20,3.254267490660746e-06,normal,5,zero,,0.8242720776235312,4074,144,,colnorm,Glorot,,tanh,COMPLETE
49,0.5015645027160645,2025-08-19 18:26:54.365193,2025-08-19 18:30:19.518992,0 days 00:03:25.153799,20,1.4901325396132884e-08,normal,7,nz,0.009254997261421276,2.0751050240843277e-05,438,896,,colnorm,old,0.33509681222468135,logistic,COMPLETE
50,0.7481935620307922,2025-08-19 18:30:19.522563,2025-08-19 18:33:31.748244,0 days 00:03:12.225681,20,1.9349490563694876e-07,normal,6,zero,,0.04741612401756799,1860,800,,colnorm,Glorot,,tanh,COMPLETE
51,0.7788549264272054,2025-08-19 18:33:31.748699,2025-08-19 18:36:42.749082,0 days 00:03:11.000383,20,3.356608244754909e-09,normal,8,zero,,0.07957755064062433,4873,960,,colnorm,Glorot,,logistic,COMPLETE
52,0.7686774929364523,2025-08-19 18:36:42.749538,2025-08-19 18:39:55.274055,0 days 00:03:12.524517,20,1.0596673665301916e-09,normal,8,zero,,0.3266600732273497,5723,992,,colnorm,Glorot,,logistic,COMPLETE
53,0.7747258146603903,2025-08-19 18:39:55.274514,2025-08-19 18:43:08.458309,0 days 00:03:13.183795,20,2.7921985242969075e-09,normal,8,zero,,0.06421873836673694,4638,1024,,colnorm,Glorot,,logistic,COMPLETE
54,0.7896774013837179,2025-08-19 18:43:08.458767,2025-08-19 18:46:19.746712,0 days 00:03:11.287945,20,,normal,8,zero,,0.1468696389266862,7026,816,0.7535276038687228,pca,Glorot,,logistic,COMPLETE
55,0.5017419159412384,2025-08-19 18:46:19.747157,2025-08-19 18:47:00.404297,0 days 00:00:40.657140,100,,normal,8,zero,,2.225215781839369e-06,7977,800,0.7458991302385909,pca,Glorot,,logistic,COMPLETE
56,0.5227903326352438,2025-08-19 18:47:00.404559,2025-08-19 18:50:13.491762,0 days 00:03:13.087203,20,,uniform,8,zero,,0.010131754981513537,1083,688,0.7811526425245623,pca,old,0.551789429629734,logistic,COMPLETE
57,0.5210162003835043,2025-08-19 18:50:13.494486,2025-08-19 18:53:26.487606,0 days 00:03:12.993120,20,,normal,8,zero,,0.027631836517751446,180,432,0.6557084686221546,pca,Glorot,,logistic,COMPLETE
58,0.5384355982144674,2025-08-19 18:53:26.488051,2025-08-19 18:56:40.516005,0 days 00:03:14.027954,20,,normal,8,zero,,0.5010960082022166,3743,736,0.9022588382839435,pca,Glorot,,tanh,COMPLETE
59,0.7718226114908854,2025-08-19 18:56:40.516473,2025-08-19 18:57:19.737130,0 days 00:00:39.220657,100,,uniform,7,zero,,0.17910603063613195,6736,640,,raw,Glorot,,logistic,COMPLETE
60,0.521645168463389,2025-08-19 18:57:19.737540,2025-08-19 19:00:31.988636,0 days 00:03:12.251096,20,,normal,6,zero,,0.006867617413864408,2449,816,0.6694238601441787,pca,Glorot,,logistic,COMPLETE
61,0.7743387023607889,2025-08-19 19:00:31.994370,2025-08-19 19:03:44.201437,0 days 00:03:12.207067,20,0.0002820402594386589,normal,8,zero,,0.1474809430828892,5081,880,,colnorm,Glorot,,logistic,COMPLETE
