number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
25,0.8658387263615926,2025-08-19 17:21:42.237924,2025-08-19 17:25:16.257471,0 days 00:03:34.019547,20,,normal,5,nz,2.0229505640676504e-05,0.1020148545228882,3214,928,0.7038989226595374,pca,Glorot,,logistic,COMPLETE
26,0.8366451859474182,2025-08-19 17:25:16.258417,2025-08-19 17:28:50.875485,0 days 00:03:34.617068,20,,normal,5,nz,7.90180235191794e-05,0.035189872344737895,7058,400,0.8189108936362974,pca,Glorot,,logistic,COMPLETE
27,0.8851290742556254,2025-08-19 17:28:50.876234,2025-08-19 17:32:10.917126,0 days 00:03:20.040892,20,,normal,5,zero,,0.14924554294709944,4552,672,0.8366821120246702,pca,old,0.5276773979491501,logistic,COMPLETE
28,0.8905484080314636,2025-08-19 17:32:10.917612,2025-08-19 17:32:56.078454,0 days 00:00:45.160842,100,,normal,5,nz,1.2193077055260701e-05,0.3173016615180161,8836,704,0.8397946471139265,pca,old,0.5051058410953174,logistic,COMPLETE
29,0.8752097090085348,2025-08-19 17:32:56.078902,2025-08-19 17:33:39.333875,0 days 00:00:43.254973,100,,normal,5,nz,3.1655308536947674e-06,0.43415646236913863,5466,704,,raw,old,0.33702706449644904,logistic,COMPLETE
30,0.8949193557103475,2025-08-19 17:33:39.334094,2025-08-19 17:34:24.641474,0 days 00:00:45.307380,100,,normal,7,nz,7.581035137973102e-05,0.5937693936164916,5337,672,0.8399647316891168,pca,old,0.6549308859566287,logistic,COMPLETE
31,0.837790290514628,2025-08-19 17:34:24.641903,2025-08-19 17:35:09.925767,0 days 00:00:45.283864,100,,normal,7,nz,4.240615611418201e-05,0.09392467079937247,5196,1008,0.8342376611986295,pca,old,0.6006895402380538,logistic,COMPLETE
32,0.8252419034639994,2025-08-19 17:35:09.926211,2025-08-19 17:35:53.475359,0 days 00:00:43.549148,100,1.1035595133388481e-09,normal,7,nz,0.00010210035505923973,0.05382273653573172,8246,560,,colnorm,old,0.6779703905778999,logistic,COMPLETE
33,0.8230645259221395,2025-08-19 17:35:53.475631,2025-08-19 17:36:38.671256,0 days 00:00:45.195625,100,,uniform,5,nz,1.12948542823977e-05,0.03679369419376588,7410,560,0.8412215953033936,pca,old,0.2471826935060233,logistic,COMPLETE
34,0.8948226372400919,2025-08-19 17:36:38.671628,2025-08-19 17:37:23.338004,0 days 00:00:44.666376,100,,normal,5,nz,0.0002406366757960392,0.35337678836923575,9709,512,0.7584152153152512,pca,old,0.8685244703422343,logistic,COMPLETE
35,0.8894838293393453,2025-08-19 17:37:23.338421,2025-08-19 17:38:05.693203,0 days 00:00:42.354782,100,,normal,7,zero,,0.42957882463022923,7627,416,0.7421949682517682,pca,old,0.757270966053622,logistic,COMPLETE
36,0.8870322108268738,2025-08-19 17:38:05.693627,2025-08-19 17:38:47.214597,0 days 00:00:41.520970,100,,normal,7,zero,,0.22939821144456846,5552,432,0.698089104484554,pca,old,0.7539127504677852,logistic,COMPLETE
37,0.8238871097564697,2025-08-19 17:38:47.215040,2025-08-19 17:39:30.013474,0 days 00:00:42.798434,100,,normal,7,nz,1.416691950125189e-06,0.02433900392789184,3031,592,,raw,Glorot,,logistic,COMPLETE
38,0.8864516417185465,2025-08-19 17:39:30.013682,2025-08-19 17:40:12.239731,0 days 00:00:42.226049,100,,uniform,6,zero,,0.09340271856365986,7031,400,0.73580363360181,pca,old,0.7330344407498989,tanh,COMPLETE
39,0.8998386859893799,2025-08-19 17:40:12.240152,2025-08-19 17:40:56.666851,0 days 00:00:44.426699,100,,uniform,7,nz,0.00028822451130217525,0.6241708660900807,9245,400,0.7232807476888751,pca,Glorot,,logistic,COMPLETE
40,0.8890644709269205,2025-08-19 17:40:56.667289,2025-08-19 17:41:41.521451,0 days 00:00:44.854162,100,,uniform,7,nz,0.00034816757585912696,0.2326779703563526,4099,256,0.6262149493619197,pca,Glorot,,logistic,COMPLETE
41,0.8278548320134481,2025-08-19 17:41:41.521714,2025-08-19 17:42:26.057642,0 days 00:00:44.535928,100,,normal,8,nz,0.00024332225455340453,0.01542352289237046,6568,544,0.7266520201223771,pca,old,0.6055636991999775,logistic,COMPLETE
42,0.8816612561543783,2025-08-19 17:42:26.058076,2025-08-19 17:45:45.344682,0 days 00:03:19.286606,20,,uniform,7,zero,,0.22806986526047646,9898,272,0.7422939773391466,pca,Glorot,,logistic,COMPLETE
43,0.9009355107943217,2025-08-19 17:45:45.345558,2025-08-19 17:46:30.304867,0 days 00:00:44.959309,100,,normal,5,nz,0.00014869525671108486,0.48514978970628936,7593,768,0.7419357361490521,pca,old,0.8025912836490378,logistic,COMPLETE
44,0.8853064974149069,2025-08-19 17:46:30.305236,2025-08-19 17:47:15.127264,0 days 00:00:44.822028,100,,normal,5,nz,0.00017094840360518197,0.5415220026698897,5297,640,0.7556585047695271,pca,Glorot,,tanh,COMPLETE
45,0.8876936038335165,2025-08-19 17:47:15.127676,2025-08-19 17:47:59.987648,0 days 00:00:44.859972,100,,normal,5,nz,0.0002089737261888229,0.23562974721476437,7263,752,0.7794749252081419,pca,old,0.8518150825106411,logistic,COMPLETE
46,0.8251612782478333,2025-08-19 17:47:59.988129,2025-08-19 17:51:33.763516,0 days 00:03:33.775387,20,1.1336188220012038e-07,uniform,7,nz,4.4573192932893005e-05,0.01319255493706912,4124,544,,colnorm,Glorot,,logistic,COMPLETE
47,0.8277097145716349,2025-08-19 17:51:33.764285,2025-08-19 17:52:16.488925,0 days 00:00:42.724640,100,,normal,5,zero,,0.0502927911345526,5276,704,0.6614130951113285,pca,Glorot,,logistic,COMPLETE
48,0.8964516123135885,2025-08-19 17:52:16.489141,2025-08-19 17:53:01.418222,0 days 00:00:44.929081,100,,normal,6,nz,0.0003529654017483536,0.25598031158828466,8590,592,0.6972382210213157,pca,old,0.49665277557256554,logistic,COMPLETE
