number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
22,0.7471451759338379,2025-08-23 06:25:31.475002,2025-08-23 06:29:40.899698,0 days 00:04:09.424696,20,,normal,5,nz,7.842857048400411e-08,0.02247144159652349,1071,272,,raw,Glorot,,tanh,0.008727169036865235,COMPLETE,0.008727169036865235
23,0.2933387279510498,2025-08-23 06:29:40.900029,2025-08-23 06:33:48.331698,0 days 00:04:07.431669,20,,uniform,8,zero,,0.00013828279283371964,8171,896,0.5079552056222199,pca,Glorot,,logistic,0.013134336471557618,COMPLETE,0.013134336471557618
24,0.3080645203590393,2025-08-23 06:33:48.331966,2025-08-23 06:34:37.420451,0 days 00:00:49.088485,100,1.6627948650580708e-06,normal,7,zero,,0.0013572916218580562,286,640,,colnorm,Glorot,,logistic,0.013154745101928711,COMPLETE,0.013154745101928711
25,0.7657742381095887,2025-08-23 06:34:37.420685,2025-08-23 06:35:46.568793,0 days 00:01:09.148108,100,,uniform,8,nz,3.858423808425208e-06,0.29190611010470696,744,96,0.9535186884098954,pca,Glorot,,tanh,0.00018358230590820312,COMPLETE,0.00018358230590820312
26,0.112693552672863,2025-08-23 06:35:46.569035,2025-08-23 06:36:38.712778,0 days 00:00:52.143743,100,,normal,5,zero,,0.00027076433920494625,203,512,,raw,Glorot,,logistic,0.012992024421691895,COMPLETE,0.012992024421691895
27,0.112693552672863,2025-08-23 06:36:38.713019,2025-08-23 06:37:27.752546,0 days 00:00:49.039527,100,,normal,6,zero,,8.177437067311106e-06,126,880,0.8495971274555434,pca,Glorot,,logistic,0.013160443305969239,COMPLETE,0.013160443305969239
28,0.4655806541442871,2025-08-23 06:37:27.752776,2025-08-23 06:38:16.482382,0 days 00:00:48.729606,100,5.662291912711977e-08,normal,7,zero,,1.8175550179742918e-06,2310,800,,colnorm,old,1.6535901776344464,tanh,0.013228774070739746,COMPLETE,0.013228774070739746
29,0.112693552672863,2025-08-23 06:38:16.482655,2025-08-23 06:42:17.133452,0 days 00:04:00.650797,20,7.544527667506924e-06,uniform,7,zero,,2.1255211024653712e-06,2609,720,,colnorm,Glorot,,logistic,0.013089632987976075,COMPLETE,0.013089632987976075
30,0.29550001621246336,2025-08-23 06:42:17.133771,2025-08-23 06:46:14.544117,0 days 00:03:57.410346,20,,uniform,7,zero,,3.0420481909171226e-05,5892,1024,0.5003456763160243,pca,Glorot,,tanh,0.013090252876281738,COMPLETE,0.013090252876281738
31,0.112693552672863,2025-08-23 06:46:14.544399,2025-08-23 06:50:12.978626,0 days 00:03:58.434227,20,,normal,8,zero,,0.00021951712705620135,200,432,,raw,Glorot,,logistic,0.012938284873962402,COMPLETE,0.012938284873962402
32,0.46701614260673524,2025-08-23 06:50:12.978887,2025-08-23 06:51:01.633858,0 days 00:00:48.654971,100,5.143782444317332e-05,uniform,7,zero,,8.419872737053124e-06,1264,768,,colnorm,old,1.7604849969291174,tanh,0.013253116607666015,COMPLETE,0.013253116607666015
33,0.6126613020896912,2025-08-23 06:51:01.634117,2025-08-23 06:51:50.408592,0 days 00:00:48.774475,100,6.315839996288766e-08,uniform,8,zero,,0.008885188322966437,262,864,,colnorm,old,1.158454344679856,logistic,0.012549495697021485,COMPLETE,0.012549495697021485
34,0.6245483875274658,2025-08-23 06:51:50.408821,2025-08-23 06:52:39.373908,0 days 00:00:48.965087,100,,normal,6,zero,,0.0013178595061205047,329,736,0.7980091449630146,pca,Glorot,,tanh,0.013147330284118653,COMPLETE,0.013147330284118653
35,0.6958387613296508,2025-08-23 06:52:39.374168,2025-08-23 06:56:51.360143,0 days 00:04:11.985975,20,,normal,5,nz,0.0020457025186879554,0.0008907661777157554,5633,592,,raw,Glorot,,tanh,0.011524558067321777,COMPLETE,0.011524558067321777
36,0.5047742247581481,2025-08-23 06:56:51.361967,2025-08-23 07:00:48.916205,0 days 00:03:57.554238,20,,uniform,6,zero,,0.000289020414220305,2510,640,,raw,old,1.7872580074114737,tanh,0.013076543807983398,COMPLETE,0.013076543807983398
37,0.7479838848114013,2025-08-23 07:00:48.917869,2025-08-23 07:04:43.383731,0 days 00:03:54.465862,20,,normal,7,zero,,0.038617909479397895,2406,240,,raw,Glorot,,logistic,0.003054642677307129,COMPLETE,0.003054642677307129
38,0.661919379234314,2025-08-23 07:04:43.384058,2025-08-23 07:08:56.198055,0 days 00:04:12.813997,20,5.66392477238153e-07,normal,8,nz,2.2300306597582873e-07,0.003956910799827261,385,880,,colnorm,old,1.8086888792032279,logistic,0.012765645980834961,COMPLETE,0.012765645980834961
39,0.112693552672863,2025-08-23 07:08:56.198332,2025-08-23 07:09:42.174724,0 days 00:00:45.976392,100,,uniform,6,zero,,2.670557841476819e-05,4078,80,,raw,Glorot,,logistic,0.012561917304992676,COMPLETE,0.012561917304992676
40,0.09798387438058853,2025-08-23 07:09:42.174963,2025-08-23 07:10:33.833636,0 days 00:00:51.658673,100,2.2760628803348567e-07,uniform,6,nz,5.255646535131508e-06,0.675245206911214,1213,592,,colnorm,old,1.1325084528478357,logistic,,COMPLETE,
41,0.13632258474826814,2025-08-23 07:10:33.833874,2025-08-23 07:14:43.277975,0 days 00:04:09.444101,20,,normal,8,nz,0.00027096302515269757,6.755891258918345e-06,3527,160,0.628236311918623,pca,Glorot,,logistic,0.013112139701843262,COMPLETE,0.013112139701843262
42,0.7621935963630676,2025-08-23 07:14:43.278264,2025-08-23 07:15:32.431522,0 days 00:00:49.153258,100,1.3193211738078216e-08,uniform,7,zero,,0.04660634921932745,822,304,,colnorm,Glorot,,tanh,0.008160400390625,COMPLETE,0.008160400390625
43,0.6265645503997803,2025-08-23 07:15:32.431760,2025-08-23 07:16:19.946301,0 days 00:00:47.514541,100,,normal,8,zero,,0.028510631616419233,299,496,,raw,old,1.4602045362651164,logistic,0.009975099563598632,COMPLETE,0.009975099563598632
44,0.7783064842224121,2025-08-23 07:16:19.946608,2025-08-23 07:20:19.149798,0 days 00:03:59.203190,20,1.6102603720059748e-08,normal,7,zero,,0.23382891630134822,237,432,,colnorm,Glorot,,tanh,0.00358273983001709,COMPLETE,0.00358273983001709
45,0.1127580687403679,2025-08-23 07:20:19.151624,2025-08-23 07:21:27.242355,0 days 00:01:08.090731,100,,uniform,7,nz,2.172158274853957e-05,4.971380801717752e-05,489,752,0.9300557916705414,pca,old,1.570720193391757,logistic,0.013231945037841798,COMPLETE,0.013231945037841798
46,0.11680645495653152,2025-08-23 07:21:27.242593,2025-08-23 07:25:57.604378,0 days 00:04:30.361785,20,,normal,6,zero,,0.0014352166121342712,578,704,,raw,Glorot,,logistic,0.012904477119445801,COMPLETE,0.012904477119445801
47,0.7757258415222168,2025-08-23 07:25:57.606250,2025-08-23 07:26:59.400900,0 days 00:01:01.794650,100,5.686551670725622e-09,normal,6,zero,,0.14574547360022277,444,816,,colnorm,Glorot,,tanh,0.007654714584350586,COMPLETE,0.007654714584350586
48,0.23443549275398254,2025-08-23 07:26:59.401150,2025-08-23 07:31:47.971618,0 days 00:04:48.570468,20,,normal,6,zero,,0.31593794654852525,199,192,,raw,old,0.9795852210443081,tanh,,COMPLETE,
49,0.7488871097564698,2025-08-23 07:31:47.971965,2025-08-23 07:36:10.691125,0 days 00:04:22.719160,20,,uniform,6,zero,,0.014478999776695603,3301,592,,raw,Glorot,,tanh,0.010282564163208007,COMPLETE,0.010282564163208007
50,0.6693387269973755,2025-08-23 07:36:10.693026,2025-08-23 07:40:13.623430,0 days 00:04:02.930404,20,,normal,7,nz,0.001367883087079219,0.0015992224831826354,417,576,0.8305571634778848,pca,Glorot,,tanh,0.012990665435791016,COMPLETE,0.012990665435791016
51,0.4432742059230804,2025-08-23 07:40:13.623760,2025-08-23 07:44:26.939072,0 days 00:04:13.315312,20,1.8776734741187351e-06,normal,6,nz,5.921401756691521e-08,3.2902411980469176e-06,315,368,,colnorm,old,0.537490790118223,tanh,0.013196325302124024,COMPLETE,0.013196325302124024
52,0.7444516181945801,2025-08-23 07:44:26.939357,2025-08-23 07:48:38.839072,0 days 00:04:11.899715,20,,uniform,5,nz,1.9712592377567804e-07,0.08237999780283811,1317,672,,raw,old,0.31677426868467073,logistic,0.006908726692199707,COMPLETE,0.006908726692199707
