number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
22,0.8396999955177307,2025-08-24 13:29:56.768493,2025-08-24 13:48:35.738240,0 days 00:18:38.969747,20,,normal,5,nz,7.842857048400411e-08,0.02247144159652349,1071,272,,raw,Glorot,,tanh,0.0050853252410888675,COMPLETE,0.0050853252410888675
23,0.6381857037544251,2025-08-24 13:48:35.738612,2025-08-24 14:06:28.294448,0 days 00:17:52.555836,20,,uniform,8,zero,,0.00013828279283371964,8171,896,0.5079552056222199,pca,Glorot,,logistic,0.012707066535949708,COMPLETE,0.012707066535949708
24,0.6514285683631897,2025-08-24 14:06:28.294816,2025-08-24 14:10:03.192046,0 days 00:03:34.897230,100,1.6627948650580708e-06,normal,7,zero,,0.0013572916218580562,286,640,,colnorm,Glorot,,logistic,0.013070034980773925,COMPLETE,0.013070034980773925
25,0.8775571346282959,2025-08-24 14:10:03.192344,2025-08-24 14:13:41.047478,0 days 00:03:37.855134,100,,uniform,8,nz,3.858423808425208e-06,0.29190611010470696,744,96,0.9535186884098954,pca,Glorot,,tanh,0.0003881692886352539,COMPLETE,0.0003881692886352539
26,0.619342851638794,2025-08-24 14:13:41.047745,2025-08-24 14:17:14.324604,0 days 00:03:33.276859,100,,normal,5,zero,,0.00027076433920494625,203,512,,raw,Glorot,,logistic,0.012988996505737305,COMPLETE,0.012988996505737305
27,0.6067428469657898,2025-08-24 14:17:14.324842,2025-08-24 14:20:49.802415,0 days 00:03:35.477573,100,,normal,6,zero,,8.177437067311106e-06,126,880,0.8495971274555434,pca,Glorot,,logistic,0.012863731384277344,COMPLETE,0.012863731384277344
28,0.6346285700798034,2025-08-24 14:20:49.803355,2025-08-24 14:24:23.997191,0 days 00:03:34.193836,100,5.662291912711977e-08,normal,7,zero,,1.8175550179742918e-06,2310,800,,colnorm,old,1.6535901776344464,tanh,0.013228678703308105,COMPLETE,0.013228678703308105
29,0.6006714224815368,2025-08-24 14:24:23.997489,2025-08-24 14:42:22.094991,0 days 00:17:58.097502,20,7.544527667506924e-06,uniform,7,zero,,2.1255211024653712e-06,2609,720,,colnorm,Glorot,,logistic,0.013089776039123535,COMPLETE,0.013089776039123535
30,0.6051714301109314,2025-08-24 14:42:22.095360,2025-08-24 15:00:00.953729,0 days 00:17:38.858369,20,,uniform,7,zero,,3.0420481909171226e-05,5892,1024,0.5003456763160243,pca,Glorot,,tanh,0.01293487548828125,COMPLETE,0.01293487548828125
31,0.6149571299552917,2025-08-24 15:00:00.955168,2025-08-24 15:17:49.875909,0 days 00:17:48.920741,20,,normal,8,zero,,0.00021951712705620135,200,432,,raw,Glorot,,logistic,0.012944674491882325,COMPLETE,0.012944674491882325
32,0.6315999865531922,2025-08-24 15:17:49.876270,2025-08-24 15:21:25.017482,0 days 00:03:35.141212,100,5.143782444317332e-05,uniform,7,zero,,8.419872737053124e-06,1264,768,,colnorm,old,1.7604849969291174,tanh,0.013253617286682128,COMPLETE,0.013253617286682128
33,0.7635142803192139,2025-08-24 15:21:25.017746,2025-08-24 15:24:59.514737,0 days 00:03:34.496991,100,6.315839996288766e-08,uniform,8,zero,,0.008885188322966437,262,864,,colnorm,old,1.158454344679856,logistic,0.01234285831451416,COMPLETE,0.01234285831451416
34,0.7655142784118653,2025-08-24 15:24:59.515030,2025-08-24 15:28:35.163648,0 days 00:03:35.648618,100,,normal,6,zero,,0.0013178595061205047,329,736,0.7980091449630146,pca,Glorot,,tanh,0.01320793628692627,COMPLETE,0.01320793628692627
35,0.8601714134216308,2025-08-24 15:28:35.163921,2025-08-24 15:47:23.376985,0 days 00:18:48.213064,20,,normal,5,nz,0.0020457025186879554,0.0008907661777157554,5633,592,,raw,Glorot,,tanh,0.012307119369506837,COMPLETE,0.012307119369506837
36,0.8089999914169311,2025-08-24 15:47:23.377353,2025-08-24 16:05:16.848267,0 days 00:17:53.470914,20,,uniform,6,zero,,0.000289020414220305,2510,640,,raw,old,1.7872580074114737,tanh,0.012898659706115723,COMPLETE,0.012898659706115723
37,0.8380285620689392,2025-08-24 16:05:16.848625,2025-08-24 16:22:55.516880,0 days 00:17:38.668255,20,,normal,7,zero,,0.038617909479397895,2406,240,,raw,Glorot,,logistic,0.0009332418441772461,COMPLETE,0.0009332418441772461
38,0.7834999799728394,2025-08-24 16:22:55.517234,2025-08-24 16:41:46.728720,0 days 00:18:51.211486,20,5.66392477238153e-07,normal,8,nz,2.2300306597582873e-07,0.003956910799827261,385,880,,colnorm,old,1.8086888792032279,logistic,0.012681365013122559,COMPLETE,0.012681365013122559
39,0.5176428437232972,2025-08-24 16:41:46.731312,2025-08-24 16:45:12.522940,0 days 00:03:25.791628,100,,uniform,6,zero,,2.670557841476819e-05,4078,80,,raw,Glorot,,logistic,0.012526178359985351,COMPLETE,0.012526178359985351
40,0.10000000149011612,2025-08-24 16:45:12.523224,2025-08-24 16:48:59.469972,0 days 00:03:46.946748,100,2.2760628803348567e-07,uniform,6,nz,5.255646535131508e-06,0.675245206911214,1213,592,,colnorm,old,1.1325084528478357,logistic,,COMPLETE,
41,0.5904571294784546,2025-08-24 16:48:59.470248,2025-08-24 17:07:44.576364,0 days 00:18:45.106116,20,,normal,8,nz,0.00027096302515269757,6.755891258918345e-06,3527,160,0.628236311918623,pca,Glorot,,logistic,0.013181495666503906,COMPLETE,0.013181495666503906
42,0.8869714379310608,2025-08-24 17:07:44.576721,2025-08-24 17:11:21.087287,0 days 00:03:36.510566,100,1.3193211738078216e-08,uniform,7,zero,,0.04660634921932745,822,304,,colnorm,Glorot,,tanh,0.007603859901428223,COMPLETE,0.007603859901428223
43,0.8568142652511597,2025-08-24 17:11:21.087563,2025-08-24 17:14:53.853858,0 days 00:03:32.766295,100,,normal,8,zero,,0.028510631616419233,299,496,,raw,old,1.4602045362651164,logistic,0.010956096649169921,COMPLETE,0.010956096649169921
44,0.8910285472869873,2025-08-24 17:14:53.854108,2025-08-24 17:32:46.637772,0 days 00:17:52.783664,20,1.6102603720059748e-08,normal,7,zero,,0.23382891630134822,237,432,,colnorm,Glorot,,tanh,0.005805373191833496,COMPLETE,0.005805373191833496
45,0.618571424484253,2025-08-24 17:32:46.638135,2025-08-24 17:36:33.375131,0 days 00:03:46.736996,100,,uniform,7,nz,2.172158274853957e-05,4.971380801717752e-05,489,752,0.9300557916705414,pca,old,1.570720193391757,logistic,0.012999701499938964,COMPLETE,0.012999701499938964
46,0.7930142879486084,2025-08-24 17:36:33.375410,2025-08-24 17:54:23.477323,0 days 00:17:50.101913,20,,normal,6,zero,,0.0014352166121342712,578,704,,raw,Glorot,,logistic,0.012535834312438964,COMPLETE,0.012535834312438964
47,0.8904428482055664,2025-08-24 17:54:23.477677,2025-08-24 17:57:54.057025,0 days 00:03:30.579348,100,5.686551670725622e-09,normal,6,zero,,0.14574547360022277,444,816,,colnorm,Glorot,,tanh,0.008619189262390137,COMPLETE,0.008619189262390137
48,0.5026999980211257,2025-08-24 17:57:54.057295,2025-08-24 18:15:13.166560,0 days 00:17:19.109265,20,,normal,6,zero,,0.31593794654852525,199,192,,raw,old,0.9795852210443081,tanh,,COMPLETE,
49,0.8503714203834534,2025-08-24 18:15:13.167708,2025-08-24 18:32:44.980533,0 days 00:17:31.812825,20,,uniform,6,zero,,0.014478999776695603,3301,592,,raw,Glorot,,tanh,0.005982708930969238,COMPLETE,0.005982708930969238
50,0.7926857113838196,2025-08-24 18:32:44.980880,2025-08-24 18:50:26.755166,0 days 00:17:41.774286,20,,normal,7,nz,0.001367883087079219,0.0015992224831826354,417,576,0.8305571634778848,pca,Glorot,,tanh,0.012894749641418457,COMPLETE,0.012894749641418457
51,0.6281142950057983,2025-08-24 18:50:26.755502,2025-08-24 19:08:58.380223,0 days 00:18:31.624721,20,1.8776734741187351e-06,normal,6,nz,5.921401756691521e-08,3.2902411980469176e-06,315,368,,colnorm,old,0.537490790118223,tanh,0.013196349143981934,COMPLETE,0.013196349143981934
52,0.8525571465492249,2025-08-24 19:08:58.382409,2025-08-24 19:27:23.070886,0 days 00:18:24.688477,20,,uniform,5,nz,1.9712592377567804e-07,0.08237999780283811,1317,672,,raw,old,0.31677426868467073,logistic,0.004135727882385254,COMPLETE,0.004135727882385254
53,0.6385714292526246,2025-08-24 19:27:23.071250,2025-08-24 19:31:05.415389,0 days 00:03:42.344139,100,,normal,8,nz,0.003032927057275183,0.002064925722505891,279,144,0.9220608878872901,pca,old,1.8296397535659579,logistic,0.01246051788330078,COMPLETE,0.01246051788330078
54,0.5320571303367615,2025-08-24 19:31:05.415689,2025-08-24 19:48:21.261935,0 days 00:17:15.846246,20,,normal,6,zero,,4.364350063664588e-06,2385,144,0.5109065798514173,pca,old,1.1246290766943483,tanh,0.013337850570678711,COMPLETE,0.013337850570678711
55,0.7975428462028503,2025-08-24 19:48:21.264214,2025-08-24 20:05:50.450092,0 days 00:17:29.185878,20,,uniform,6,nz,1.908237513615749e-06,0.009531024033067244,2537,80,,raw,old,0.27563829445908666,tanh,0.002237558364868164,COMPLETE,0.002237558364868164
56,0.896228551864624,2025-08-24 20:05:50.452344,2025-08-24 20:24:10.575019,0 days 00:18:20.122675,20,,normal,8,nz,2.2686734297293006e-07,0.044015123416251516,5285,336,0.899069644786243,pca,Glorot,,logistic,0.0013574123382568359,COMPLETE,0.0013574123382568359
57,0.46518570780754087,2025-08-24 20:24:10.575396,2025-08-24 20:41:37.293668,0 days 00:17:26.718272,20,8.474425126846829e-09,uniform,6,zero,,2.3267466313431546e-06,2508,496,,colnorm,old,0.49831885853583435,logistic,0.013333868980407716,COMPLETE,0.013333868980407716
58,0.8374714255332947,2025-08-24 20:41:37.294535,2025-08-24 21:00:06.843391,0 days 00:18:29.548856,20,,normal,6,nz,1.8880093046200592e-07,8.506886477584808e-05,9312,384,,raw,old,0.2955716745211142,tanh,0.012761521339416503,COMPLETE,0.012761521339416503
59,0.7238571524620057,2025-08-24 21:00:06.844327,2025-08-24 21:17:42.599802,0 days 00:17:35.755475,20,,uniform,5,nz,4.856008981034457e-08,0.027446004592120654,110,64,0.5380208887710339,pca,Glorot,,tanh,0.008398723602294923,COMPLETE,0.008398723602294923
