number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
14,0.38604288299878436,2025-09-02 05:37:53.807501,2025-09-02 05:41:55.529897,0 days 00:04:01.722396,512,uniform,8,zero,,0.5206050406650379,936,160,416,928,592,old,0.8171754286269441,tanh,0.01191401481628418,0.012526392936706543,0.012498736381530762,0.011910756429036459,0.012472867965698242,0.01254729429880778,0.007387995719909668,0.011608294078281947,0.38604288299878436,0.011966571175272068,COMPLETE
15,0.24701367815335593,2025-09-02 05:41:55.530317,2025-09-02 06:38:25.223381,0 days 00:56:29.693064,20,uniform,7,zero,,0.07038461069693253,2496,224,592,848,784,Glorot,,tanh,0.01206505298614502,0.01257169246673584,0.012808601061503092,0.012674848238627115,0.01249992847442627,0.012406071027119955,0.006439685821533203,0.011637982868012927,0.24701367815335593,0.0012879159223412172,COMPLETE
16,1.0165412425994873,2025-09-02 06:38:25.225683,2025-09-02 06:43:21.291951,0 days 00:04:56.066268,256,uniform,6,nz,3.4912391835984953e-06,0.00011343857240939616,2655,960,544,368,528,Glorot,,logistic,0.013071735699971518,0.0132142702738444,0.012978076934814453,0.013103206952412924,0.013106544812520346,0.013017773628234863,0.013191938400268555,0.013097649528866722,1.0165412425994873,0.004094546896213811,COMPLETE
17,0.4235725204149882,2025-09-02 06:43:21.292865,2025-09-02 06:47:40.805988,0 days 00:04:19.513123,512,normal,7,zero,,0.13984702777160735,280,864,336,512,944,Glorot,,tanh,0.012966752052307129,0.01297008991241455,0.013065616289774576,0.012922326723734537,0.01302039623260498,0.0129928191502889,0.00883626937866211,0.012396324248540968,0.4235725204149882,0.013923057314055432,COMPLETE
18,0.9375313719113668,2025-09-02 06:47:40.806415,2025-09-02 06:52:18.879776,0 days 00:04:38.073361,512,uniform,8,zero,,0.0005645279458462784,8137,960,224,704,960,old,0.77719832383908,tanh,0.012926737467447916,0.013164838155110678,0.013044277826944986,0.013084093729654947,0.013078927993774414,0.01300354798634847,0.012923955917358398,0.0130323398680914,0.9375313719113668,0.0028757831897755254,COMPLETE
19,1.0297084252039592,2025-09-02 06:52:18.880606,2025-09-02 06:57:40.906565,0 days 00:05:22.025959,256,normal,8,zero,,1.6752573004292335e-05,5290,896,320,640,976,old,0.8203862668317286,logistic,0.013395945231119791,0.013126293818155924,0.013063311576843262,0.013101975123087565,0.013066490491231283,0.01311039924621582,0.012970805168151855,0.013119317236400784,1.0297084252039592,0.002991979085963091,COMPLETE
20,1.0470267534255981,2025-09-02 06:57:40.907278,2025-09-02 07:00:01.073663,0 days 00:02:20.166385,512,normal,6,zero,,2.993279432713497e-06,212,208,240,576,448,Glorot,,tanh,0.013062238693237305,0.013077298800150553,0.01300970713297526,0.013170520464579264,0.013070424397786459,0.013130545616149902,0.012756705284118652,0.013039634341285342,1.0470267534255981,0.003984294355496093,COMPLETE
21,0.8768335978190104,2025-09-02 07:00:01.074095,2025-09-02 07:57:23.845030,0 days 00:57:22.770935,20,normal,6,nz,5.9489511775294635e-08,0.006037702454628343,472,784,544,368,656,old,1.091064919512398,logistic,0.013082464536031088,0.01303720474243164,0.013067245483398438,0.013036727905273438,0.013057708740234375,0.0130997101465861,0.012842416763305664,0.013031925473894394,0.8768335978190104,0.005040604786128798,COMPLETE
22,1.0329082409540813,2025-09-02 07:57:23.845479,2025-09-02 08:55:23.812970,0 days 00:57:59.967491,20,uniform,6,nz,6.383400130841037e-06,8.670749413248175e-05,104,960,416,448,992,Glorot,,logistic,0.013064861297607422,0.01305238405863444,0.013092557589213053,0.013096491495768229,0.013140002886454264,0.013104597727457682,0.012938499450683594,0.01306991350083124,1.0329082409540813,0.00446253784302134,COMPLETE
23,0.2762214740117391,2025-09-02 08:55:23.813406,2025-09-02 09:07:02.192598,0 days 00:11:38.379192,100,uniform,5,nz,2.1360456204059218e-06,0.28551000705087126,6515,800,336,144,448,old,0.5217777191089703,logistic,0.010046005249023438,0.009244680404663086,0.011962532997131348,0.012469053268432617,0.011837283770243326,0.008645097414652506,0.000754078229268392,0.009279818761916386,0.2762214740117391,0.0015628877710672023,COMPLETE
24,1.0330053965250652,2025-09-02 09:07:02.193096,2025-09-02 09:09:05.583382,0 days 00:02:03.390286,512,normal,5,zero,,1.779299425457281e-05,383,592,128,144,512,old,1.0953085363151955,logistic,0.0132675568262736,0.013118227322896322,0.013077576955159506,0.013086160024007162,0.013123710950215658,0.013799230257670084,0.012730638186136881,0.013171871503194174,1.0330053965250652,0.0015551499526940103,COMPLETE
25,1.0425351063410442,2025-09-02 09:09:05.583823,2025-09-02 09:20:45.641927,0 days 00:11:40.058104,100,uniform,7,nz,0.0005702005920390691,1.4639514365757013e-05,423,528,848,912,400,old,1.1341970532789616,tanh,0.013070623079935709,0.013120532035827637,0.012867013613382975,0.013087868690490723,0.01296063264211019,0.013087113698323568,0.013068556785583496,0.013037477220807754,1.0425351063410442,0.004885158493224603,COMPLETE
26,0.5699435273806254,2025-09-02 09:20:45.642352,2025-09-02 10:16:48.059399,0 days 00:56:02.417047,20,uniform,8,zero,,0.2871481514809849,100,448,272,128,576,Glorot,,logistic,0.01324919859568278,0.013219316800435385,0.01298975944519043,0.01305695374806722,0.013002276420593262,0.012620965639750162,0.005762815475463867,0.011985898017883303,0.5699435273806254,0.013925997209443259,COMPLETE
27,1.0332869688669841,2025-09-02 10:16:48.059826,2025-09-02 10:19:10.263148,0 days 00:02:22.203322,512,normal,8,zero,,0.0002178273503004652,128,256,144,416,736,old,0.6685596747040621,logistic,0.012923479080200195,0.01319746176401774,0.013119816780090332,0.013025124867757162,0.013079484303792318,0.012941281000773111,0.012958765029907227,0.013035058975219727,1.0332869688669841,0.0021728409511811704,COMPLETE
28,1.0065348545710247,2025-09-02 10:19:10.263578,2025-09-02 11:15:41.639370,0 days 00:56:31.375792,20,uniform,6,zero,,3.0420481909171226e-05,5892,1024,528,896,128,Glorot,,tanh,0.0130692720413208,0.013110756874084473,0.013344963391621908,0.013056238492329916,0.01240853468577067,0.0131148894627889,0.013291001319885254,0.013056522323971703,1.0065348545710247,0.0043321376149813694,COMPLETE
29,0.9765056769053141,2025-09-02 11:15:41.640816,2025-09-02 12:12:07.135889,0 days 00:56:25.495073,20,normal,7,zero,,0.0002520438692546329,6794,496,416,496,464,old,1.334672179660087,logistic,0.013219157854715982,0.013004620869954428,0.013136863708496094,0.013046741485595703,0.013143499692281088,0.013062040011088053,0.012915730476379395,0.013075522014072962,0.9765056769053141,0.003949921890836159,COMPLETE
30,1.0294069449106853,2025-09-02 12:12:07.136345,2025-09-02 12:18:56.550222,0 days 00:06:49.413877,512,uniform,7,nz,1.6486730302220903e-05,0.00021278293670092617,192,384,960,752,960,old,1.6650831421016485,tanh,0.013066768646240234,0.013135075569152832,0.013070185979207357,0.012983361879984537,0.013059616088867188,0.013075311978658041,0.013108531634012857,0.01307126453944615,1.0294069449106853,0.0017498314721727838,COMPLETE
31,1.03154452641805,2025-09-02 12:18:56.550676,2025-09-02 13:16:51.252263,0 days 00:57:54.701587,20,normal,6,nz,3.767989982847917e-05,8.41986904154775e-06,661,192,976,336,784,Glorot,,logistic,0.013126174608866373,0.013172507286071777,0.013054569562276205,0.012877146402994791,0.013139088948567709,0.013037284215291342,0.013080279032389322,0.013069578579493932,1.03154452641805,0.004329609372876844,COMPLETE
32,1.045291543006897,2025-09-02 13:16:51.252697,2025-09-02 13:28:49.081869,0 days 00:11:57.829172,100,uniform,8,nz,0.0006021016068328207,1.8504600665283064e-06,604,592,928,416,880,Glorot,,tanh,0.01309661070505778,0.012888669967651367,0.013143022855122885,0.013080000877380371,0.013081113497416178,0.013065616289774576,0.013086835543314615,0.013063124247959685,1.045291543006897,0.0013978337236410687,COMPLETE
33,1.0096209446589153,2025-09-02 13:28:49.082312,2025-09-02 13:33:52.950787,0 days 00:05:03.868475,256,uniform,8,zero,,0.0004064871860768272,728,320,576,912,416,old,1.1133727133657239,logistic,0.013118942578633627,0.013123671213785807,0.013138214747111002,0.012824257214864096,0.013204415639241537,0.013073245684305826,0.013103802998860678,0.013083792868114652,1.0096209446589153,0.0025247439673312983,COMPLETE
34,0.35014645258585614,2025-09-02 13:33:52.951215,2025-09-02 13:37:38.161813,0 days 00:03:45.210598,512,normal,7,zero,,0.4080388969790123,813,976,752,304,192,Glorot,,tanh,0.012332002321879068,0.012085239092508951,0.012274026870727539,0.012712915738423666,0.012204408645629883,0.011803825696309408,0.009386022885640463,0.011828348750159853,0.35014645258585614,0.009472602702272735,COMPLETE
35,0.539523164431254,2025-09-02 13:37:38.162235,2025-09-02 13:41:02.733872,0 days 00:03:24.571637,512,uniform,5,nz,3.95691079982726e-05,0.11775755469457652,248,464,176,784,704,old,1.0259352429407134,tanh,0.013280868530273438,0.012946009635925293,0.013054251670837402,0.013009587923685709,0.013016422589619955,0.012997150421142578,0.008390267690022787,0.012384936923072451,0.539523164431254,0.017996053536246635,COMPLETE
36,0.6506903171539307,2025-09-02 13:41:02.734315,2025-09-02 13:45:55.720930,0 days 00:04:52.986615,512,uniform,8,zero,,0.036274503392407495,288,1024,880,320,560,old,1.129578690844106,logistic,0.0130538543065389,0.013156930605570475,0.013041456540425619,0.013091603914896647,0.0131376584370931,0.012872656186421713,0.01203906536102295,0.012913317907424199,0.6506903171539307,0.020037660651028282,COMPLETE
37,0.39623235662778217,2025-09-02 13:45:55.721369,2025-09-02 13:50:04.266754,0 days 00:04:08.545385,512,normal,8,zero,,0.7026571679037953,351,704,800,288,512,Glorot,,tanh,0.012304981549580893,0.01238405704498291,0.012532512346903482,0.01277772585550944,0.012520551681518555,0.011874914169311523,0.010428229967753092,0.012117567516508556,0.39623235662778217,0.06142222981962298,COMPLETE
38,0.7859373688697815,2025-09-02 13:50:04.267193,2025-09-02 13:55:23.325133,0 days 00:05:19.057940,256,uniform,7,nz,8.244328847861404e-07,0.010843892878441716,158,992,560,864,224,Glorot,,tanh,0.013072331746419271,0.013039549191792807,0.012948989868164062,0.013041933377583822,0.012911717096964518,0.013060371081034342,0.012848695119222006,0.012989083925882976,0.7859373688697815,0.02514842505547026,COMPLETE
39,0.5461942950884501,2025-09-02 13:55:23.326016,2025-09-02 14:06:47.244399,0 days 00:11:23.918383,100,normal,7,zero,,0.019469773326576473,266,528,736,864,848,old,1.6439028897719594,tanh,0.013118902842203775,0.013026754061381022,0.012999852498372396,0.012945055961608887,0.013082424799601236,0.013010581334431967,0.012465914090474447,0.01294992651258196,0.5461942950884501,0.012426451332129431,COMPLETE
40,0.36238765716552734,2025-09-02 14:06:47.244849,2025-09-02 14:11:29.781224,0 days 00:04:42.536375,512,uniform,6,nz,3.857174781334696e-07,0.015873832288492918,3051,272,720,848,496,old,0.2695637448948679,tanh,0.013110955556233725,0.012978752454121908,0.013048609097798666,0.013167142868041992,0.012964010238647461,0.012957294782002768,0.010940988858540853,0.012738250550769622,0.36238765716552734,0.0008045155838116121,COMPLETE
41,1.0212363402048747,2025-09-02 14:11:29.781664,2025-09-02 15:09:19.869685,0 days 00:57:50.088021,20,uniform,5,nz,3.386321498655938e-06,1.3449992816910692e-05,9201,992,608,304,496,Glorot,,tanh,0.013140559196472168,0.013063589731852213,0.012907862663269043,0.013039429982503256,0.013072768847147623,0.013137261072794596,0.013045430183410645,0.013058128811064221,1.0212363402048747,0.003381059530444807,COMPLETE
42,0.2057731697956721,2025-09-02 15:09:19.870129,2025-09-02 15:20:22.876876,0 days 00:11:03.006747,100,normal,8,zero,,0.23346488990458916,9881,176,784,304,320,Glorot,,logistic,0.010884364446004232,0.010725061098734537,0.011540850003560385,0.011027256647745768,0.010708848635355631,0.009939471880594889,0.001993894577026367,0.009545678184145973,0.2057731697956721,0.0010373785024009393,COMPLETE
43,1.035126805305481,2025-09-02 15:20:22.877632,2025-09-02 15:25:51.126787,0 days 00:05:28.249155,256,normal,6,zero,,5.05629522128911e-05,628,672,736,128,928,Glorot,,tanh,0.013010621070861816,0.013242165247599283,0.013117671012878418,0.013164242108662924,0.013075709342956543,0.01315152645111084,0.013147989908854166,0.013129989306132,1.035126805305481,0.003095444276500932,COMPLETE
44,0.9784514705340067,2025-09-02 15:25:51.127221,2025-09-02 15:37:11.920235,0 days 00:11:20.793014,100,uniform,5,zero,,0.002809133912713851,303,352,928,256,224,Glorot,,logistic,0.013041853904724121,0.013136466344197592,0.012958486874898275,0.013165434201558432,0.012910803159077963,0.013084014256795248,0.013054609298706055,0.013050238291422527,0.9784514705340067,0.00501182251694879,COMPLETE
45,1.0369966427485149,2025-09-02 15:37:11.920696,2025-09-02 16:34:22.076965,0 days 00:57:10.156269,20,normal,7,nz,2.3929342013616522e-05,1.4440212061893252e-05,196,816,208,688,816,Glorot,,logistic,0.012776931126912435,0.013070106506347656,0.013141433397928873,0.013098915417989096,0.013144413630167643,0.013044357299804688,0.013062040011088053,0.013048313912891208,1.0369966427485149,0.003960641055378042,COMPLETE
46,0.48732712864875793,2025-09-02 16:34:22.079438,2025-09-02 16:38:34.635531,0 days 00:04:12.556093,256,uniform,7,zero,,0.043674173207084874,1003,816,192,384,752,old,1.8827356407489932,tanh,0.012846430142720541,0.012656370798746744,0.012988766034444174,0.013027071952819824,0.013019720713297525,0.012974063555399576,0.007479747136433919,0.012141738619123186,0.48732712864875793,0.004997273440830791,COMPLETE
47,1.0073471466700237,2025-09-02 16:38:34.636250,2025-09-02 16:43:20.078329,0 days 00:04:45.442079,512,uniform,8,nz,8.31077302228011e-06,0.00010267644470118219,9195,512,608,400,928,old,0.8595999722635594,logistic,0.013136903444925943,0.013126055399576822,0.013051867485046387,0.0130997101465861,0.013058821360270182,0.013046979904174805,0.013077219327290853,0.013085365295410155,1.0073471466700237,0.001853634043164208,COMPLETE
48,0.49173664053281146,2025-09-02 16:43:20.078821,2025-09-02 16:45:28.289355,0 days 00:02:08.210534,512,uniform,5,zero,,0.05359253345877439,522,240,352,288,240,Glorot,,tanh,0.012988646825154623,0.01294851303100586,0.013130545616149902,0.012821118036905924,0.013222336769104004,0.012838006019592285,0.010077714920043945,0.012575268745422363,0.49173664053281146,0.00990303873251895,COMPLETE
49,0.7230066458384196,2025-09-02 16:45:28.289803,2025-09-02 17:39:16.269409,0 days 00:53:47.979606,20,normal,8,zero,,0.0021677280943486516,880,384,624,384,240,Glorot,,tanh,0.013024330139160156,0.013167699178059896,0.013153632481892904,0.013063152631123861,0.01274871826171875,0.013085683186848959,0.01294382413228353,0.013026720001584006,0.7230066458384196,0.002507319452255828,COMPLETE
50,1.0318950414657593,2025-09-02 17:39:16.269875,2025-09-02 18:32:36.295184,0 days 00:53:20.025309,20,uniform,8,zero,,1.1558246302447942e-05,173,736,624,320,688,old,0.9514981945949907,logistic,0.013078014055887857,0.013136665026346842,0.013077298800150553,0.013016978899637857,0.013032952944437662,0.013189752896626791,0.013019045193990072,0.013078672545296804,1.0318950414657593,0.0031811486955460547,COMPLETE
51,1.0410495201746623,2025-09-02 18:32:36.296573,2025-09-02 18:37:11.503690,0 days 00:04:35.207117,512,normal,5,nz,1.4282591707864956e-05,3.945201197197069e-05,338,864,224,752,976,old,1.3779528531038956,tanh,0.012954076131184896,0.013108134269714355,0.01307984193166097,0.013011813163757324,0.013092517852783203,0.0130997101465861,0.013018250465393066,0.013052049137297132,1.0410495201746623,0.002277451052469276,COMPLETE
52,0.3605725169181824,2025-09-02 18:37:11.504498,2025-09-02 18:42:25.699091,0 days 00:05:14.194593,512,normal,7,zero,,0.015361309441221117,3943,464,752,736,816,Glorot,,tanh,0.01307054360707601,0.01286176840464274,0.013019164403279623,0.01310106118520101,0.012895425160725912,0.012871861457824707,0.010892589886983236,0.012673202015104747,0.3605725169181824,0.0015151263776278486,COMPLETE
53,0.6618775129318237,2025-09-02 18:42:25.699838,2025-09-02 18:48:50.976196,0 days 00:06:25.276358,256,uniform,7,nz,1.4017302164881898e-08,0.04440465036006332,203,320,736,624,896,Glorot,,logistic,0.013089259465535482,0.01306772232055664,0.013137618700663248,0.013068517049153646,0.013030926386515299,0.01307837168375651,0.011849125226338705,0.012903077261788505,0.6618775129318237,0.01781887176299838,COMPLETE
54,0.922093133131663,2025-09-02 18:48:50.976949,2025-09-02 18:59:56.761560,0 days 00:11:05.784611,100,normal,8,nz,0.008074138133032035,0.004337531741537508,138,304,528,928,256,old,0.8716010369924612,tanh,0.013206283251444498,0.013028383255004883,0.013410011927286783,0.013089179992675781,0.013273994127909342,0.013107101122538248,0.013147473335266113,0.01318034671601795,0.922093133131663,0.011418869069952693,COMPLETE
55,1.0340595245361328,2025-09-02 18:59:56.762347,2025-09-02 19:02:54.128286,0 days 00:02:57.365939,512,normal,5,nz,1.8603253758028127e-08,4.506081073309925e-06,2687,320,320,880,304,old,1.7232730475252778,logistic,0.012913982073465982,0.013118306795756022,0.01318518320719401,0.01299285888671875,0.013135433197021484,0.013057192166646322,0.013102889060974121,0.013072263626825242,1.0340595245361328,0.003615184038238333,COMPLETE
56,1.035346786181132,2025-09-02 19:02:54.129518,2025-09-02 19:05:30.038966,0 days 00:02:35.909448,512,normal,8,nz,0.0028414607096267515,8.882290874829733e-05,549,608,512,176,272,Glorot,,tanh,0.013224005699157715,0.012859225273132324,0.013027230898539225,0.013079484303792318,0.013289213180541992,0.012862722078959147,0.01301713784535726,0.01305128846849714,1.035346786181132,0.0008359835768227363,COMPLETE
57,1.044011910756429,2025-09-02 19:05:30.039423,2025-09-02 19:11:02.716862,0 days 00:05:32.677439,256,uniform,8,zero,,1.464582346141168e-06,177,272,736,640,656,old,1.5722709633047176,tanh,0.01298848787943522,0.01315478483835856,0.013060450553894043,0.012856841087341309,0.01298991839090983,0.013122876485188803,0.01313487688700358,0.01304403373173305,1.044011910756429,0.0033136229146820124,COMPLETE
58,1.030763824780782,2025-09-02 19:11:02.717323,2025-09-02 19:15:17.077579,0 days 00:04:14.360256,256,uniform,8,zero,,3.84508167799049e-06,2593,336,432,352,672,old,0.21336477004331755,tanh,0.013101895650227865,0.013270258903503418,0.013047575950622559,0.012927889823913574,0.013063748677571615,0.013197819391886393,0.012993971506754557,0.01308616570064,1.030763824780782,0.0015295015557903323,COMPLETE
59,0.977732261021932,2025-09-02 19:15:17.078049,2025-09-02 19:26:19.800956,0 days 00:11:02.722907,100,uniform,6,nz,2.2677807572766224e-06,0.0013694301399500603,144,240,752,896,320,old,1.5627117808602855,tanh,0.013118306795756022,0.013048926989237467,0.013104557991027832,0.013257622718811035,0.013036410013834635,0.013089497884114584,0.0130921999613444,0.013106788907732283,0.977732261021932,0.003494777412177886,COMPLETE
60,0.7329529921213785,2025-09-02 19:26:19.801411,2025-09-02 20:19:37.961275,0 days 00:53:18.159864,20,normal,7,zero,,0.005208858718695692,1552,320,384,544,160,old,1.4821333178089098,logistic,0.012947559356689453,0.013175606727600098,0.013020078341166178,0.01313316822052002,0.013117432594299316,0.013051788012186686,0.011422435442606607,0.012838295527866908,0.7329529921213785,0.0035755352142635218,COMPLETE
61,0.9954344630241394,2025-09-02 20:19:37.962991,2025-09-02 20:24:00.199035,0 days 00:04:22.236044,256,normal,6,nz,0.0004362916424850648,0.00037904946632504586,4208,320,192,896,192,Glorot,,logistic,0.013136148452758789,0.013115525245666504,0.013293186823527018,0.012989640235900879,0.01318514347076416,0.013036568959554037,0.012932856877644857,0.013098438580830889,0.9954344630241394,0.00345211027325147,COMPLETE
62,0.374668816725413,2025-09-02 20:24:00.199488,2025-09-02 20:35:05.111926,0 days 00:11:04.912438,100,normal,6,nz,1.4858133199918567e-07,0.04424634070424375,1889,160,784,368,720,Glorot,,logistic,0.01297589143117269,0.013045986493428549,0.012981414794921875,0.01271522045135498,0.013063271840413412,0.012740174929300943,0.007189234097798665,0.012101599148341588,0.374668816725413,0.0009505877435130305,COMPLETE
63,0.4289513826370239,2025-09-02 20:35:05.112381,2025-09-02 21:30:29.648882,0 days 00:55:24.536501,20,uniform,8,nz,7.047489192769656e-08,0.10099687801540756,356,1024,736,736,736,old,1.0555259817326847,logistic,0.012955466906229654,0.013032952944437662,0.013169288635253906,0.013056039810180664,0.012999296188354492,0.013034939765930176,0.008252223332722982,0.01235717251187279,0.4289513826370239,0.00791702056587347,COMPLETE
