number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
15,0.11366129368543625,2025-08-24 13:46:25.045084,2025-08-24 13:51:46.657722,0 days 00:05:21.612638,100,1.2825638415243462e-08,uniform,8,zero,,0.08126110512979882,1033,640,432,384,,colnorm,old,0.7711479402733286,logistic,0.012975168228149413,0.013103199005126954,0.012989044189453125,0.012833261489868164,COMPLETE,0.012975168228149413,0.013103199005126954,0.012989044189453125,0.012833261489868164
16,0.846645188331604,2025-08-24 13:51:46.658571,2025-08-24 13:57:33.575967,0 days 00:05:46.917396,100,,normal,5,nz,0.00019496797863316573,0.38950375706027657,4917,288,544,112,0.8767718604951436,pca,old,1.0225972650027455,logistic,0.0024638732274373373,0.00015714168548583985,0.002225017547607422,0.00500946044921875,COMPLETE,0.0024638732274373373,0.00015714168548583985,0.002225017547607422,0.00500946044921875
17,0.11366129368543625,2025-08-24 13:57:33.576302,2025-08-24 14:03:20.706069,0 days 00:05:47.129767,100,,uniform,5,nz,6.681893158912448e-05,0.029530260809657753,6627,544,720,320,,raw,Glorot,,logistic,0.013209486007690431,0.01328582763671875,0.01335439682006836,0.01298823356628418,COMPLETE,0.013209486007690431,0.01328582763671875,0.01335439682006836,0.01298823356628418
18,0.11366129368543625,2025-08-24 14:03:20.706379,2025-08-24 14:09:05.784968,0 days 00:05:45.078589,100,5.649235024409567e-09,normal,5,nz,1.2137831108849462e-07,0.00035584027141143896,189,992,32,704,,colnorm,Glorot,,logistic,0.013011988004048666,0.013045859336853028,0.012740373611450195,0.013249731063842774,COMPLETE,0.013011988004048666,0.013045859336853028,0.012740373611450195,0.013249731063842774
19,0.11366129368543625,2025-08-24 14:09:05.785266,2025-08-24 14:36:01.244386,0 days 00:26:55.459120,20,,normal,8,zero,,1.656880448632194e-05,2154,720,272,944,,raw,Glorot,,logistic,0.013200783729553222,0.013195490837097168,0.013303661346435547,0.013103199005126954,COMPLETE,0.013200783729553222,0.013195490837097168,0.013303661346435547,0.013103199005126954
20,0.814483904838562,2025-08-24 14:36:01.244754,2025-08-24 14:41:44.344480,0 days 00:05:43.099726,100,,normal,5,nz,0.0008218604965845548,0.09230881632014575,2962,112,464,192,0.9862158845029989,pca,old,1.1203562976833445,tanh,0.0004586140314737955,0.00011830329895019531,0.000982975959777832,0.00027456283569335935,COMPLETE,0.0004586140314737955,0.00011830329895019531,0.000982975959777832,0.00027456283569335935
21,0.7531774520874024,2025-08-24 14:41:44.344788,2025-08-24 15:10:12.347001,0 days 00:28:28.002213,20,0.0005860400898280002,uniform,5,nz,0.0008626022181846835,0.007618008877376423,2146,112,688,272,,colnorm,old,1.1840284880189698,tanh,0.009569780031840006,0.007771754264831543,0.011394476890563965,0.009543108940124511,COMPLETE,0.009569780031840006,0.007771754264831543,0.011394476890563965,0.009543108940124511
22,0.7549193859100342,2025-08-24 15:10:12.348546,2025-08-24 15:15:54.288800,0 days 00:05:41.940254,100,,normal,5,nz,0.0003176091416307724,0.0223531142302019,1581,352,608,208,0.9727821557365688,pca,old,1.1211355783027463,tanh,0.0087344487508138,0.008508801460266113,0.010699129104614258,0.0069954156875610355,COMPLETE,0.0087344487508138,0.008508801460266113,0.010699129104614258,0.0069954156875610355
23,0.8145645380020141,2025-08-24 15:15:54.289131,2025-08-24 15:21:36.090082,0 days 00:05:41.800951,100,,normal,8,nz,1.7549150445791699e-06,0.27113779507277774,9942,320,544,208,0.9113180737210502,pca,old,1.0652692174251057,logistic,0.0008425712585449219,-0.0001610994338989258,0.0022367238998413086,0.0004520893096923828,COMPLETE,0.0008425712585449219,-0.0001610994338989258,0.0022367238998413086,0.0004520893096923828
24,0.8017419457435608,2025-08-24 15:21:36.090376,2025-08-24 15:27:18.907086,0 days 00:05:42.816710,100,,normal,8,nz,8.353781732663133e-07,0.09743301464448911,4120,496,256,224,0.8324495656550186,pca,old,0.9600260900187213,logistic,0.0016286691029866538,0.00031914710998535154,0.002531743049621582,0.0020351171493530273,COMPLETE,0.0016286691029866538,0.00031914710998535154,0.002531743049621582,0.0020351171493530273
