number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
16,0.8523226181666056,2025-09-03 05:27:14.143317,2025-09-03 05:58:45.854243,0 days 00:31:31.710926,20,uniform,5,zero,,0.057265109303175826,126,832,304,560,old,0.2702596726554056,logistic,0.012090285619099935,0.012869556744893393,0.012352983156840006,0.011048316955566406,COMPLETE,0.012090285619099935,0.012869556744893393,0.012352983156840006,0.011048316955566406
17,0.8804194132486979,2025-09-03 05:58:45.855375,2025-09-03 06:05:16.260176,0 days 00:06:30.404801,100,uniform,6,nz,9.611097681268518e-06,0.05713327666925594,2944,800,224,880,old,1.1225846061944966,tanh,0.010112113422817655,0.009854634602864584,0.008952935536702475,0.011528770128885904,COMPLETE,0.010112113422817655,0.009854634602864584,0.008952935536702475,0.011528770128885904
18,0.31398335099220276,2025-09-03 06:05:16.260667,2025-09-03 06:11:47.650269,0 days 00:06:31.389602,100,uniform,7,nz,7.353420094970839e-05,0.0006768682345316936,355,992,352,336,old,0.20766867979710768,logistic,0.013110796610514322,0.013142585754394531,0.013080080350240072,0.013109723726908365,COMPLETE,0.013110796610514322,0.013142585754394531,0.013080080350240072,0.013109723726908365
19,0.5252905488014221,2025-09-03 06:11:47.650781,2025-09-03 06:45:02.879159,0 days 00:33:15.228378,20,normal,7,nz,0.000695555700756957,4.454657309615775e-05,7150,768,880,448,Glorot,,tanh,0.013130174742804632,0.013109485308329264,0.013150970141092936,0.0131300687789917,COMPLETE,0.013130174742804632,0.013109485308329264,0.013150970141092936,0.0131300687789917
20,0.113467738032341,2025-09-03 06:45:02.879774,2025-09-03 06:51:18.500808,0 days 00:06:15.621034,100,normal,8,zero,,4.8684447001665524e-05,242,224,928,896,Glorot,,logistic,0.013082530763414169,0.013123552004496256,0.013078570365905762,0.013045469919840494,COMPLETE,0.013082530763414169,0.013123552004496256,0.013078570365905762,0.013045469919840494
21,0.7521289785703024,2025-09-03 06:51:18.501320,2025-09-03 07:24:44.542002,0 days 00:33:26.040682,20,normal,8,nz,1.997339734132248e-07,0.00017577045838828472,6452,960,992,160,old,0.8348477899736664,tanh,0.012857304679022895,0.012982567151387533,0.013046344121297201,0.012543002764383951,COMPLETE,0.012857304679022895,0.012982567151387533,0.013046344121297201,0.012543002764383951
22,0.8212741812070211,2025-09-03 07:24:44.542497,2025-09-03 07:56:20.749503,0 days 00:31:36.207006,20,uniform,8,zero,,0.015258444911270038,662,896,208,304,old,1.7513600951408292,logistic,0.011405097113715278,0.012468814849853516,0.012404640515645346,0.009341835975646973,COMPLETE,0.011405097113715278,0.012468814849853516,0.012404640515645346,0.009341835975646973
23,0.113467738032341,2025-09-03 07:56:20.750005,2025-09-03 08:02:47.039046,0 days 00:06:26.289041,100,normal,6,nz,0.002310508554631245,2.993279432713497e-06,212,240,576,448,old,1.457383949023868,logistic,0.012910842895507812,0.012623111406962076,0.013087232907613119,0.013022184371948242,COMPLETE,0.012910842895507812,0.012623111406962076,0.013087232907613119,0.013022184371948242
24,0.23390598595142365,2025-09-03 08:02:47.039542,2025-09-03 08:09:22.923687,0 days 00:06:35.884145,100,normal,7,nz,8.174523490234683e-06,0.8661912331013609,198,464,544,368,Glorot,,logistic,0.004304183853997124,0.009495019912719727,0.0007594823837280273,0.0026580492655436196,COMPLETE,0.004304183853997124,0.009495019912719727,0.0007594823837280273,0.0026580492655436196
25,0.09780645122130711,2025-09-03 08:09:22.924195,2025-09-03 08:40:28.927203,0 days 00:31:06.003008,20,normal,6,zero,,0.3982962611175414,5335,240,464,560,old,1.2518275415538762,tanh,,,,,COMPLETE,,,,
26,0.5049835542837778,2025-09-03 08:40:28.927691,2025-09-03 08:46:44.094672,0 days 00:06:15.166981,100,normal,6,zero,,0.00016234830431242263,3158,688,736,960,old,0.2544550137741095,logistic,0.01310404141743978,0.01309529940287272,0.013130466143290201,0.013086358706156412,COMPLETE,0.01310404141743978,0.01309529940287272,0.013130466143290201,0.013086358706156412
27,0.11633867522080739,2025-09-03 08:46:44.095174,2025-09-03 09:19:28.009071,0 days 00:32:43.913897,20,normal,8,nz,1.1833946707195962e-05,0.0004153238551851028,176,944,192,832,Glorot,,logistic,0.013100703557332357,0.013137737909952799,0.013119220733642578,0.013045152028401693,COMPLETE,0.013100703557332357,0.013137737909952799,0.013119220733642578,0.013045152028401693
28,0.113467738032341,2025-09-03 09:19:28.009581,2025-09-03 09:25:54.277280,0 days 00:06:26.267699,100,normal,8,zero,,0.00027076433920494625,203,480,272,576,Glorot,,logistic,0.013017363018459743,0.013127684593200684,0.01285854975382487,0.013065854708353678,COMPLETE,0.013017363018459743,0.013127684593200684,0.01285854975382487,0.013065854708353678
29,0.8887741764386495,2025-09-03 09:25:54.284851,2025-09-03 09:59:00.905617,0 days 00:33:06.620766,20,normal,6,nz,0.0005702005920390691,0.023827197087659714,8278,688,336,912,Glorot,,logistic,0.003867215580410428,0.0045318603515625,0.0030899842580159507,0.003979802131652832,COMPLETE,0.003867215580410428,0.0045318603515625,0.0030899842580159507,0.003979802131652832
30,0.8738709886868795,2025-09-03 09:59:00.906123,2025-09-03 10:05:33.514410,0 days 00:06:32.608287,100,uniform,8,nz,3.8729565246854525e-05,0.061244587609138076,6595,272,128,576,Glorot,,tanh,0.005707250701056586,0.0039331912994384766,0.003841439882914225,0.009347120920817057,COMPLETE,0.005707250701056586,0.0039331912994384766,0.003841439882914225,0.009347120920817057
31,0.8674516081809998,2025-09-03 10:05:33.514925,2025-09-03 10:11:59.331440,0 days 00:06:25.816515,100,normal,5,zero,,0.17865334533642033,668,352,880,144,Glorot,,logistic,0.006791022088792589,0.007304549217224121,0.010599851608276367,0.002468665440877279,COMPLETE,0.006791022088792589,0.007304549217224121,0.010599851608276367,0.002468665440877279
32,0.7314192255338033,2025-09-03 10:11:59.331947,2025-09-03 10:45:17.449853,0 days 00:33:18.117906,20,normal,8,nz,3.042048190917116e-07,0.0024865729443567025,230,848,352,432,old,1.9863089596180703,tanh,0.01295712259080675,0.01294414202372233,0.013008316357930502,0.012918909390767416,COMPLETE,0.01295712259080675,0.01294414202372233,0.013008316357930502,0.012918909390767416
