number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
16,0.30077417691548664,2025-09-03 05:20:05.443177,2025-09-03 05:51:03.550649,0 days 00:30:58.107472,20,uniform,5,zero,,4.481465560938961e-06,450,928,160,832,old,1.9993692687863487,tanh,0.013094663619995117,0.013103842735290527,0.013031959533691406,0.013148188591003418,COMPLETE,0.013094663619995117,0.013103842735290527,0.013031959533691406,0.013148188591003418
17,0.3130324085553487,2025-09-03 05:51:03.551086,2025-09-03 05:57:29.806213,0 days 00:06:26.255127,100,normal,5,zero,,1.357272557085702e-06,1626,992,592,304,old,1.000636396400883,tanh,0.013089299201965332,0.013098955154418945,0.013136704762776693,0.013032237688700357,COMPLETE,0.013089299201965332,0.013098955154418945,0.013136704762776693,0.013032237688700357
18,0.2889997760454814,2025-09-03 05:57:29.806638,2025-09-03 06:28:52.042523,0 days 00:31:22.235885,20,normal,5,zero,,0.00047629753700197336,299,912,736,192,old,0.9803391648118072,tanh,0.013126505745781792,0.01305858294169108,0.013118108113606771,0.013202826182047525,COMPLETE,0.013126505745781792,0.01305858294169108,0.013118108113606771,0.013202826182047525
19,0.9097741842269897,2025-09-03 06:28:52.042972,2025-09-03 07:01:14.737179,0 days 00:32:22.694207,20,uniform,8,nz,1.3911845869625818e-08,0.005226421886733568,6103,896,976,560,old,0.21738266587211047,logistic,0.011169844203525119,0.012038469314575195,0.011699835459391275,0.009771227836608887,COMPLETE,0.011169844203525119,0.012038469314575195,0.011699835459391275,0.009771227836608887
20,0.5133064190546671,2025-09-03 07:01:14.737615,2025-09-03 07:07:25.396742,0 days 00:06:10.659127,100,normal,6,zero,,0.0010659387498002082,1944,144,464,656,old,0.6027981408370584,logistic,0.012910577985975476,0.013106346130371094,0.012836098670959473,0.012789289156595865,COMPLETE,0.012910577985975476,0.013106346130371094,0.012836098670959473,0.012789289156595865
21,0.9099838336308798,2025-09-03 07:07:25.397548,2025-09-03 07:39:40.778255,0 days 00:32:15.380707,20,uniform,8,nz,1.1387784728834778e-08,0.009253215886896813,4476,1008,944,304,old,0.21020807708245232,logistic,0.010109543800354006,0.011739373207092285,0.011336286862691244,0.007252971331278483,COMPLETE,0.010109543800354006,0.011739373207092285,0.011336286862691244,0.007252971331278483
22,0.09972580522298813,2025-09-03 07:39:40.778691,2025-09-03 07:45:58.257801,0 days 00:06:17.479110,100,normal,7,zero,,0.4703436211943229,4229,208,480,864,old,0.22433440244603844,tanh,,,,,COMPLETE,,,,
23,0.7932096918423971,2025-09-03 07:45:58.258437,2025-09-03 08:18:06.806069,0 days 00:32:08.547632,20,uniform,6,nz,3.024042005450068e-07,0.0014347848552919906,2509,976,928,160,old,0.21602310110290912,logistic,0.011739677853054471,0.013046582539876303,0.012982885042826334,0.009189565976460775,COMPLETE,0.011739677853054471,0.013046582539876303,0.012982885042826334,0.009189565976460775
24,0.8546129067738851,2025-09-03 08:18:06.806507,2025-09-03 08:24:15.686759,0 days 00:06:08.880252,100,normal,5,zero,,0.0060038958728953085,4815,448,288,928,old,0.6338951015648272,logistic,0.010536180602179633,0.010886549949645996,0.009675701459248861,0.011046290397644043,COMPLETE,0.010536180602179633,0.010886549949645996,0.009675701459248861,0.011046290397644043
25,0.4353083868821462,2025-09-03 08:24:15.687185,2025-09-03 08:55:21.284351,0 days 00:31:05.597166,20,normal,7,zero,,0.2277600076918671,5708,480,256,752,old,0.5442183452071427,logistic,0.002823352813720703,0.003957390785217285,0.002945542335510254,0.0015671253204345703,COMPLETE,0.002823352813720703,0.003957390785217285,0.002945542335510254,0.0015671253204345703
26,0.9204354683558146,2025-09-03 08:55:21.285530,2025-09-03 09:27:03.908249,0 days 00:31:42.622719,20,uniform,8,zero,,0.04123240581227863,3534,1024,736,304,old,0.22107122112527072,logistic,0.0072284407085842555,0.008298556009928385,0.00844868024190267,0.004938085873921712,COMPLETE,0.0072284407085842555,0.008298556009928385,0.00844868024190267,0.004938085873921712
27,0.9174516399701437,2025-09-03 09:27:03.908670,2025-09-03 09:58:25.683243,0 days 00:31:21.774573,20,normal,7,zero,,0.03158674992525858,3984,992,800,224,old,0.24127149023631644,logistic,0.007237712542215984,0.008665045102437338,0.008863210678100586,0.004184881846110026,COMPLETE,0.007237712542215984,0.008665045102437338,0.008863210678100586,0.004184881846110026
28,0.9194193085034689,2025-09-03 09:58:25.683683,2025-09-03 10:29:05.520548,0 days 00:30:39.836865,20,normal,6,zero,,0.11220961958713967,1376,752,624,304,old,0.2190266233343047,logistic,0.006929331355624729,0.006751656532287598,0.009172995885213217,0.004863341649373372,COMPLETE,0.006929331355624729,0.006751656532287598,0.009172995885213217,0.004863341649373372
29,0.9087258577346802,2025-09-03 10:29:05.521222,2025-09-03 11:00:23.868662,0 days 00:31:18.347440,20,normal,7,zero,,0.01330363617164909,7506,864,976,288,old,0.6265964913413868,logistic,0.007634109920925565,0.008428692817687988,0.009390433629353842,0.005083203315734863,COMPLETE,0.007634109920925565,0.008428692817687988,0.009390433629353842,0.005083203315734863
30,0.9110806385676066,2025-09-03 11:00:23.869109,2025-09-03 11:31:25.829937,0 days 00:31:01.960828,20,normal,6,zero,,0.3350349278465652,612,736,464,160,old,0.2002744024217185,logistic,0.005870832337273491,0.006189266840616862,0.009227911631266275,0.0021953185399373374,COMPLETE,0.005870832337273491,0.006189266840616862,0.009227911631266275,0.0021953185399373374
31,0.9151935378710429,2025-09-03 11:31:25.830599,2025-09-03 11:37:35.126360,0 days 00:06:09.295761,100,normal,6,zero,,0.14382510898890338,926,784,528,208,old,0.215900912927671,logistic,0.0065058867136637355,0.00844875971476237,0.007778644561767578,0.003290255864461263,COMPLETE,0.0065058867136637355,0.00844875971476237,0.007778644561767578,0.003290255864461263
32,0.9169355034828186,2025-09-03 11:37:35.126789,2025-09-03 12:08:40.831317,0 days 00:31:05.704528,20,uniform,8,zero,,0.15795044731990251,2026,1008,448,192,old,0.21680888448189506,logistic,0.005284772978888619,0.005369424819946289,0.007931192715962728,0.002553701400756836,COMPLETE,0.005284772978888619,0.005369424819946289,0.007931192715962728,0.002553701400756836
33,0.8776612083117167,2025-09-03 12:08:40.831738,2025-09-03 12:39:14.930311,0 days 00:30:34.098573,20,uniform,8,zero,,0.011386993225993767,953,944,352,240,old,0.20553075899150042,logistic,0.010832097795274524,0.012778123219807943,0.011881033579508463,0.007837136586507162,COMPLETE,0.010832097795274524,0.012778123219807943,0.011881033579508463,0.007837136586507162
34,0.917177418867747,2025-09-03 12:39:14.930736,2025-09-03 13:10:09.944539,0 days 00:30:55.013803,20,normal,8,zero,,0.160006403225456,3609,960,576,304,old,0.45749803034885517,logistic,0.004313879542880588,0.002591411272684733,0.007471839586893718,0.002878387769063314,COMPLETE,0.004313879542880588,0.002591411272684733,0.007471839586893718,0.002878387769063314
35,0.9160483876864115,2025-09-03 13:10:09.944978,2025-09-03 13:41:42.980266,0 days 00:31:33.035288,20,normal,8,zero,,0.08424806065996059,2012,896,704,448,old,0.6243939548124281,logistic,0.007281714015536838,0.006295204162597656,0.009104092915852865,0.006445844968159993,COMPLETE,0.007281714015536838,0.006295204162597656,0.009104092915852865,0.006445844968159993
36,0.8115643660227457,2025-09-03 13:41:42.980843,2025-09-03 13:47:58.987653,0 days 00:06:16.006810,100,normal,7,zero,,0.009168115508354748,1125,992,800,272,Glorot,,logistic,0.011195354991488986,0.012337088584899902,0.01247564951578776,0.008773326873779297,COMPLETE,0.011195354991488986,0.012337088584899902,0.01247564951578776,0.008773326873779297
37,0.9129355351130167,2025-09-03 13:47:58.988076,2025-09-03 14:20:03.955872,0 days 00:32:04.967796,20,normal,7,nz,9.134398615023074e-06,0.15996253259770885,1537,992,576,336,old,0.5804315901019819,logistic,0.006249335077073839,0.005398988723754883,0.008852759997049967,0.004496256510416667,COMPLETE,0.006249335077073839,0.005398988723754883,0.008852759997049967,0.004496256510416667
38,0.919225792090098,2025-09-03 14:20:03.956329,2025-09-03 14:51:05.514583,0 days 00:31:01.558254,20,normal,6,zero,,0.1065587189295712,8716,1008,704,416,old,0.5575849770934127,logistic,0.0037522713343302407,0.001249829928080241,0.007037758827209473,0.0029692252477010093,COMPLETE,0.0037522713343302407,0.001249829928080241,0.007037758827209473,0.0029692252477010093
39,0.33260026574134827,2025-09-03 14:51:05.515020,2025-09-03 15:22:02.184782,0 days 00:30:56.669762,20,normal,6,zero,,0.4850267838684269,5943,944,752,480,old,0.6383266582966396,logistic,0.007052249378628201,0.016828099886576336,0.003545363744099935,0.0007832845052083334,COMPLETE,0.007052249378628201,0.016828099886576336,0.003545363744099935,0.0007832845052083334
40,0.9292257825533549,2025-09-03 15:22:02.185218,2025-09-03 15:28:10.149876,0 days 00:06:07.964658,100,normal,6,zero,,0.05560910522535638,6896,784,832,256,old,0.5165988900491786,tanh,0.007426049974229601,0.007664243380228679,0.0074160099029541016,0.007197896639506022,COMPLETE,0.007426049974229601,0.007664243380228679,0.0074160099029541016,0.007197896639506022
41,0.9246935248374939,2025-09-03 15:28:10.150309,2025-09-03 15:34:18.981797,0 days 00:06:08.831488,100,uniform,6,zero,,0.01787398576631994,8875,832,992,384,old,0.5316554929320667,tanh,0.011104504267374674,0.011176506678263346,0.011299649874369303,0.010837356249491373,COMPLETE,0.011104504267374674,0.011176506678263346,0.011299649874369303,0.010837356249491373
42,0.9295483231544495,2025-09-03 15:34:18.982233,2025-09-03 15:40:29.851983,0 days 00:06:10.869750,100,uniform,6,zero,,0.03921478562456011,7626,688,848,176,old,0.6502287522487782,tanh,0.008139689763387045,0.008687694867451986,0.008624911308288574,0.007106463114420573,COMPLETE,0.008139689763387045,0.008687694867451986,0.008624911308288574,0.007106463114420573
43,0.8882257541020712,2025-09-03 15:40:29.852784,2025-09-03 15:46:51.602190,0 days 00:06:21.749406,100,uniform,6,zero,,0.006377728066356454,6593,800,960,256,old,0.7821569696416479,tanh,0.011751929918924967,0.012087384859720865,0.012421329816182455,0.010747075080871582,COMPLETE,0.011751929918924967,0.012087384859720865,0.012421329816182455,0.010747075080871582
44,0.9300322532653809,2025-09-03 15:46:51.602613,2025-09-03 15:53:01.637619,0 days 00:06:10.035006,100,normal,6,zero,,0.09538972145924256,9462,656,704,176,old,0.7773819798752034,tanh,0.003493785858154297,0.003811518351236979,0.0036514600118001304,0.0030183792114257812,COMPLETE,0.003493785858154297,0.003811518351236979,0.0036514600118001304,0.0030183792114257812
45,0.9277580380439758,2025-09-03 15:53:01.638060,2025-09-03 15:59:16.044049,0 days 00:06:14.405989,100,normal,6,zero,,0.3369182349922888,4050,592,704,144,Glorot,,tanh,0.0010590685738457574,0.00044385592142740887,0.0016057888666788738,0.0011275609334309895,COMPLETE,0.0010590685738457574,0.00044385592142740887,0.0016057888666788738,0.0011275609334309895
46,0.9276773730913798,2025-09-03 15:59:16.044492,2025-09-03 16:05:37.533094,0 days 00:06:21.488602,100,normal,6,zero,,0.11208276990645905,3718,736,784,416,Glorot,,tanh,0.005335224999321832,0.004987438519795735,0.005231539408365886,0.005786697069803874,COMPLETE,0.005335224999321832,0.004987438519795735,0.005231539408365886,0.005786697069803874
47,0.8763225674629211,2025-09-03 16:05:37.533516,2025-09-03 16:11:44.630331,0 days 00:06:07.096815,100,normal,6,zero,,0.007144590395911729,8838,624,640,320,Glorot,,tanh,0.010678595966762967,0.010509133338928223,0.011263092358907064,0.010263562202453613,COMPLETE,0.010678595966762967,0.010509133338928223,0.011263092358907064,0.010263562202453613
48,0.9257258176803589,2025-09-03 16:11:44.630764,2025-09-03 16:42:32.229118,0 days 00:30:47.598354,20,normal,6,zero,,0.20660017421836468,3138,640,960,144,Glorot,,tanh,0.002556059095594618,0.0005563894907633463,0.00641640027364095,0.0006953875223795573,COMPLETE,0.002556059095594618,0.0005563894907633463,0.00641640027364095,0.0006953875223795573
49,0.8942419687906901,2025-09-03 16:42:32.229542,2025-09-03 16:48:41.599317,0 days 00:06:09.369775,100,normal,5,zero,,0.014409154682462762,7534,352,912,208,old,1.276920816258689,tanh,0.00895686944325765,0.007895549138387045,0.010437806447347006,0.0085372527440389,COMPLETE,0.00895686944325765,0.007895549138387045,0.010437806447347006,0.0085372527440389
50,0.9157580137252808,2025-09-03 16:48:41.599758,2025-09-03 16:54:50.936431,0 days 00:06:09.336673,100,normal,8,zero,,0.15019651224146213,5389,560,704,208,Glorot,,logistic,0.0017895036273532442,0.0010430018107096355,0.002996722857157389,0.0013287862141927083,COMPLETE,0.0017895036273532442,0.0010430018107096355,0.002996722857157389,0.0013287862141927083
51,0.09972580522298813,2025-09-03 16:54:50.936856,2025-09-03 17:25:50.856124,0 days 00:30:59.919268,20,normal,7,zero,,0.4677078466980769,1587,704,992,288,Glorot,,tanh,,,,,COMPLETE,,,,
52,0.9344354867935181,2025-09-03 17:25:50.856767,2025-09-03 17:56:37.509403,0 days 00:30:46.652636,20,normal,6,zero,,0.08708522165330171,9526,480,1008,240,Glorot,,tanh,0.0013802448908487956,0.00035842259724934894,0.002477288246154785,0.0013050238291422527,COMPLETE,0.0013802448908487956,0.00035842259724934894,0.002477288246154785,0.0013050238291422527
53,0.8431774179140726,2025-09-03 17:56:37.510009,2025-09-03 18:03:18.680772,0 days 00:06:41.170763,100,normal,6,nz,8.702370986494394e-05,0.004132126614775892,3841,864,480,176,old,1.0214277021726743,tanh,0.010897543695237903,0.011831521987915039,0.011746406555175781,0.009114702542622885,COMPLETE,0.010897543695237903,0.011831521987915039,0.011746406555175781,0.009114702542622885
54,0.09972580522298813,2025-09-03 18:03:18.681427,2025-09-03 18:09:27.067929,0 days 00:06:08.386502,100,normal,6,zero,,0.537750762688897,5803,640,560,224,old,1.0255999594335359,tanh,,,,,COMPLETE,,,,
