number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.06746666630109151,2025-09-02 09:33:45.738188,2025-09-02 09:39:19.361804,0 days 00:05:33.623616,100,normal,6,zero,,5.356407332044644e-05,6592,1008,608,576,old,0.3186854244306292,logistic,0.013122055265638562,0.013091007868448893,0.01315760612487793,0.013117551803588867,COMPLETE,0.013122055265638562,0.013091007868448893,0.01315760612487793,0.013117551803588867
1,0.07413332909345627,2025-09-02 09:39:19.362310,2025-09-02 10:06:34.844283,0 days 00:27:15.481973,20,uniform,6,zero,,0.0001567986483730631,4737,944,240,592,old,1.0593220787328592,tanh,0.013036767641703287,0.013130942980448404,0.0129318634668986,0.013047496477762857,COMPLETE,0.013036767641703287,0.013130942980448404,0.0129318634668986,0.013047496477762857
2,0.07828333228826523,2025-09-02 10:06:34.844976,2025-09-02 10:11:56.635920,0 days 00:05:21.790944,100,uniform,7,zero,,0.0013722625337799393,674,544,784,496,Glorot,,tanh,0.013025813632541232,0.013026038805643717,0.013082226117451986,0.012969175974527994,COMPLETE,0.013025813632541232,0.013026038805643717,0.013082226117451986,0.012969175974527994
3,0.11736666411161423,2025-09-02 10:11:56.636334,2025-09-02 10:39:02.390566,0 days 00:27:05.754232,20,uniform,6,zero,,0.0005997611974489836,3042,400,656,336,old,0.7557205831361038,tanh,0.012972235679626465,0.013185222943623861,0.013097723325093588,0.012633760770161947,COMPLETE,0.012972235679626465,0.013185222943623861,0.013097723325093588,0.012633760770161947
4,0.06798333177963893,2025-09-02 10:39:02.390977,2025-09-02 10:44:23.563820,0 days 00:05:21.172843,100,uniform,8,zero,,1.7536174426962524e-06,5638,832,848,592,Glorot,,logistic,0.013087312380472818,0.013037562370300293,0.013109803199768066,0.013114571571350098,COMPLETE,0.013087312380472818,0.013037562370300293,0.013109803199768066,0.013114571571350098
5,0.06859999895095825,2025-09-02 10:44:23.564245,2025-09-02 10:49:44.215936,0 days 00:05:20.651691,100,uniform,6,zero,,2.152766956463615e-06,1208,864,512,672,Glorot,,logistic,0.013067139519585503,0.0131532351175944,0.013017773628234863,0.013030409812927246,COMPLETE,0.013067139519585503,0.0131532351175944,0.013017773628234863,0.013030409812927246
6,0.236516664425532,2025-09-02 10:49:44.216362,2025-09-02 10:55:20.893624,0 days 00:05:36.677262,100,normal,6,nz,1.0224729613848469e-07,0.18205624505890625,6579,640,272,832,old,0.50438191405769,tanh,0.00020129150814480253,0.0002970298131306966,0.00021354357401529947,9.330113728841145e-05,COMPLETE,0.00020129150814480253,0.0002970298131306966,0.00021354357401529947,9.330113728841145e-05
7,0.1655499984820684,2025-09-02 10:55:20.894295,2025-09-02 11:01:04.912728,0 days 00:05:44.018433,100,uniform,6,nz,0.009022903550383762,0.015141727048604519,713,160,384,864,old,1.1444957061835375,tanh,0.009210162692599826,0.009087721506754557,0.010119279225667318,0.008423487345377604,COMPLETE,0.009210162692599826,0.009087721506754557,0.010119279225667318,0.008423487345377604
8,0.07551666597525279,2025-09-02 11:01:04.913151,2025-09-02 11:06:22.871047,0 days 00:05:17.957896,100,normal,8,zero,,1.5227745153472545e-06,2210,544,816,912,old,1.8392842177188289,logistic,0.01310824023352729,0.013148268063863119,0.013128916422526041,0.013047536214192709,COMPLETE,0.01310824023352729,0.013148268063863119,0.013128916422526041,0.013047536214192709
9,0.07479999711116155,2025-09-02 11:06:22.871765,2025-09-02 11:11:48.744602,0 days 00:05:25.872837,100,uniform,8,zero,,2.4890096121810022e-05,796,272,288,448,Glorot,,tanh,0.013214985529581705,0.013230284055074057,0.01333447297414144,0.013080199559529623,COMPLETE,0.013214985529581705,0.013230284055074057,0.01333447297414144,0.013080199559529623
10,0.011299999741216501,2025-09-02 11:11:48.745043,2025-09-02 11:38:37.739662,0 days 00:26:48.994619,20,uniform,7,zero,,0.5398843157707236,705,800,976,672,Glorot,,logistic,0.0020927455690171984,0.0036942164103190103,0.001832405726114909,0.0007516145706176758,COMPLETE,0.0020927455690171984,0.0036942164103190103,0.001832405726114909,0.0007516145706176758
11,0.09666666388511658,2025-09-02 11:38:37.740076,2025-09-02 12:05:28.296184,0 days 00:26:50.556108,20,uniform,6,zero,,0.005988265244732958,304,352,656,208,Glorot,,tanh,0.012812866104973689,0.013043363889058432,0.01301713784535726,0.012378096580505371,COMPLETE,0.012812866104973689,0.013043363889058432,0.01301713784535726,0.012378096580505371
12,0.18601666390895844,2025-09-02 12:05:28.296901,2025-09-02 12:33:59.618294,0 days 00:28:31.321393,20,uniform,7,nz,2.3466263143751017e-05,0.23561379107592156,130,896,512,928,old,1.0236779743730906,tanh,0.008762147691514758,0.009508887926737467,0.008311231931050619,0.008466323216756185,COMPLETE,0.008762147691514758,0.009508887926737467,0.008311231931050619,0.008466323216756185
