number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
26,0.6402414639790853,2025-08-19 17:15:57.789262,2025-08-19 17:19:13.615544,0 days 00:03:15.826282,20,,normal,7,nz,8.58384219763682e-06,0.009477770760581794,7342,96,0.8935875102158602,pca,old,1.248108542467212,logistic,COMPLETE
27,0.7564998070398966,2025-08-19 17:19:13.616014,2025-08-19 17:19:54.423533,0 days 00:00:40.807519,100,,normal,7,nz,1.1145998915794457e-08,0.23437758646250859,1007,800,,raw,Glorot,,tanh,COMPLETE
28,0.7702590227127075,2025-08-19 17:19:54.423836,2025-08-19 17:20:32.357741,0 days 00:00:37.933905,100,,uniform,5,zero,,0.22834367706067613,835,688,,raw,Glorot,,tanh,COMPLETE
29,0.5170345306396484,2025-08-19 17:20:32.358092,2025-08-19 17:21:10.993286,0 days 00:00:38.635194,100,0.0008795071701931075,normal,5,zero,,8.426407870504551e-05,3250,736,,colnorm,Glorot,,logistic,COMPLETE
30,0.6297587553660074,2025-08-19 17:21:10.993729,2025-08-19 17:24:26.775410,0 days 00:03:15.781681,20,1.2513975001540644e-05,uniform,7,nz,0.0004146834812290588,0.014225847931312312,857,64,,colnorm,Glorot,,tanh,COMPLETE
31,0.638034443060557,2025-08-19 17:24:26.776309,2025-08-19 17:27:32.180083,0 days 00:03:05.403774,20,2.3223277573337248e-05,normal,5,zero,,0.0465956607586981,1433,320,,colnorm,Glorot,,logistic,COMPLETE
32,0.6080517570177714,2025-08-19 17:27:32.180843,2025-08-19 17:28:14.764449,0 days 00:00:42.583606,100,,uniform,7,nz,5.261637618689771e-07,0.007062700598632587,1280,192,0.9925872110075498,pca,Glorot,,tanh,COMPLETE
33,0.8315860629081726,2025-08-19 17:28:14.764913,2025-08-19 17:31:22.918735,0 days 00:03:08.153822,20,1.8030656423355598e-05,normal,5,zero,,0.3777517651314561,6754,240,,colnorm,old,1.9535520591996793,logistic,COMPLETE
34,0.8251036008199056,2025-08-19 17:31:22.919474,2025-08-19 17:34:30.130252,0 days 00:03:07.210778,20,,uniform,5,zero,,0.2980810339049786,9489,160,,raw,old,1.952142595290311,logistic,COMPLETE
35,0.8226204911867777,2025-08-19 17:34:30.130726,2025-08-19 17:37:33.976443,0 days 00:03:03.845717,20,5.333485222826273e-08,uniform,5,zero,,0.5429465089137406,8179,112,,colnorm,old,1.9768115556648762,logistic,COMPLETE
36,0.8353966474533081,2025-08-19 17:37:33.981708,2025-08-19 17:40:38.172153,0 days 00:03:04.190445,20,,normal,5,zero,,0.596757779200988,7624,288,,raw,old,1.9794060004039304,logistic,COMPLETE
37,0.8353103597958883,2025-08-19 17:40:38.172884,2025-08-19 17:43:41.677038,0 days 00:03:03.504154,20,,normal,6,zero,,0.08661972451624791,5101,272,,raw,old,1.988849998056197,logistic,COMPLETE
38,0.8396552205085754,2025-08-19 17:43:41.677493,2025-08-19 17:46:48.134065,0 days 00:03:06.456572,20,,normal,6,zero,,0.09444535947013513,6877,368,,raw,old,1.9934359182645787,logistic,COMPLETE
39,0.8158965706825256,2025-08-19 17:46:48.134524,2025-08-19 17:50:08.611887,0 days 00:03:20.477363,20,,normal,6,nz,6.86099045886798e-05,0.07209278365836637,2731,144,,raw,old,1.977116731837773,logistic,COMPLETE
40,0.8310000499089559,2025-08-19 17:50:08.612774,2025-08-19 17:53:12.877263,0 days 00:03:04.264489,20,,normal,6,zero,,0.04839458047157304,9682,288,,raw,Glorot,,logistic,COMPLETE
41,0.841206967830658,2025-08-19 17:53:12.878194,2025-08-19 17:56:16.606882,0 days 00:03:03.728688,20,,normal,7,zero,,0.23476550805680313,7784,320,,raw,old,1.9913947874253521,logistic,COMPLETE
42,0.8371034463246664,2025-08-19 17:56:16.607335,2025-08-19 17:59:21.179503,0 days 00:03:04.572168,20,,normal,7,zero,,0.13368387823179373,7558,288,,raw,old,1.9395590610034423,logistic,COMPLETE
43,0.7489999532699585,2025-08-19 17:59:21.182443,2025-08-19 18:02:25.780782,0 days 00:03:04.598339,20,,normal,7,zero,,0.013261070846158764,6280,496,,raw,old,1.676466755003935,logistic,COMPLETE
44,0.7609653870264689,2025-08-19 18:02:25.781227,2025-08-19 18:05:42.410179,0 days 00:03:16.628952,20,,normal,7,nz,0.0017236590315145457,0.48368958903563186,8692,336,,raw,old,1.993866047772714,logistic,COMPLETE
45,0.8285347024599711,2025-08-19 18:05:42.412886,2025-08-19 18:06:20.039214,0 days 00:00:37.626328,100,,normal,5,zero,,0.13013513279202138,7253,304,,raw,old,1.708925027999472,logistic,COMPLETE
46,0.7026381095250448,2025-08-19 18:06:20.039420,2025-08-19 18:09:23.969682,0 days 00:03:03.930262,20,,normal,7,zero,,0.6576306521833658,4967,400,0.6689168444516127,pca,old,1.9905145842104592,logistic,COMPLETE
47,0.8262930909792582,2025-08-19 18:09:23.970135,2025-08-19 18:12:31.297804,0 days 00:03:07.327669,20,,normal,7,zero,,0.2639410014659581,4124,128,,raw,old,1.6653301839143926,logistic,COMPLETE
48,0.8374484578768412,2025-08-19 18:12:31.298258,2025-08-19 18:15:36.463387,0 days 00:03:05.165129,20,,normal,5,zero,,0.1133334177013292,9369,480,,raw,old,1.9956577029133766,logistic,COMPLETE
49,0.5550862749417623,2025-08-19 18:15:36.463862,2025-08-19 18:18:39.893190,0 days 00:03:03.429328,20,,normal,7,zero,,0.0006522097651832193,8085,32,,raw,old,1.9941162759266415,tanh,COMPLETE
50,0.8255000114440918,2025-08-19 18:18:39.893645,2025-08-19 18:21:44.858878,0 days 00:03:04.965233,20,,uniform,5,zero,,0.08615113975455817,4421,720,,raw,Glorot,,logistic,COMPLETE
51,0.8365862568219503,2025-08-19 18:21:44.860999,2025-08-19 18:24:51.021371,0 days 00:03:06.160372,20,,normal,5,zero,,0.02864982561679645,9529,720,,raw,old,1.9680647851162338,logistic,COMPLETE
52,0.8161723812421163,2025-08-19 18:24:51.023507,2025-08-19 18:28:10.074352,0 days 00:03:19.050845,20,,normal,5,nz,2.6997629390628556e-05,0.017497302162395627,8855,976,,raw,old,1.9962788322085028,logistic,COMPLETE
53,0.8405689199765524,2025-08-19 18:28:10.078004,2025-08-19 18:31:15.654358,0 days 00:03:05.576354,20,,normal,5,zero,,0.008163401614763787,8495,672,,raw,Glorot,,tanh,COMPLETE
54,0.6202758351961771,2025-08-19 18:31:15.654829,2025-08-19 18:34:22.049313,0 days 00:03:06.394484,20,,normal,5,zero,,0.0009308553333608308,8189,656,,raw,Glorot,,tanh,COMPLETE
55,0.6081379254659017,2025-08-19 18:34:22.049791,2025-08-19 18:37:41.969482,0 days 00:03:19.919691,20,3.543807998541489e-09,normal,8,nz,0.0074335954882799185,0.07748106203977483,4021,320,,colnorm,old,1.562711928297113,tanh,COMPLETE
56,0.7503967682520548,2025-08-19 18:37:41.973874,2025-08-19 18:40:47.079272,0 days 00:03:05.105398,20,,uniform,6,zero,,0.24359711927199282,6913,624,0.7486125097178281,pca,old,1.6001842987426955,logistic,COMPLETE
57,0.5183621048927307,2025-08-19 18:40:47.079727,2025-08-19 18:43:51.194033,0 days 00:03:04.114306,20,,normal,8,zero,,0.00042632971491582557,2339,672,0.5496345251852142,pca,old,1.726359599156913,tanh,COMPLETE
58,0.5602585077285767,2025-08-19 18:43:51.194504,2025-08-19 18:44:28.572881,0 days 00:00:37.378377,100,,normal,6,zero,,0.0017732247118471818,5212,672,,raw,old,1.9939619967529147,logistic,COMPLETE
59,0.5610172351201376,2025-08-19 18:44:28.573237,2025-08-19 18:47:46.648488,0 days 00:03:18.075251,20,,normal,8,nz,0.00019188369836587737,0.0019126860503835175,5132,480,,raw,old,1.70069630610306,logistic,COMPLETE
60,0.8034653266270956,2025-08-19 18:47:46.650786,2025-08-19 18:48:24.249365,0 days 00:00:37.598579,100,,uniform,7,zero,,0.6706651562406926,1454,384,,raw,old,1.2031105897868188,logistic,COMPLETE
61,0.7572929660479227,2025-08-19 18:48:24.249794,2025-08-19 18:51:30.135205,0 days 00:03:05.885411,20,,uniform,5,zero,,0.003655671842656369,5387,912,,raw,old,1.9850752432888432,tanh,COMPLETE
62,0.7431206703186035,2025-08-19 18:51:30.135688,2025-08-19 18:54:36.423411,0 days 00:03:06.287723,20,,normal,5,zero,,0.0734056742826385,8047,960,0.7946564210687812,pca,old,1.9820294787578392,logistic,COMPLETE
63,0.8195172548294067,2025-08-19 18:54:36.423875,2025-08-19 18:57:41.452325,0 days 00:03:05.028450,20,,normal,6,zero,,0.024845611167488617,1560,752,,raw,Glorot,,tanh,COMPLETE
