number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
27,0.964258054892222,2025-08-19 17:14:21.446354,2025-08-19 17:15:05.307649,0 days 00:00:43.861295,100,,uniform,6,nz,1.8249088256205893e-05,0.24964763624974434,5721,592,,raw,Glorot,,logistic,COMPLETE
28,0.9671290318171183,2025-08-19 17:15:05.307837,2025-08-19 17:15:45.906429,0 days 00:00:40.598592,100,,uniform,8,zero,,0.05187398875056825,9268,416,,raw,Glorot,,tanh,COMPLETE
29,0.9371128877003988,2025-08-19 17:15:45.906837,2025-08-19 17:16:26.887807,0 days 00:00:40.980970,100,,uniform,7,zero,,0.030335719439550202,3275,640,,raw,Glorot,,tanh,COMPLETE
30,0.9212903181711832,2025-08-19 17:16:26.888063,2025-08-19 17:17:07.674135,0 days 00:00:40.786072,100,,uniform,5,zero,,0.008402868837225012,9527,576,,raw,Glorot,,tanh,COMPLETE
31,0.9760483900705973,2025-08-19 17:17:07.674482,2025-08-19 17:17:48.271242,0 days 00:00:40.596760,100,,uniform,5,zero,,0.277517173988658,5697,192,,raw,Glorot,,tanh,COMPLETE
32,0.9770806431770325,2025-08-19 17:17:48.271653,2025-08-19 17:18:29.034497,0 days 00:00:40.762844,100,,uniform,5,zero,,0.32150177466963686,5898,208,,raw,Glorot,,tanh,COMPLETE
33,0.9738387068112692,2025-08-19 17:18:29.034754,2025-08-19 17:19:09.812682,0 days 00:00:40.777928,100,,uniform,5,zero,,0.30213811862343554,7047,96,,raw,Glorot,,tanh,COMPLETE
34,0.9763548572858175,2025-08-19 17:19:09.813016,2025-08-19 17:19:50.813710,0 days 00:00:41.000694,100,,uniform,5,zero,,0.3875452300832186,4623,224,,raw,old,0.25934085176593147,tanh,COMPLETE
35,0.9517096678415934,2025-08-19 17:19:50.814120,2025-08-19 17:20:34.414446,0 days 00:00:43.600326,100,,uniform,7,nz,4.286349562285866e-07,0.03803710142811,4761,224,,raw,old,0.2748071567873625,tanh,COMPLETE
36,0.9222419460614523,2025-08-19 17:20:34.414632,2025-08-19 17:21:15.581341,0 days 00:00:41.166709,100,0.0007091957096950565,normal,5,zero,,0.004589508478542176,3178,96,,colnorm,old,0.6184749203632751,tanh,COMPLETE
37,0.5135161677996317,2025-08-19 17:21:15.581711,2025-08-19 17:21:56.497071,0 days 00:00:40.915360,100,,uniform,6,zero,,0.0007721306081705936,873,768,,raw,old,1.4530722850509639,logistic,COMPLETE
38,0.9720645348230997,2025-08-19 17:21:56.497503,2025-08-19 17:22:40.255783,0 days 00:00:43.758280,100,,normal,5,nz,0.0003511348569813917,0.10325164678054623,9990,448,,raw,old,0.6504328944725657,tanh,COMPLETE
39,0.9223224918047587,2025-08-19 17:22:40.256052,2025-08-19 17:23:21.893314,0 days 00:00:41.637262,100,,uniform,8,zero,,0.35848215557566093,4399,16,0.5159443364363516,pca,old,1.412155075634418,tanh,COMPLETE
40,0.6954514781634012,2025-08-19 17:23:21.893668,2025-08-19 17:24:03.171557,0 days 00:00:41.277889,100,9.086842850821672e-06,normal,7,zero,,2.479514105865869e-05,6699,144,,colnorm,old,0.5880750554312915,tanh,COMPLETE
41,0.9778225819269816,2025-08-19 17:24:03.172015,2025-08-19 17:24:43.836617,0 days 00:00:40.664602,100,,uniform,5,zero,,0.47257747879284967,7176,208,,raw,old,1.430688101650552,tanh,COMPLETE
42,0.9766290386517843,2025-08-19 17:24:43.836902,2025-08-19 17:25:24.864071,0 days 00:00:41.027169,100,,uniform,5,zero,,0.44745297520603466,7677,224,,raw,old,1.4608128883391567,tanh,COMPLETE
43,0.9776935378710429,2025-08-19 17:25:24.864419,2025-08-19 17:26:05.492746,0 days 00:00:40.628327,100,,uniform,5,zero,,0.4660043941851151,7611,352,,raw,old,1.516842526198297,tanh,COMPLETE
44,0.9718225797017416,2025-08-19 17:26:05.493164,2025-08-19 17:26:46.031689,0 days 00:00:40.538525,100,,uniform,5,zero,,0.08639157100348716,7520,368,,raw,old,1.549131288933295,tanh,COMPLETE
45,0.9738387068112692,2025-08-19 17:26:46.031874,2025-08-19 17:27:28.096890,0 days 00:00:42.065016,100,,uniform,5,zero,,0.502061564056865,7613,560,0.6950406802967458,pca,old,1.6771241147685916,logistic,COMPLETE
46,0.9671774307886759,2025-08-19 17:27:28.097335,2025-08-19 17:28:11.818115,0 days 00:00:43.720780,100,,uniform,5,nz,9.955429547668198e-07,0.10517860363241016,3639,672,,raw,old,1.2512947423087408,tanh,COMPLETE
47,0.9486936132113138,2025-08-19 17:28:11.818534,2025-08-19 17:31:34.863145,0 days 00:03:23.044611,20,9.16888142807639e-08,normal,6,zero,,0.8886754649870976,125,256,,colnorm,old,1.7097203900891698,tanh,COMPLETE
48,0.976903239885966,2025-08-19 17:31:34.864034,2025-08-19 17:32:15.797072,0 days 00:00:40.933038,100,,uniform,5,zero,,0.5009099460470938,8048,784,,raw,old,1.301246185646127,tanh,COMPLETE
49,0.9544032017389933,2025-08-19 17:32:15.797518,2025-08-19 17:32:57.238517,0 days 00:00:41.440999,100,,uniform,8,zero,,0.05255165547239453,9903,752,0.6376171584448477,pca,old,1.2706167024345962,logistic,COMPLETE
50,0.9526774287223816,2025-08-19 17:32:57.238949,2025-08-19 17:36:18.393968,0 days 00:03:21.155019,20,,uniform,5,zero,,0.9993062702413547,3074,864,,raw,old,1.2747262833387463,tanh,COMPLETE
51,0.9767096638679504,2025-08-19 17:36:18.394417,2025-08-19 17:36:59.195780,0 days 00:00:40.801363,100,,uniform,5,zero,,0.4716056711616707,8070,816,,raw,old,1.5798291210325996,tanh,COMPLETE
52,0.9766612847646078,2025-08-19 17:36:59.196201,2025-08-19 17:37:40.223145,0 days 00:00:41.026944,100,,uniform,5,zero,,0.5221544365867357,6204,816,,raw,old,1.6605499416849567,tanh,COMPLETE
53,0.9745161533355713,2025-08-19 17:37:40.223341,2025-08-19 17:38:21.440417,0 days 00:00:41.217076,100,,uniform,5,zero,,0.14301557516471675,8087,960,,raw,old,1.5870146413089703,tanh,COMPLETE
54,0.9773870905240377,2025-08-19 17:38:21.440838,2025-08-19 17:39:01.513039,0 days 00:00:40.072201,100,,uniform,5,zero,,0.5408004419024558,8454,800,,raw,old,1.3288587926056885,tanh,COMPLETE
55,0.9716290632883707,2025-08-19 17:39:01.513466,2025-08-19 17:39:42.388712,0 days 00:00:40.875246,100,,uniform,5,zero,,0.1406258043084987,4071,720,,raw,old,1.1333890466514056,tanh,COMPLETE
56,0.9166128834088644,2025-08-19 17:39:42.388898,2025-08-19 17:40:22.896227,0 days 00:00:40.507329,100,,uniform,5,zero,,0.07001402911173943,376,1024,,raw,old,1.3438701026943922,tanh,COMPLETE
57,0.9706935485204061,2025-08-19 17:40:22.896647,2025-08-19 17:43:42.379185,0 days 00:03:19.482538,20,,uniform,7,zero,,0.638772517264652,6464,608,,raw,old,1.179656199941839,tanh,COMPLETE
58,0.7189354499181112,2025-08-19 17:43:42.380120,2025-08-19 17:44:26.547102,0 days 00:00:44.166982,100,4.9472814765433896e-05,normal,5,nz,1.106096741147044e-08,1.9145155270155873e-06,5103,960,,colnorm,old,1.011607460649525,tanh,COMPLETE
59,0.9311774174372355,2025-08-19 17:44:26.547532,2025-08-19 17:45:06.604301,0 days 00:00:40.056769,100,,uniform,5,zero,,0.014506990287767998,8974,704,,raw,old,1.793374279406794,tanh,COMPLETE
60,0.9716290235519409,2025-08-19 17:45:06.604732,2025-08-19 17:45:48.086893,0 days 00:00:41.482161,100,,uniform,5,zero,,0.19138751832770148,6679,896,0.7880322138091012,pca,old,1.401879254754568,logistic,COMPLETE
61,0.9771613081296285,2025-08-19 17:45:48.087081,2025-08-19 17:46:28.282185,0 days 00:00:40.195104,100,,uniform,5,zero,,0.42629546743298047,8595,784,,raw,old,1.5168536235967773,tanh,COMPLETE
62,0.976758082707723,2025-08-19 17:46:28.282629,2025-08-19 17:47:09.764968,0 days 00:00:41.482339,100,,uniform,5,zero,,0.2817369308989549,8470,800,,raw,old,1.5137148298497027,tanh,COMPLETE
63,0.9775484005610148,2025-08-19 17:47:09.765160,2025-08-19 17:47:50.730310,0 days 00:00:40.965150,100,,uniform,5,zero,,0.7061655761181534,5918,544,,raw,old,1.3235170702528385,tanh,COMPLETE
64,0.9755484064420065,2025-08-19 17:47:50.730722,2025-08-19 17:48:31.986303,0 days 00:00:41.255581,100,,uniform,5,zero,,0.8119669296395357,5661,528,,raw,old,1.7980672119950467,tanh,COMPLETE
65,0.9745322664578756,2025-08-19 17:48:31.986566,2025-08-19 17:49:13.020510,0 days 00:00:41.033944,100,,uniform,6,zero,,0.22269367979001095,3791,640,,raw,old,1.1617850465109072,tanh,COMPLETE
66,0.7517420252164205,2025-08-19 17:49:13.020852,2025-08-19 17:49:54.041441,0 days 00:00:41.020589,100,,uniform,5,zero,,0.0002095359790616742,1744,480,,raw,Glorot,,tanh,COMPLETE
67,0.9753870964050293,2025-08-19 17:49:54.041852,2025-08-19 17:50:34.632930,0 days 00:00:40.591078,100,,uniform,8,zero,,0.3487143442394754,2724,304,,raw,old,0.8994943198581296,tanh,COMPLETE
68,0.9749354918797811,2025-08-19 17:50:34.633208,2025-08-19 17:53:56.365016,0 days 00:03:21.731808,20,,uniform,5,zero,,0.11790356274490206,4409,528,,raw,Glorot,,tanh,COMPLETE
69,0.9532580574353536,2025-08-19 17:53:56.365914,2025-08-19 17:54:37.010200,0 days 00:00:40.644286,100,,uniform,5,zero,,0.03763036417486381,5772,448,,raw,old,1.3759696941628963,tanh,COMPLETE
