number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
14,0.33938761552174884,2025-09-02 05:32:52.061060,2025-09-02 05:36:15.132640,0 days 00:03:23.071580,512,uniform,8,zero,,0.5206050406650379,936,160,416,928,592,old,0.8171754286269441,tanh,0.011605620384216309,0.01219479242960612,0.012228449185689291,0.012360811233520508,0.01129754384358724,0.011429031689961752,0.004187226295471191,0.010757639294578916,0.33938761552174884,0.00864276777171273,COMPLETE
15,0.36580954988797504,2025-09-02 05:36:15.133058,2025-09-02 06:34:30.136073,0 days 00:58:15.003015,20,uniform,7,zero,,0.07038461069693253,2496,224,592,848,784,Glorot,,tanh,0.01127159595489502,0.01221017042795817,0.012534777323404947,0.012333234151204428,0.011996706326802572,0.011819720268249512,0.0065839290618896484,0.011250019073486328,0.36580954988797504,0.00952581574971167,COMPLETE
16,0.927200178305308,2025-09-02 06:34:30.136521,2025-09-02 06:39:09.041745,0 days 00:04:38.905224,256,uniform,6,nz,3.4912391835984953e-06,0.00011343857240939616,2655,960,544,368,528,Glorot,,logistic,0.013027270634969076,0.01292880376180013,0.013053258260091146,0.013052860895792643,0.013068755467732748,0.013043085734049479,0.013077775637308756,0.013035972913106283,0.927200178305308,0.011653423202251025,COMPLETE
17,0.5386531949043274,2025-09-02 06:39:09.042546,2025-09-02 06:42:55.462918,0 days 00:03:46.420372,512,normal,7,zero,,0.13984702777160735,280,864,336,512,944,Glorot,,tanh,0.012732187906901041,0.012815356254577637,0.012979348500569662,0.013031204541524252,0.012946407000223795,0.012610832850138346,0.00961009661356608,0.012389347666785832,0.5386531949043274,0.022470726114033595,COMPLETE
18,0.8503490487734476,2025-09-02 06:42:55.463713,2025-09-02 06:47:11.323752,0 days 00:04:15.860039,512,uniform,8,zero,,0.0005645279458462784,8137,960,224,704,960,old,0.77719832383908,tanh,0.013009587923685709,0.013054728507995605,0.013053536415100098,0.013139804204305014,0.013102094332377115,0.013127565383911133,0.012844363848368326,0.013047382945106144,0.8503490487734476,0.0050540502998675674,COMPLETE
19,0.941519021987915,2025-09-02 06:47:11.324174,2025-09-02 06:51:58.705469,0 days 00:04:47.381295,256,normal,8,zero,,1.6752573004292335e-05,5290,896,320,640,976,old,0.8203862668317286,logistic,0.013255715370178223,0.013191024462381998,0.013062000274658203,0.013147632280985514,0.013081947962443033,0.01313952604929606,0.013034184773763021,0.013130290167672294,0.941519021987915,0.006196732028641779,COMPLETE
20,0.9597675800323486,2025-09-02 06:51:58.705894,2025-09-02 06:54:12.908170,0 days 00:02:14.202276,512,normal,6,zero,,2.993279432713497e-06,212,208,240,576,448,Glorot,,tanh,0.013116081555684408,0.013132532437642416,0.013108491897583008,0.012942790985107422,0.013094544410705566,0.013013124465942383,0.012879490852355957,0.013041008086431594,0.9597675800323486,0.010425814273216259,COMPLETE
21,0.8530555764834086,2025-09-02 06:54:12.909045,2025-09-02 07:53:41.371733,0 days 00:59:28.462688,20,normal,6,nz,5.9489511775294635e-08,0.006037702454628343,472,784,544,368,656,old,1.091064919512398,logistic,0.013112028439839682,0.013069470723470053,0.013060649236043295,0.013062040011088053,0.01309812068939209,0.013190627098083496,0.012915690739949545,0.013072660991123742,0.8530555764834086,0.012933239568435813,COMPLETE
22,0.9471336801846822,2025-09-02 07:53:41.372153,2025-09-02 08:53:42.223002,0 days 01:00:00.850849,20,uniform,6,nz,6.383400130841037e-06,8.670749413248175e-05,104,960,416,448,992,Glorot,,logistic,0.013100425402323404,0.013074358304341635,0.013113101323445639,0.013070146242777506,0.013071656227111816,0.01311353842417399,0.013138651847839355,0.01309741111028762,0.9471336801846822,0.00853257332437133,COMPLETE
23,0.3765542308489482,2025-09-02 08:53:42.223440,2025-09-02 09:05:39.631121,0 days 00:11:57.407681,100,uniform,5,nz,2.1360456204059218e-06,0.28551000705087126,6515,800,336,144,448,old,0.5217777191089703,logistic,0.011386275291442871,0.009735902150472006,0.0114213228225708,0.012243231137593588,0.011267662048339844,0.00632329781850179,0.001074075698852539,0.009064538138253348,0.3765542308489482,0.02664725920268055,COMPLETE
24,0.9480994343757629,2025-09-02 09:05:39.631552,2025-09-02 09:07:50.057106,0 days 00:02:10.425554,512,normal,5,zero,,1.779299425457281e-05,383,592,128,144,512,old,1.0953085363151955,logistic,0.013129194577534994,0.01323242982228597,0.013030290603637695,0.013110001881917318,0.012889385223388672,0.013257980346679688,0.013439456621805826,0.013155534153892881,0.9480994343757629,0.03181751433402966,COMPLETE
25,0.9570261637369791,2025-09-02 09:07:50.057535,2025-09-02 09:19:45.161944,0 days 00:11:55.104409,100,uniform,7,nz,0.0005702005920390691,1.4639514365757013e-05,423,528,848,912,400,old,1.1341970532789616,tanh,0.013047417004903158,0.01311031977335612,0.013168613115946451,0.012992779413859049,0.013244390487670898,0.013064185778299967,0.013031323750813803,0.013094147046407063,0.9570261637369791,0.01041028737812754,COMPLETE
26,0.7015594641367594,2025-09-02 09:19:45.162724,2025-09-02 10:17:18.087329,0 days 00:57:32.924605,20,uniform,8,zero,,0.2871481514809849,100,448,272,128,576,Glorot,,logistic,0.012584368387858072,0.012952645619710287,0.012994805971781412,0.013027032216389975,0.01302186648050944,0.013158798217773438,0.007913152376810709,0.01223609561011905,0.7015594641367594,0.01775115525348653,COMPLETE
27,0.9492293198903402,2025-09-02 10:17:18.088390,2025-09-02 10:19:36.438733,0 days 00:02:18.350343,512,normal,8,zero,,0.0002178273503004652,128,256,144,416,736,old,0.6685596747040621,logistic,0.0133896271387736,0.01313002904256185,0.013053218523661295,0.013162056605021158,0.013176560401916504,0.013246496518452963,0.01297303040822347,0.013161574091230118,0.9492293198903402,0.00823305637054169,COMPLETE
28,0.923382302125295,2025-09-02 10:19:36.439150,2025-09-02 11:17:29.895198,0 days 00:57:53.456048,20,uniform,6,zero,,3.0420481909171226e-05,5892,1024,528,896,128,Glorot,,tanh,0.013121803601582846,0.013024290402730307,0.012848774592081705,0.013084848721822103,0.012714385986328125,0.013115922609965006,0.013184150060017904,0.013013453710646857,0.923382302125295,0.01069014282048508,COMPLETE
29,0.8924659689267477,2025-09-02 11:17:29.896086,2025-09-02 12:14:31.114824,0 days 00:57:01.218738,20,normal,7,zero,,0.0002520438692546329,6794,496,416,496,464,old,1.334672179660087,logistic,0.01329477628072103,0.013071775436401367,0.012977123260498047,0.013095498085021973,0.013064702351888021,0.013067166010538736,0.013011018435160318,0.013083151408604216,0.8924659689267477,0.01017302940669718,COMPLETE
30,0.9466805855433146,2025-09-02 12:14:31.115255,2025-09-02 12:19:59.375366,0 days 00:05:28.260111,512,uniform,7,nz,1.6486730302220903e-05,0.00021278293670092617,192,384,960,752,960,old,1.6650831421016485,tanh,0.013075629870096842,0.013071258862813314,0.013011852900187174,0.013135910034179688,0.013056317965189615,0.013144135475158691,0.013048609097798666,0.013077673457917712,0.9466805855433146,0.01283262257351095,COMPLETE
31,0.9451286594072977,2025-09-02 12:19:59.376112,2025-09-02 13:20:31.246134,0 days 01:00:31.870022,20,normal,6,nz,3.767989982847917e-05,8.41986904154775e-06,661,192,976,336,784,Glorot,,logistic,0.013059775034586588,0.013134996096293131,0.013125856717427572,0.013147870699564615,0.013086756070454916,0.013118942578633627,0.013073166211446127,0.013106766201200937,0.9451286594072977,0.01146185611006268,COMPLETE
32,0.9592946966489156,2025-09-02 13:20:31.246905,2025-09-02 13:32:53.572267,0 days 00:12:22.325362,100,uniform,8,nz,0.0006021016068328207,1.8504600665283064e-06,604,592,928,416,880,Glorot,,tanh,0.013082345326741537,0.013153076171875,0.013096173604329428,0.01310280958811442,0.013135592142740885,0.013022740681966146,0.013164122899373373,0.013108122916448682,0.9592946966489156,0.008057515197661744,COMPLETE
33,0.9215249021848043,2025-09-02 13:32:53.572989,2025-09-02 13:37:23.573183,0 days 00:04:30.000194,256,uniform,8,zero,,0.0004064871860768272,728,320,576,912,416,old,1.1133727133657239,logistic,0.013091842333475748,0.01310590902964274,0.013238072395324707,0.012985944747924805,0.013093511263529459,0.013023098309834799,0.012986699740091959,0.013075011117117745,0.9215249021848043,0.008664488656197844,COMPLETE
