number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
15,0.11366129368543625,2025-08-24 15:05:18.350984,2025-08-24 15:40:11.423581,0 days 00:34:53.072597,20,,uniform,6,nz,4.5217557451024084e-07,0.00024928315599298995,515,512,176,752,,raw,old,1.1709311779111824,tanh,0.013175725936889648,0.013152503967285156,0.013227391242980956,0.013147282600402831,COMPLETE,0.013175725936889648,0.013152503967285156,0.013227391242980956,0.013147282600402831
16,0.12446774542331696,2025-08-24 15:40:11.423992,2025-08-24 15:46:35.926183,0 days 00:06:24.502191,100,,uniform,6,zero,,0.00034912391835984966,2655,1008,352,736,,raw,Glorot,,tanh,0.013089569409688313,0.013101816177368164,0.013069748878479004,0.013097143173217774,COMPLETE,0.013089569409688313,0.013101816177368164,0.013069748878479004,0.013097143173217774
17,0.11366129368543625,2025-08-24 15:46:35.927018,2025-08-24 16:20:24.141599,0 days 00:33:48.214581,20,,normal,6,nz,0.003098891758417325,0.0008440164593981861,1301,912,880,240,0.5561063925658498,pca,old,0.5462544338135313,logistic,0.01305383046468099,0.013275218009948731,0.013015007972717286,0.012871265411376953,COMPLETE,0.01305383046468099,0.013275218009948731,0.013015007972717286,0.012871265411376953
18,0.11366129368543625,2025-08-24 16:20:24.142919,2025-08-24 16:54:39.949611,0 days 00:34:15.806692,20,,uniform,7,nz,0.0012361063948476514,0.00017047912451343645,270,480,992,624,,raw,Glorot,,logistic,0.013161651293436688,0.013174629211425782,0.013205456733703613,0.013104867935180665,COMPLETE,0.013161651293436688,0.013174629211425782,0.013205456733703613,0.013104867935180665
19,0.11366129368543625,2025-08-24 16:54:39.951868,2025-08-24 17:26:44.140103,0 days 00:32:04.188235,20,,normal,8,zero,,0.8186484618563397,3702,224,896,720,,raw,Glorot,,logistic,0.0016680479049682618,0.003976798057556153,0.00017211437225341796,0.0008552312850952148,COMPLETE,0.0016680479049682618,0.003976798057556153,0.00017211437225341796,0.0008552312850952148
20,0.11366129368543625,2025-08-24 17:26:44.140517,2025-08-24 17:33:23.487117,0 days 00:06:39.346600,100,,uniform,6,nz,0.0002247144159652352,0.5824613263289332,1377,96,176,32,,raw,Glorot,,logistic,0.012459246317545573,0.01274113655090332,0.013261175155639649,0.01137542724609375,COMPLETE,0.012459246317545573,0.01274113655090332,0.013261175155639649,0.01137542724609375
21,0.11366129368543625,2025-08-24 17:33:23.487451,2025-08-24 17:40:09.585374,0 days 00:06:46.097923,100,,uniform,6,nz,0.0031762322412963125,0.0008525836944886396,895,656,352,992,,raw,old,0.8825031528075136,tanh,0.013161222139994303,0.012975263595581054,0.013292789459228516,0.01321561336517334,COMPLETE,0.013161222139994303,0.012975263595581054,0.013292789459228516,0.01321561336517334
22,0.11366129368543625,2025-08-24 17:40:09.585799,2025-08-24 17:46:36.735639,0 days 00:06:27.149840,100,1.1440763747069189e-09,uniform,6,zero,,0.0013572916218580562,286,1008,1008,560,,colnorm,old,0.6363168365090601,logistic,0.01309167544047038,0.013129544258117676,0.01306447982788086,0.013081002235412597,COMPLETE,0.01309167544047038,0.013129544258117676,0.01306447982788086,0.013081002235412597
23,0.11366129368543625,2025-08-24 17:46:36.735971,2025-08-24 17:53:01.019412,0 days 00:06:24.283441,100,,normal,8,zero,,4.3061830079117834e-05,102,96,800,16,0.9535186884098954,pca,old,0.4229283393084612,tanh,0.012967816988627116,0.01284961700439453,0.01299431324005127,0.013059520721435547,COMPLETE,0.012967816988627116,0.01284961700439453,0.01299431324005127,0.013059520721435547
24,0.16432258486747742,2025-08-24 17:53:01.019754,2025-08-24 18:26:45.487108,0 days 00:33:44.467354,20,5.659468770678343e-08,normal,7,nz,2.972205680742184e-07,6.15282914558757e-06,3796,128,800,288,,colnorm,Glorot,,tanh,0.013184841473897297,0.012923026084899902,0.013512539863586425,0.013118958473205567,COMPLETE,0.013184841473897297,0.012923026084899902,0.013512539863586425,0.013118958473205567
25,0.11366129368543625,2025-08-24 18:26:45.487987,2025-08-24 18:59:07.342437,0 days 00:32:21.854450,20,,normal,5,zero,,0.001237123628998651,4732,752,992,160,,raw,Glorot,,logistic,0.01311477025349935,0.013221430778503417,0.01316370964050293,0.012959170341491699,COMPLETE,0.01311477025349935,0.013221430778503417,0.01316370964050293,0.012959170341491699
26,0.11366129368543625,2025-08-24 18:59:07.342862,2025-08-24 19:32:49.347481,0 days 00:33:42.004619,20,,uniform,6,nz,0.00025273534942158024,1.5444453286934103e-06,443,832,48,704,0.5000924595149698,pca,old,1.6974991883625365,logistic,0.012864089012145996,0.013190364837646485,0.012347102165222168,0.013054800033569337,COMPLETE,0.012864089012145996,0.013190364837646485,0.012347102165222168,0.013054800033569337
27,0.12516129314899443,2025-08-24 19:32:49.350408,2025-08-24 20:07:06.681205,0 days 00:34:17.330797,20,,uniform,5,nz,2.8653067848446513e-08,0.13594321102820803,100,64,960,832,0.5315053238870611,pca,Glorot,,logistic,0.01308595339457194,0.013274908065795898,0.013060498237609863,0.012922453880310058,COMPLETE,0.01308595339457194,0.013274908065795898,0.013060498237609863,0.012922453880310058
28,0.11366129368543625,2025-08-24 20:07:06.684035,2025-08-24 20:13:54.990538,0 days 00:06:48.306503,100,,uniform,8,nz,2.195171270562009e-06,0.00019975831193664464,686,64,592,192,,raw,Glorot,,logistic,0.013000941276550293,0.012754178047180176,0.013130259513854981,0.013118386268615723,COMPLETE,0.013000941276550293,0.012754178047180176,0.013130259513854981,0.013118386268615723
29,0.11366129368543625,2025-08-24 20:13:54.990971,2025-08-24 20:20:41.887557,0 days 00:06:46.896586,100,,uniform,8,nz,1.1354612839945856e-05,5.104214441669944e-05,474,816,576,16,,raw,old,1.84336145631759,tanh,0.012582945823669435,0.012932229042053222,0.013145804405212402,0.011670804023742676,COMPLETE,0.012582945823669435,0.012932229042053222,0.013145804405212402,0.011670804023742676
30,0.17635484635829926,2025-08-24 20:20:41.887958,2025-08-24 20:54:06.920453,0 days 00:33:25.032495,20,,normal,5,nz,3.4666480400355086e-05,3.0590198493981793e-06,1159,1024,560,320,0.5285715720343376,pca,Glorot,,tanh,0.013144254684448242,0.013164925575256347,0.013170671463012696,0.013097167015075684,COMPLETE,0.013144254684448242,0.013164925575256347,0.013170671463012696,0.013097167015075684
31,0.13375807255506517,2025-08-24 20:54:06.920832,2025-08-24 20:59:29.857530,0 days 00:05:22.936698,100,,normal,7,zero,,0.0013178595061205047,329,544,624,736,,raw,Glorot,,tanh,0.013127684593200684,0.013078022003173827,0.013158106803894043,0.013146924972534179,COMPLETE,0.013127684593200684,0.013078022003173827,0.013158106803894043,0.013146924972534179
32,0.11366129368543625,2025-08-24 20:59:29.857827,2025-08-24 21:04:49.046211,0 days 00:05:19.188384,100,,normal,5,zero,,8.060709675998e-05,273,592,848,816,,raw,Glorot,,logistic,0.01301444371541341,0.012946438789367676,0.013173365592956543,0.012923526763916015,COMPLETE,0.01301444371541341,0.012946438789367676,0.013173365592956543,0.012923526763916015
33,0.8970968127250671,2025-08-24 21:04:49.046532,2025-08-24 21:10:12.606320,0 days 00:05:23.559788,100,,uniform,5,zero,,0.3881631908547999,550,656,768,480,0.8360361547567354,pca,old,0.34952059690438664,tanh,0.008521572748819987,0.005706381797790527,0.010479426383972168,0.009378910064697266,COMPLETE,0.008521572748819987,0.005706381797790527,0.010479426383972168,0.009378910064697266
34,0.1879677504301071,2025-08-24 21:10:12.606605,2025-08-24 21:15:34.458538,0 days 00:05:21.851933,100,,normal,5,zero,,1.5698573371230564e-06,9702,16,848,784,0.9554456629821021,pca,old,0.8219145201736515,tanh,0.013268391291300455,0.013163995742797852,0.013356542587280274,0.013284635543823243,COMPLETE,0.013268391291300455,0.013163995742797852,0.013356542587280274,0.013284635543823243
35,0.11366129368543625,2025-08-24 21:15:34.458901,2025-08-24 21:42:08.257380,0 days 00:26:33.798479,20,0.00023030123347169337,uniform,5,zero,,0.00022925779841068158,7530,624,304,272,,colnorm,Glorot,,logistic,0.01302806536356608,0.013199329376220703,0.012830471992492676,0.013054394721984863,COMPLETE,0.01302806536356608,0.013199329376220703,0.012830471992492676,0.013054394721984863
