number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
15,0.4002742052078247,2025-08-24 13:40:43.424799,2025-08-24 13:46:02.133242,0 days 00:05:18.708443,100,1.2825638415243462e-08,uniform,8,zero,,0.08126110512979882,1033,640,432,384,,colnorm,old,0.7711479402733286,logistic,0.011957685152689615,0.012343478202819825,0.011969852447509765,0.011559724807739258,COMPLETE,0.011957685152689615,0.012343478202819825,0.011969852447509765,0.011559724807739258
16,0.9690645456314086,2025-08-24 13:46:02.134088,2025-08-24 13:51:44.234825,0 days 00:05:42.100737,100,,normal,5,nz,0.00019496797863316573,0.38950375706027657,4917,288,544,112,0.8767718604951436,pca,old,1.0225972650027455,logistic,0.00408632755279541,0.0017895221710205079,0.0003569841384887695,0.010112476348876954,COMPLETE,0.00408632755279541,0.0017895221710205079,0.0003569841384887695,0.010112476348876954
17,0.441854852437973,2025-08-24 13:51:44.235142,2025-08-24 13:57:25.934627,0 days 00:05:41.699485,100,,uniform,5,nz,6.681893158912448e-05,0.029530260809657753,6627,544,720,320,,raw,Glorot,,logistic,0.011430303255716959,0.01175224781036377,0.012210512161254882,0.010328149795532227,COMPLETE,0.011430303255716959,0.01175224781036377,0.012210512161254882,0.010328149795532227
18,0.11251613348722458,2025-08-24 13:57:25.934931,2025-08-24 14:03:08.374780,0 days 00:05:42.439849,100,5.649235024409567e-09,normal,5,nz,1.2137831108849462e-07,0.00035584027141143896,189,992,32,704,,colnorm,Glorot,,logistic,0.012565135955810547,0.013099908828735352,0.01160569190979004,0.01298980712890625,COMPLETE,0.012565135955810547,0.013099908828735352,0.01160569190979004,0.01298980712890625
19,0.11251613348722458,2025-08-24 14:03:08.375087,2025-08-24 14:29:42.560391,0 days 00:26:34.185304,20,,normal,8,zero,,1.656880448632194e-05,2154,720,272,944,,raw,Glorot,,logistic,0.01320076783498128,0.013195490837097168,0.013303637504577637,0.013103175163269042,COMPLETE,0.01320076783498128,0.013195490837097168,0.013303637504577637,0.013103175163269042
20,0.96287100315094,2025-08-24 14:29:42.560765,2025-08-24 14:35:25.236331,0 days 00:05:42.675566,100,,normal,5,nz,0.0008218604965845548,0.09230881632014575,2962,112,464,192,0.9862158845029989,pca,old,1.1203562976833445,tanh,0.0010236342748006185,9.434223175048828e-05,0.0023766756057739258,0.0005998849868774414,COMPLETE,0.0010236342748006185,9.434223175048828e-05,0.0023766756057739258,0.0005998849868774414
21,0.9500484347343445,2025-08-24 14:35:25.236646,2025-08-24 15:03:46.257783,0 days 00:28:21.021137,20,0.0005860400898280002,uniform,5,nz,0.0008626022181846835,0.007618008877376423,2146,112,688,272,,colnorm,old,1.1840284880189698,tanh,0.010225756963094077,0.008649563789367676,0.011651945114135743,0.010375761985778808,COMPLETE,0.010225756963094077,0.008649563789367676,0.011651945114135743,0.010375761985778808
22,0.9479839205741882,2025-08-24 15:03:46.259338,2025-08-24 15:09:28.645538,0 days 00:05:42.386200,100,,normal,5,nz,0.0003176091416307724,0.0223531142302019,1581,352,608,208,0.9727821557365688,pca,old,1.1211355783027463,tanh,0.009907023111979168,0.009801054000854492,0.011185050010681152,0.008734965324401855,COMPLETE,0.009907023111979168,0.009801054000854492,0.011185050010681152,0.008734965324401855
23,0.9638710021972656,2025-08-24 15:09:28.645840,2025-08-24 15:15:11.394936,0 days 00:05:42.749096,100,,normal,8,nz,1.7549150445791699e-06,0.27113779507277774,9942,320,544,208,0.9113180737210502,pca,old,1.0652692174251057,logistic,0.0018290599187215171,0.0003196954727172852,0.0032716989517211914,0.0018957853317260742,COMPLETE,0.0018290599187215171,0.0003196954727172852,0.0032716989517211914,0.0018957853317260742
24,0.9601129412651062,2025-08-24 15:15:11.395322,2025-08-24 15:20:49.958648,0 days 00:05:38.563326,100,,normal,8,nz,8.353781732663133e-07,0.09743301464448911,4120,496,256,224,0.8324495656550186,pca,old,0.9600260900187213,logistic,0.0026961962381998696,0.002503204345703125,0.003102684020996094,0.002482700347900391,COMPLETE,0.0026961962381998696,0.002503204345703125,0.003102684020996094,0.002482700347900391
