number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
24,0.824871015548706,2025-09-02 11:04:49.060769,2025-09-02 11:12:16.328136,0 days 00:07:27.267367,100,uniform,6,nz,4.107926771428859e-07,0.13729256691621694,235,144,old,1.1762593203074507,tanh,0.005029511451721191,COMPLETE,0.005029511451721191
25,0.634435498714447,2025-09-02 11:12:16.328575,2025-09-02 11:19:42.642724,0 days 00:07:26.314149,100,uniform,6,nz,3.77681264198061e-07,0.008505811597810442,124,192,old,1.5882964000193227,tanh,0.012137770652770996,COMPLETE,0.012137770652770996
26,0.8879194021224975,2025-09-02 11:19:42.643174,2025-09-02 11:56:49.902182,0 days 00:37:07.259008,20,uniform,8,nz,2.1702319532250016e-07,0.37196315722336704,934,304,old,1.3438840113856203,tanh,0.0004718542098999023,COMPLETE,0.0004718542098999023
27,0.8165484309196472,2025-09-02 11:56:49.903038,2025-09-02 12:33:58.288522,0 days 00:37:08.385484,20,uniform,8,nz,3.867509935904888e-08,0.039696983909928506,725,368,old,1.6395596324551855,tanh,0.00903780460357666,COMPLETE,0.00903780460357666
28,0.8595484018325805,2025-09-02 12:33:58.288965,2025-09-02 13:10:59.006674,0 days 00:37:00.717709,20,uniform,6,nz,2.7624093769943563e-06,0.07749421505543225,2774,336,old,1.97644656278248,tanh,0.0010296821594238282,COMPLETE,0.0010296821594238282
29,0.8946935892105102,2025-09-02 13:10:59.007136,2025-09-02 13:47:58.602693,0 days 00:36:59.595557,20,uniform,6,nz,1.52675787926409e-05,0.18620153474671644,3840,576,old,1.9958554655270515,tanh,0.0003078460693359375,COMPLETE,0.0003078460693359375
30,0.8355968117713928,2025-09-02 13:47:58.603151,2025-09-02 13:55:26.393142,0 days 00:07:27.789991,100,uniform,6,nz,0.00011543317817841956,0.17994908538775442,2340,640,old,1.9986121290875039,tanh,0.002105522155761719,COMPLETE,0.002105522155761719
31,0.855564534664154,2025-09-02 13:55:26.393985,2025-09-02 14:32:24.734117,0 days 00:36:58.340132,20,uniform,6,nz,6.542349870587113e-06,0.06534626784679717,4004,416,Glorot,,tanh,0.0013851404190063476,COMPLETE,0.0013851404190063476
32,0.0978064551949501,2025-09-02 14:32:24.734977,2025-09-02 15:07:14.847205,0 days 00:34:50.112228,20,uniform,6,zero,,0.9171567137909503,1437,432,old,1.9798288716940413,tanh,,COMPLETE,
33,0.8974677801132203,2025-09-02 15:07:14.847879,2025-09-02 15:44:14.508484,0 days 00:36:59.660605,20,uniform,8,nz,4.785064978452858e-06,0.197461717067809,9467,608,old,1.9503840017914382,tanh,0.0028371810913085938,COMPLETE,0.0028371810913085938
34,0.8933387517929077,2025-09-02 15:44:14.508959,2025-09-02 16:21:12.184262,0 days 00:36:57.675303,20,uniform,8,nz,1.4067318068003004e-05,0.14924172348255987,4566,656,old,1.995926298681249,tanh,0.0001486063003540039,COMPLETE,0.0001486063003540039
35,0.8882258534431458,2025-09-02 16:21:12.184721,2025-09-02 16:58:14.173865,0 days 00:37:01.989144,20,uniform,8,nz,0.00010151099730093916,0.23759750303468455,8736,576,old,1.6966586156317105,tanh,0.01786980628967285,COMPLETE,0.01786980628967285
36,0.8807419896125793,2025-09-02 16:58:14.175975,2025-09-02 17:35:16.320422,0 days 00:37:02.144447,20,uniform,8,nz,0.0002702979337521633,0.21457981950103006,9916,848,old,1.7110326886400553,tanh,0.028022408485412598,COMPLETE,0.028022408485412598
37,0.8605967879295349,2025-09-02 17:35:16.321258,2025-09-02 18:09:59.726000,0 days 00:34:43.404742,20,normal,8,zero,,0.5028551653897474,6740,544,old,1.9969225014478549,tanh,0.0018006086349487305,COMPLETE,0.0018006086349487305
38,0.8945806860923767,2025-09-02 18:09:59.726425,2025-09-02 18:47:04.973244,0 days 00:37:05.246819,20,uniform,8,nz,5.663505247302117e-05,0.07991214655358354,7976,480,old,1.6883833364260237,tanh,0.00032153129577636717,COMPLETE,0.00032153129577636717
39,0.8879677891731262,2025-09-02 18:47:04.973946,2025-09-02 19:24:19.650454,0 days 00:37:14.676508,20,uniform,8,nz,2.546752005075019e-05,0.14799935745827303,4892,704,Glorot,,logistic,0.00031599998474121096,COMPLETE,0.00031599998474121096
40,0.8575000166893005,2025-09-02 19:24:19.650897,2025-09-02 19:31:44.120424,0 days 00:07:24.469527,100,normal,8,nz,2.4079852029477e-05,0.342276294235334,6087,704,old,1.7119892535486316,tanh,0.00023856163024902344,COMPLETE,0.00023856163024902344
41,0.2537096917629242,2025-09-02 19:31:44.121098,2025-09-02 20:08:47.409447,0 days 00:37:03.288349,20,uniform,7,nz,0.00023236723789531226,0.5927152764286865,4403,512,old,1.7217653157305506,tanh,,COMPLETE,
42,0.8803387641906738,2025-09-02 20:08:47.409908,2025-09-02 20:45:43.225933,0 days 00:36:55.816025,20,uniform,8,nz,3.18631627462941e-05,0.06010481546425326,8290,256,old,1.7447800225924563,tanh,0.00017893314361572266,COMPLETE,0.00017893314361572266
43,0.8984677791595459,2025-09-02 20:45:43.231280,2025-09-02 21:22:53.686368,0 days 00:37:10.455088,20,normal,8,nz,3.5769084190768393e-05,0.2112965267044973,5844,656,Glorot,,tanh,0.002483630180358887,COMPLETE,0.002483630180358887
44,0.8261290788650513,2025-09-02 21:22:53.686824,2025-09-02 22:00:03.735361,0 days 00:37:10.048537,20,normal,7,nz,1.1637936911006851e-05,0.046854134000389284,2361,656,Glorot,,tanh,0.004462695121765137,COMPLETE,0.004462695121765137
45,0.8074516296386719,2025-09-02 22:00:03.735810,2025-09-02 22:37:08.424363,0 days 00:37:04.688553,20,normal,8,nz,1.6958139173481265e-05,0.013247492554967205,6639,496,Glorot,,tanh,0.00449831485748291,COMPLETE,0.00449831485748291
46,0.8242903709411621,2025-09-02 22:37:08.424800,2025-09-02 22:44:29.283843,0 days 00:07:20.859043,100,uniform,8,nz,1.4124334533849216e-05,0.005294308908841388,8417,608,old,1.942140536905498,logistic,0.008537387847900391,COMPLETE,0.008537387847900391
47,0.8958387494087219,2025-09-02 22:44:29.284292,2025-09-02 23:21:34.311284,0 days 00:37:05.026992,20,uniform,6,nz,1.6318756491590208e-05,0.15263669744435335,6696,608,old,1.9875107654271928,logistic,0.00030858516693115233,COMPLETE,0.00030858516693115233
48,0.8704516291618347,2025-09-02 23:21:34.311749,2025-09-02 23:58:38.741838,0 days 00:37:04.430089,20,uniform,6,nz,0.0001957196261456884,0.6128058317671509,4873,720,old,1.9974378110691586,logistic,0.016593503952026366,COMPLETE,0.016593503952026366
49,0.8834194064140319,2025-09-02 23:58:38.743121,2025-09-03 00:35:40.983804,0 days 00:37:02.240683,20,normal,8,nz,1.3344486843060092e-05,0.10093947671858446,3869,944,Glorot,,tanh,0.0018965482711791992,COMPLETE,0.0018965482711791992
50,0.846274220943451,2025-09-03 00:35:40.984258,2025-09-03 01:12:40.771756,0 days 00:36:59.787498,20,normal,6,nz,5.624714306743781e-05,0.060439249719350704,8979,576,old,1.5972446505563163,logistic,0.00012726783752441405,COMPLETE,0.00012726783752441405
51,0.8142581224441529,2025-09-03 01:12:40.772213,2025-09-03 01:47:34.511523,0 days 00:34:53.739310,20,uniform,8,zero,,0.008219566868196911,2882,736,old,1.988580160189134,tanh,0.010879254341125489,COMPLETE,0.010879254341125489
52,0.0978064551949501,2025-09-03 01:47:34.511995,2025-09-03 02:24:25.580899,0 days 00:36:51.068904,20,normal,8,nz,7.94232052483622e-06,0.7192670586056142,1916,688,old,1.9912165584741268,tanh,,COMPLETE,
53,0.8912097215652466,2025-09-03 02:24:25.581353,2025-09-03 03:01:38.189037,0 days 00:37:12.607684,20,uniform,5,nz,7.225750266091523e-06,0.13659492639407056,4937,704,old,1.9957392814833999,tanh,0.00020248889923095702,COMPLETE,0.00020248889923095702
54,0.8670967936515808,2025-09-03 03:01:38.189465,2025-09-03 03:38:38.297765,0 days 00:37:00.108300,20,uniform,6,nz,2.9252068965697828e-05,0.3058704649190149,3007,672,old,1.9931055948070024,tanh,0.0008525848388671875,COMPLETE,0.0008525848388671875
55,0.0978064551949501,2025-09-03 03:38:38.299065,2025-09-03 04:15:27.087388,0 days 00:36:48.788323,20,normal,8,nz,5.044674873702887e-06,0.8170479222947427,3293,608,Glorot,,tanh,,COMPLETE,
56,0.5707258343696594,2025-09-03 04:15:27.087831,2025-09-03 04:52:29.452641,0 days 00:37:02.364810,20,uniform,8,nz,7.416567771093584e-05,5.1795293846561654e-05,4022,496,old,1.6939287340603593,tanh,0.01314542293548584,COMPLETE,0.01314542293548584
57,0.8256129503250123,2025-09-03 04:52:29.453095,2025-09-03 04:59:28.527324,0 days 00:06:59.074229,100,uniform,8,zero,,0.09246046492327983,9031,528,old,1.9932970391383087,tanh,0.0028434514999389647,COMPLETE,0.0028434514999389647
58,0.8177742481231689,2025-09-03 04:59:28.527758,2025-09-03 05:06:56.041110,0 days 00:07:27.513352,100,uniform,7,nz,4.9609670383223135e-06,0.00693759131101811,2675,640,Glorot,,tanh,0.011186599731445312,COMPLETE,0.011186599731445312
59,0.7846129417419434,2025-09-03 05:06:56.041845,2025-09-03 05:43:54.516475,0 days 00:36:58.474630,20,uniform,5,nz,3.6409901031674175e-05,0.34218200239870455,3091,464,old,1.6862649013008078,logistic,0.00118408203125,COMPLETE,0.00118408203125
60,0.865790331363678,2025-09-03 05:43:54.516942,2025-09-03 06:18:42.300033,0 days 00:34:47.783091,20,uniform,6,zero,,0.04985198702142427,9191,640,old,1.7704089817976298,tanh,0.002251553535461426,COMPLETE,0.002251553535461426
61,0.8090484142303467,2025-09-03 06:18:42.300881,2025-09-03 06:55:46.867526,0 days 00:37:04.566645,20,uniform,5,nz,5.744842665713052e-06,0.005488437669567889,7706,864,old,1.9533478269611735,tanh,0.00998384952545166,COMPLETE,0.00998384952545166
