number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
22,0.10000000149011612,2025-08-24 13:22:15.596622,2025-08-24 13:25:54.005655,0 days 00:03:38.409033,100,3.625713225327974e-09,normal,5,zero,,0.5734556019795591,2860,592,,colnorm,Glorot,,tanh,,COMPLETE,
23,0.8595571279525757,2025-08-24 13:25:54.005951,2025-08-24 13:44:52.127551,0 days 00:18:58.121600,20,,uniform,8,nz,0.009639207774279644,0.06921729174377438,1642,496,,raw,Glorot,,tanh,0.03838083744049072,COMPLETE,0.03838083744049072
24,0.10000000149011612,2025-08-24 13:44:52.127936,2025-08-24 14:03:45.957663,0 days 00:18:53.829727,20,,uniform,5,nz,8.061767529877175e-08,0.5079425036941454,8566,400,0.8458794313900451,pca,old,1.643600262376498,tanh,,COMPLETE,
25,0.10000000149011612,2025-08-24 14:03:45.958051,2025-08-24 14:07:22.501658,0 days 00:03:36.543607,100,,normal,8,zero,,0.3639334633100752,457,704,,raw,Glorot,,tanh,,COMPLETE,
26,0.8763857007026672,2025-08-24 14:07:22.501940,2025-08-24 14:25:31.152116,0 days 00:18:08.650176,20,,uniform,7,zero,,0.008809327831875382,1585,704,0.9834608227445727,pca,Glorot,,tanh,0.011623382568359375,COMPLETE,0.011623382568359375
27,0.8296714186668396,2025-08-24 14:25:31.153089,2025-08-24 14:29:10.280162,0 days 00:03:39.127073,100,9.775907733145955e-06,normal,6,zero,,0.003863235920649125,591,608,,colnorm,Glorot,,tanh,0.012439703941345215,COMPLETE,0.012439703941345215
28,0.857185709476471,2025-08-24 14:29:10.280445,2025-08-24 14:48:17.887013,0 days 00:19:07.606568,20,,uniform,7,nz,3.570852624573574e-05,0.010368163525940312,2810,144,,raw,Glorot,,logistic,0.0025919437408447265,COMPLETE,0.0025919437408447265
29,0.8687428593635559,2025-08-24 14:48:17.887411,2025-08-24 15:07:17.584602,0 days 00:18:59.697191,20,,normal,6,nz,1.0371260327847653e-08,0.03257846257140141,3500,624,0.7693346855586753,pca,old,1.1818445567984739,tanh,0.004473567008972168,COMPLETE,0.004473567008972168
30,0.7861428618431091,2025-08-24 15:07:17.586345,2025-08-24 15:26:00.536825,0 days 00:18:42.950480,20,,normal,5,nz,0.00046394857392643285,0.000488293823069573,8085,192,0.8738393051867548,pca,old,1.7536718535699434,logistic,0.009113359451293945,COMPLETE,0.009113359451293945
31,0.882957124710083,2025-08-24 15:26:00.537213,2025-08-24 15:29:40.133474,0 days 00:03:39.596261,100,0.0008318355813156082,normal,8,zero,,0.033445354245527185,2951,592,,colnorm,old,1.2018824662897387,logistic,0.007207012176513672,COMPLETE,0.007207012176513672
32,0.8539428591728211,2025-08-24 15:29:40.133768,2025-08-24 15:33:18.714513,0 days 00:03:38.580745,100,4.378231988541793e-05,normal,8,zero,,0.004165157852783766,2026,176,,colnorm,old,1.3908518646542485,tanh,0.010393214225769044,COMPLETE,0.010393214225769044
33,0.8845428466796875,2025-08-24 15:33:18.714800,2025-08-24 15:36:50.013367,0 days 00:03:31.298567,100,,normal,8,zero,,0.053127299981879414,1721,112,0.9992227386657635,pca,old,1.363716808718847,logistic,0.0012192964553833009,COMPLETE,0.0012192964553833009
34,0.8802000045776367,2025-08-24 15:36:50.013642,2025-08-24 15:40:18.429587,0 days 00:03:28.415945,100,7.332960959296365e-05,normal,6,zero,,0.06016883880423144,1662,48,,colnorm,old,1.0976893538451813,logistic,0.001304292678833008,COMPLETE,0.001304292678833008
35,0.7212571457028389,2025-08-24 15:40:18.429891,2025-08-24 15:44:07.448243,0 days 00:03:49.018352,100,,normal,8,nz,5.5327397821748675e-06,0.46755038089855655,4641,480,0.8531165225096253,pca,old,1.6063039823860705,tanh,,COMPLETE,
36,0.8667285561561584,2025-08-24 15:44:07.449094,2025-08-24 15:47:49.912783,0 days 00:03:42.463689,100,,normal,7,nz,1.270758199257604e-07,0.033049951687058064,6703,112,0.7162937775548708,pca,Glorot,,tanh,0.0012885093688964843,COMPLETE,0.0012885093688964843
37,0.7976428508758545,2025-08-24 15:47:49.913053,2025-08-24 15:51:28.660314,0 days 00:03:38.747261,100,0.0009776491352017668,uniform,5,zero,,0.0020716759358348,491,576,,colnorm,Glorot,,tanh,0.012990450859069825,COMPLETE,0.012990450859069825
38,0.8951285719871521,2025-08-24 15:51:28.660548,2025-08-24 15:55:16.867524,0 days 00:03:48.206976,100,1.8414674051398834e-05,normal,7,nz,0.0005019744419616182,0.30036380436764754,708,832,,colnorm,Glorot,,tanh,0.0017112016677856446,COMPLETE,0.0017112016677856446
39,0.8452285647392273,2025-08-24 15:55:16.867824,2025-08-24 15:59:06.847114,0 days 00:03:49.979290,100,1.9435337948924992e-08,normal,7,nz,0.0012078259721669227,0.012767185662917143,286,976,,colnorm,Glorot,,tanh,0.012533068656921387,COMPLETE,0.012533068656921387
40,0.10000000149011612,2025-08-24 15:59:06.847399,2025-08-24 16:18:08.164084,0 days 00:19:01.316685,20,4.658957979357923e-06,normal,5,nz,0.0004481572377912565,0.5975697305254548,1267,864,,colnorm,Glorot,,tanh,,COMPLETE,
41,0.8964428544044495,2025-08-24 16:18:08.164485,2025-08-24 16:21:57.015510,0 days 00:03:48.851025,100,4.157149582767851e-05,uniform,7,nz,0.0009891780095569512,0.07005382777483345,2417,848,,colnorm,Glorot,,tanh,0.0010858297348022461,COMPLETE,0.0010858297348022461
42,0.8968571305274964,2025-08-24 16:21:57.015765,2025-08-24 16:25:48.018843,0 days 00:03:51.003078,100,1.717670872909009e-05,uniform,7,nz,0.000587262562421416,0.07471648792274775,8762,672,,colnorm,Glorot,,tanh,0.0012226343154907227,COMPLETE,0.0012226343154907227
43,0.735300000011921,2025-08-24 16:25:48.021008,2025-08-24 16:29:36.882693,0 days 00:03:48.861685,100,1.7458538730233243e-05,uniform,7,nz,0.0005854232864515062,0.4106745706455741,9349,640,,colnorm,Glorot,,tanh,,COMPLETE,
44,0.10000000149011612,2025-08-24 16:29:36.882982,2025-08-24 16:33:24.119997,0 days 00:03:47.237015,100,2.0885391584947594e-05,normal,7,nz,0.0010878435365134942,0.8155968778909602,1169,800,,colnorm,Glorot,,tanh,,COMPLETE,
45,0.8819571375846863,2025-08-24 16:33:24.121427,2025-08-24 16:37:15.469035,0 days 00:03:51.347608,100,2.2690740082110905e-05,uniform,7,nz,0.0002534299231317949,0.019385875324761683,1348,976,,colnorm,Glorot,,tanh,0.011370468139648437,COMPLETE,0.011370468139648437
46,0.8150285720825196,2025-08-24 16:37:15.469889,2025-08-24 16:55:38.188902,0 days 00:18:22.719013,20,,normal,8,nz,0.002934143993016836,0.016683967269198043,4914,576,0.612105860639945,pca,old,1.8245990189667562,logistic,0.00015313625335693358,COMPLETE,0.00015313625335693358
47,0.8425285696983338,2025-08-24 16:55:38.189304,2025-08-24 17:14:38.286793,0 days 00:19:00.097489,20,,uniform,8,nz,0.00014378434422153622,0.001851359547505676,4860,624,0.7419357361490521,pca,old,0.5201683161322188,tanh,0.012087488174438476,COMPLETE,0.012087488174438476
